pair,acronym,description,frequency
"('CaMa', 'cáncer de mama')",CaMa,cáncer de mama,2
"('N.D.G.A.', 'nor-dihidroguayaretico')",N.D.G.A.,nor-dihidroguayaretico,1
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,1
"('AJCC', 'american joint committee on cancer')",AJCC,american joint committee on cancer,1
"('DA', 'dermatitis atópica')",DA,dermatitis atópica,3
"('MI', 'micosis invasivas')",MI,micosis invasivas,1
"('VHS', 'vasculitis por hipersensibilidad')",VHS,vasculitis por hipersensibilidad,1
"('SAF', 'síndrome antifosfolípidos')",SAF,síndrome antifosfolípidos,1
"('GPC', 'guía de práctica clínica')",GPC,guía de práctica clínica,1
"('NET', 'necrólisis epidérmica tóxica')",NET,necrólisis epidérmica tóxica,1
"('FE', 'fístulas enterocutáneas')",FE,fístulas enterocutáneas,1
"('II', 'inmunodeficiencia humana')",II,inmunodeficiencia humana,1
"('DE', 'desvio estándar')",DE,desvio estándar,1
"('UDVP', 'usuarios de drogas por vía parenteral')",UDVP,usuarios de drogas por vía parenteral,1
"('V.P.H.', 'virus del papiloma humano')",V.P.H.,virus del papiloma humano,1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,1
"('AV', 'anomalías vasculares')",AV,anomalías vasculares,1
"('5-FU', '5-fluor-uracilo')",5-FU,5-fluor-uracilo,1
"('LC', 'leucemia cutis')",LC,leucemia cutis,1
"('VC', 'vasculitis cutáneas')",VC,vasculitis cutáneas,1
"('HACRE', 'hidroarsenicismo crónico regional endémico')",HACRE,hidroarsenicismo crónico regional endémico,1
"('PRL', 'prolactina')",PRL,prolactina,2
"('AEH', 'angioedema hereditario')",AEH,angioedema hereditario,1
"('M.P.A', 'male pattern alopecia')",M.P.A,male pattern alopecia,1
"('AF', 'actividad física')",AF,actividad física,1
"('TN', 'triple negativo')",TN,triple negativo,1
"('CM', 'cáncer de mama')",CM,cáncer de mama,2
"('CIP', 'colesteatoma intrapetroso')",CIP,colesteatoma intrapetroso,1
"('PSH', 'púrpura de schönlein-henoch')",PSH,púrpura de schönlein-henoch,1
"('FP', 'factor de protección')",FP,factor de protección,1
"('ATI°', 'a*b* y se estimó el ángulo tipológico individual')",ATI°,a*b* y se estimó el ángulo tipológico individual,1
"('II', 'insulina-receptor')",II,insulina-receptor,1
"('CEA', 'carcinoembrionario')",CEA,carcinoembrionario,2
"('NNT', 'número necesario a tratar')",NNT,número necesario a tratar,1
"('España', 'en un hospital terciario de la coruña')",España,en un hospital terciario de la coruña,1
"('SPN', 'sistema de presión negativa')",SPN,sistema de presión negativa,1
"('VHS II', 'virus de herpes simple tipo ii')",VHS II,virus de herpes simple tipo ii,1
"('CHCC', 'chapel hill consensus conference')",CHCC,chapel hill consensus conference,1
"('ES', 'esclerosis sistémica')",ES,esclerosis sistémica,1
"('AcM', 'anticuerpos monoclonales')",AcM,anticuerpos monoclonales,1
"('SSJ', 'stevens-johnson')",SSJ,stevens-johnson,1
"('SM', 'síndrome metabólico')",SM,síndrome metabólico,2
"('Viannia', 'vectores infectados con leishmania')",Viannia,vectores infectados con leishmania,1
"('IMID', 'inmunomediadas')",IMID,inmunomediadas,2
"('SIDA', 'sarcoma epidémico de kaposi')",SIDA,sarcoma epidémico de kaposi,1
"('DACBI', 'dermatosis ampollosa crónica benigna infantil')",DACBI,dermatosis ampollosa crónica benigna infantil,1
"('TASPE', 'trasplante autólogo de progenitores hematopoyéticos de sangre periférica')",TASPE,trasplante autólogo de progenitores hematopoyéticos de sangre periférica,1
"('GEIDAC', 'grupo español de investigación en dermatitis de contacto y alergia cutánea')",GEIDAC,grupo español de investigación en dermatitis de contacto y alergia cutánea,2
"('ACR', 'american college of rheumatology')",ACR,american college of rheumatology,1
"('PV', 'pitiriasis versicolor')",PV,pitiriasis versicolor,1
"('IMSS', 'instituto mexicano del seguro social')",IMSS,instituto mexicano del seguro social,1
