pair,acronym,description,frequency
"('PPAF', 'programa de promoción de actividad física')",PPAF,programa de promoción de actividad física,1
"('BPN', 'bajo peso al nacer')",BPN,bajo peso al nacer,1
"('ASRS', 'adhd self-report scale</i>')",ASRS,adhd self-report scale</i>,1
"('PCAT', 'primary care assessment tools')",PCAT,primary care assessment tools,1
"('CDMX', 'ciudad de méxico')",CDMX,ciudad de méxico,1
"('ITUS', 'infecciones del tracto urinario superior')",ITUS,infecciones del tracto urinario superior,1
"('CRM', 'customer relationship management')",CRM,customer relationship management,1
"('ITL', 'infección tuberculosa latente')",ITL,infección tuberculosa latente,2
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,1
"('TLIV', 'trombolisis intravenosa')",TLIV,trombolisis intravenosa,1
"('AMPA', 'automedida de presión arterial domiciliaria')",AMPA,automedida de presión arterial domiciliaria,1
"('DA', 'del alcohol')",DA,del alcohol,1
"('HAD', 'hospitalización a domicilio')",HAD,hospitalización a domicilio,1
"('Sinais', 'sistema nacional de información en salud')",Sinais,sistema nacional de información en salud,1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,1
"('SaAP', 'sistema de acreditación en atención primaria')",SaAP,sistema de acreditación en atención primaria,3
"('y II', 'y entrevista clínica')",y II,y entrevista clínica,1
"('IVE', 'interrupción voluntaria del embarazo')",IVE,interrupción voluntaria del embarazo,1
"('ACSC', 'ambulatory care sensitive conditions')",ACSC,ambulatory care sensitive conditions,1
"('AUDIT', 'alcohol use disorders identification test')",AUDIT,alcohol use disorders identification test,1
"('SDRA', 'síndrome de distrés respiratorio del adulto')",SDRA,síndrome de distrés respiratorio del adulto,1
"('ZSO', 'zona suroeste')",ZSO,zona suroeste,1
"('CA', 'consumo de alcohol')",CA,consumo de alcohol,1
"('GINA', 'guías internacionales de diagnóstico y tratamiento del asma')",GINA,guías internacionales de diagnóstico y tratamiento del asma,1
"('CMC', 'consulta monografica de cefaleas')",CMC,consulta monografica de cefaleas,1
"('AF', 'atención farmacéutica')",AF,atención farmacéutica,1
"('EFAM', 'evaluación funcional del adulto mayor')",EFAM,evaluación funcional del adulto mayor,1
"('PAI', 'procesos asistenciales integrados')",PAI,procesos asistenciales integrados,1
"('VICNA', 'violencia familiar contra niños y adolescentes')",VICNA,violencia familiar contra niños y adolescentes,1
"('SDOM', 'síndrome de disfunción orgánica múltiple')",SDOM,síndrome de disfunción orgánica múltiple,1
"('CV', 'calcificación vascular')",CV,calcificación vascular,1
