pair,acronym,description,frequency
"('AVS', 'agencia valenciana de salud')",AVS,agencia valenciana de salud,1
"('ESUS', 'embolic stroke of undetermined source')",ESUS,embolic stroke of undetermined source,1
"('SIS', 'seguro integral de salud')",SIS,seguro integral de salud,2
"('VA', 'valencia')",VA,valencia,1
"('ERCA', 'enfermedad renal crónica avanzada')",ERCA,enfermedad renal crónica avanzada,1
"('atPIG', 'activador tisular del plasminógeno')",atPIG,activador tisular del plasminógeno,1
"('CVCs', 'cvc subclavio')",CVCs,cvc subclavio,1
"('NNE-GEP', 'neuroendocrinas del aparato gastrointestinal y páncreas')",NNE-GEP,neuroendocrinas del aparato gastrointestinal y páncreas,1
"('ERSPC', 'european randomized study of screening for prostate cancer')",ERSPC,european randomized study of screening for prostate cancer,1
"('RVS', 'respuesta viral sobtenida')",RVS,respuesta viral sobtenida,1
"('CGE', 'carga global de la enfermedad')",CGE,carga global de la enfermedad,1
"('RN', 'riesgo nutricional')",RN,riesgo nutricional,1
"('SCA', 'síndromes coronarios agudos')",SCA,síndromes coronarios agudos,1
"('PRUQ', 'perception of restraintuse questionnaire')",PRUQ,perception of restraintuse questionnaire,1
"('SAHOS', 'sindrome de apnea/hipopnea obstructiva del sueño')",SAHOS,sindrome de apnea/hipopnea obstructiva del sueño,1
"('ACE', 'aid to capacity evaluation')",ACE,aid to capacity evaluation,1
"('CC', 'circunferencia de la cintura')",CC,circunferencia de la cintura,1
"('RENAC', 'registro nacional de angioplastia coronaria')",RENAC,registro nacional de angioplastia coronaria,1
"('IEI', 'intervención educativa individualizada')",IEI,intervención educativa individualizada,1
"('EH', 'enfermedad de huntington')",EH,enfermedad de huntington,1
"('EAT-10', 'eating assessment tool 10')",EAT-10,eating assessment tool 10,1
"('EMB', 'extensión de media brazada')",EMB,extensión de media brazada,1
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,3
"('EAS', 'europea de aterosclerosis')",EAS,europea de aterosclerosis,1
"('NEA', 'nutrición enteral ambulatoria')",NEA,nutrición enteral ambulatoria,1
"('SLA', ""screening lexico para las afasias'"")",SLA,screening lexico para las afasias',1
"('RP', 'razones de prevalencia')",RP,razones de prevalencia,4
"('CMB', 'circunferencia media de brazo')",CMB,circunferencia media de brazo,1
"('ACV', 'accidente cerebro vascular')",ACV,accidente cerebro vascular,1
"('MDC', 'malformaciones del desarrollo cortical')",MDC,malformaciones del desarrollo cortical,1
"('HVI', 'hipertrofia ventricular izquierda')",HVI,hipertrofia ventricular izquierda,1
"('SCA', 'síndrome coronario agudo')",SCA,síndrome coronario agudo,2
"('ECAAM', 'encuesta de calidad de alimentación del adulto mayor')",ECAAM,encuesta de calidad de alimentación del adulto mayor,1
"('AAD', 'antivirales directos')",AAD,antivirales directos,1
"('PPI', 'prescripción potencialmente inadecuada')",PPI,prescripción potencialmente inadecuada,1
"('VHS', 'vasculitis por hipersensibilidad')",VHS,vasculitis por hipersensibilidad,1
"('REMAH', 'registro molecular de adenomas hipofisarios')",REMAH,registro molecular de adenomas hipofisarios,1
"('CDMX', 'ciudad de méxico')",CDMX,ciudad de méxico,1
"('SF', 'síndrome de fragilidad')",SF,síndrome de fragilidad,1
"('SAF', 'síndrome antifosfolípidos')",SAF,síndrome antifosfolípidos,1
"('CRPCE', 'cirugía de resección pulmonar de corta estancia')",CRPCE,cirugía de resección pulmonar de corta estancia,1
"('ITUS', 'infecciones del tracto urinario superior')",ITUS,infecciones del tracto urinario superior,1
"('MAPA', 'monitorización ambulatoria de la presión arterial')",MAPA,monitorización ambulatoria de la presión arterial,1
"('GCCB-S', 'grupo cooperativo de carcinoma broncogénico de separ')",GCCB-S,grupo cooperativo de carcinoma broncogénico de separ,1
"('ELA', 'esclerosis lateral amiotrófica')",ELA,esclerosis lateral amiotrófica,1
"('YPAS', 'yale physical activity survey')",YPAS,yale physical activity survey,1
"('OC', 'osteocalcina')",OC,osteocalcina,1
"('ITS', 'infecciones de transmisión sexual')",ITS,infecciones de transmisión sexual,1
"('INR', 'international normalized ratio')",INR,international normalized ratio,2
"('DT2', 'diabetes tipo 2')",DT2,diabetes tipo 2,2
"('MIP', 'modelo de impacto presupuestario')",MIP,modelo de impacto presupuestario,1
"('SOH', 'sangre oculta en heces')",SOH,sangre oculta en heces,1
"('AIVD', 'actividades instrumentales de la vida diaria')",AIVD,actividades instrumentales de la vida diaria,1
"('IAM CEST', 'infarto agudo al miocardio con elevación del segmento st')",IAM CEST,infarto agudo al miocardio con elevación del segmento st,1
"('HbF', 'hemoglobina fetal')",HbF,hemoglobina fetal,1
"('HDM', 'hemodiálisis de mantenimiento')",HDM,hemodiálisis de mantenimiento,1
"('CF', 'condición física')",CF,condición física,2
"('S-M', 'sistema monocromo')",S-M,sistema monocromo,1
"('SRA', 'sistema renina-angiotensina')",SRA,sistema renina-angiotensina,1
"('TTP', 'tiempo parcial de tromboplastina')",TTP,tiempo parcial de tromboplastina,1
"('SCOPA-Cog', ""scales for outcomes in parkinson's disease-cognition"")",SCOPA-Cog,scales for outcomes in parkinson's disease-cognition,1
"('CCI', 'citorreducción de intervalo')",CCI,citorreducción de intervalo,1
"('LNH', 'linfoma no hodgkin')",LNH,linfoma no hodgkin,1
"('iam', 'infarto agudo de miocardio')",iam,infarto agudo de miocardio,1
"('ITL', 'infección tuberculosa latente')",ITL,infección tuberculosa latente,1
"('MAPA', 'monitorización ambulatoria de presión arterial')",MAPA,monitorización ambulatoria de presión arterial,1
"('SFC', 'síndrome de fatiga crónica')",SFC,síndrome de fatiga crónica,1
"('MSHAQ', 'modified stanford health assessment questionnaire')",MSHAQ,modified stanford health assessment questionnaire,1
"('PMIT', 'proyecto multicéntrico de investigación en tuberculosis')",PMIT,proyecto multicéntrico de investigación en tuberculosis,1
"('GEMPO', 'grupo de estudio de morbimortalidad postoperatoria')",GEMPO,grupo de estudio de morbimortalidad postoperatoria,1
"('CG', 'carga glucémica')",CG,carga glucémica,1
"('TCC', 'tumores del cuerpo carotídeo')",TCC,tumores del cuerpo carotídeo,1
