pair,acronym,description,frequency
"('ESUS', 'embolic stroke of undetermined source')",ESUS,embolic stroke of undetermined source,1
"('MHSO', 'miocardiopatía hipertrófica septal obstructiva')",MHSO,miocardiopatía hipertrófica septal obstructiva,1
"('S. T.', 'síndrome tóxico')",S. T.,síndrome tóxico,1
"('atPIG', 'activador tisular del plasminógeno')",atPIG,activador tisular del plasminógeno,1
"('TTT', 'total de la técnica')",TTT,total de la técnica,1
"('ANCA', 'anticitoplasma de neutrófilos')",ANCA,anticitoplasma de neutrófilos,2
"('ADA', 'american diabetes association')",ADA,american diabetes association,1
"('SCA', 'síndromes coronarios agudos')",SCA,síndromes coronarios agudos,1
"('CEFEN', 'comité de estudios fetoneonatales')",CEFEN,comité de estudios fetoneonatales,1
"('SAHOS', 'sindrome de apnea/hipopnea obstructiva del sueño')",SAHOS,sindrome de apnea/hipopnea obstructiva del sueño,1
"('RENAC', 'registro nacional de angioplastia coronaria')",RENAC,registro nacional de angioplastia coronaria,1
"('CVP', 'complejos ventriculares prematuros')",CVP,complejos ventriculares prematuros,1
"('PTFE', 'politetrafluoroetileno expandido')",PTFE,politetrafluoroetileno expandido,1
"('EMB', 'extensión de media brazada')",EMB,extensión de media brazada,1
"('EAS', 'europea de aterosclerosis')",EAS,europea de aterosclerosis,1
"('RP', 'razones de prevalencia')",RP,razones de prevalencia,1
"('MTHFR', 'metilén tetrahidrofólico reductasa')",MTHFR,metilén tetrahidrofólico reductasa,2
"('CMB', 'circunferencia media de brazo')",CMB,circunferencia media de brazo,1
"('ACV', 'accidente cerebro vascular')",ACV,accidente cerebro vascular,1
"('HVI', 'hipertrofia ventricular izquierda')",HVI,hipertrofia ventricular izquierda,1
"('SETH', 'sociedad española de trasplante hepático')",SETH,sociedad española de trasplante hepático,1
"('SCA', 'síndrome coronario agudo')",SCA,síndrome coronario agudo,3
"('EP', 'embolización percutánea')",EP,embolización percutánea,1
"('VHS', 'vasculitis por hipersensibilidad')",VHS,vasculitis por hipersensibilidad,1
"('SF', 'síndrome de fragilidad')",SF,síndrome de fragilidad,1
"('SAF', 'síndrome antifosfolípidos')",SAF,síndrome antifosfolípidos,1
"('MAPA', 'monitorización ambulatoria de la presión arterial')",MAPA,monitorización ambulatoria de la presión arterial,3
"('INR', 'international normalized ratio')",INR,international normalized ratio,2
"('IAM CEST', 'infarto agudo al miocardio con elevación del segmento st')",IAM CEST,infarto agudo al miocardio con elevación del segmento st,1
"('NH', 'neoplasias hematológicas')",NH,neoplasias hematológicas,1
"('AGEMZA', 'academia general militar de zaragoza')",AGEMZA,academia general militar de zaragoza,1
"('H.P.', 'hipertensión portal')",H.P.,hipertensión portal,1
"('iam', 'infarto agudo de miocardio')",iam,infarto agudo de miocardio,1
"('MAPA', 'monitorización ambulatoria de presión arterial')",MAPA,monitorización ambulatoria de presión arterial,2
"('GEMPO', 'grupo de estudio de morbimortalidad postoperatoria')",GEMPO,grupo de estudio de morbimortalidad postoperatoria,1
"('CG', 'carga glucémica')",CG,carga glucémica,1
"('SCORE', 'systematic coronary risk evaluation')",SCORE,systematic coronary risk evaluation,1
"('NSE', 'nivel socioeconómico')",NSE,nivel socioeconómico,1
