pair,acronym,description,frequency
"('TMIV', 'tiroidectomía mini-invasiva video asistida')",TMIV,tiroidectomía mini-invasiva video asistida,1
"('NNE-GEP', 'neuroendocrinas del aparato gastrointestinal y páncreas')",NNE-GEP,neuroendocrinas del aparato gastrointestinal y páncreas,1
"('ADA', 'american diabetes association')",ADA,american diabetes association,1
"('DDD', 'diarias definidas')",DDD,diarias definidas,1
"('G%', 'grasas')",G%,grasas,1
"('CGE', 'carga global de la enfermedad')",CGE,carga global de la enfermedad,1
"('RN', 'riesgo nutricional')",RN,riesgo nutricional,1
"('WISC III', 'wechsler intelligence scale for children iii')",WISC III,wechsler intelligence scale for children iii,1
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,1
"('EAS', 'europea de aterosclerosis')",EAS,europea de aterosclerosis,1
"('RP', 'razones de prevalencia')",RP,razones de prevalencia,1
"('ACV', 'accidente cerebro vascular')",ACV,accidente cerebro vascular,1
"('REMAH', 'registro molecular de adenomas hipofisarios')",REMAH,registro molecular de adenomas hipofisarios,1
"('ELA', 'esclerosis lateral amiotrófica')",ELA,esclerosis lateral amiotrófica,1
"('CD', 'cociente de desarrollo')",CD,cociente de desarrollo,1
"('DT2', 'diabetes tipo 2')",DT2,diabetes tipo 2,4
"('IAM CEST', 'infarto agudo al miocardio con elevación del segmento st')",IAM CEST,infarto agudo al miocardio con elevación del segmento st,1
"('CCI', 'citorreducción de intervalo')",CCI,citorreducción de intervalo,1
"('AMG', 'automedición de la glucemia')",AMG,automedición de la glucemia,1
"('CG', 'carga glucémica')",CG,carga glucémica,1
"('IgE', 'inmunoglobulina e')",IgE,inmunoglobulina e,1
"('SEEN', 'sociedad española de endocrinología y nutrición')",SEEN,sociedad española de endocrinología y nutrición,2
"('MNA', 'mini nutricional assessment')",MNA,mini nutricional assessment,1
"('FRCV', 'factores de riesgo cardiovascular')",FRCV,factores de riesgo cardiovascular,1
"('DBC', 'dietas bajas en carbohidratos')",DBC,dietas bajas en carbohidratos,1
"('BEP', 'bleomicina y vinblastina (pvb) o etoposido')",BEP,bleomicina y vinblastina (pvb) o etoposido,1
"('PPCI', 'pubertad precoz central idiopatica')",PPCI,pubertad precoz central idiopatica,1
"('PGN', 'pacientes (75,8%) con glucosa normalizada')",PGN,"pacientes (75,8%) con glucosa normalizada",1
"('NDPD', 'neuropatía diabética periférica dolorosa')",NDPD,neuropatía diabética periférica dolorosa,1
"('AGA', 'alteración de glucosa en ayunas')",AGA,alteración de glucosa en ayunas,1
"('DMID', 'diabetes mellitus insulino dependiente')",DMID,diabetes mellitus insulino dependiente,1
"('RPa', 'razones de prevalencia ajustadas')",RPa,razones de prevalencia ajustadas,1
"('IAUC', 'incremento bajo la curva de glucosa')",IAUC,incremento bajo la curva de glucosa,1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,12
"('IR', 'insulino resistencia')",IR,insulino resistencia,1
"('PTTG', 'pituitary tumour-transforming gene')",PTTG,pituitary tumour-transforming gene,1
"('DI', 'duplicaciones intestinales')",DI,duplicaciones intestinales,1
"('PRL', 'prolactina')",PRL,prolactina,3
"('ZSO', 'zona suroeste')",ZSO,zona suroeste,1
"('as', 'agricultores y sus compañeros')",as,agricultores y sus compañeros,1
"('DSD', 'desarrollo sexual diferente')",DSD,desarrollo sexual diferente,1
"('BN', 'binomial negativa')",BN,binomial negativa,1
"('AF', 'actividad física')",AF,actividad física,1
"('RN', 'receptores nucleares')",RN,receptores nucleares,1
"('DN', 'desnutrición')",DN,desnutrición,1
"('FNT–alfa', 'factor de necrosis tumoral alfa')",FNT–alfa,factor de necrosis tumoral alfa,1
"('PAAF', 'punción-aspiración con aguja fina')",PAAF,punción-aspiración con aguja fina,1
"('CI', 'control de ingestas')",CI,control de ingestas,1
"('MDA', 'malondialdehído')",MDA,malondialdehído,1
"('ENN', 'edulcorantes no nutritivos')",ENN,edulcorantes no nutritivos,1
"('PAI', 'procesos asistenciales integrados')",PAI,procesos asistenciales integrados,1
"('EA', 'enfermedad de alzheimer')",EA,enfermedad de alzheimer,1
