pair,acronym,description,frequency
"('CEA', 'carcino-embrionario')",CEA,carcino-embrionario,1
"('NNE-GEP', 'neuroendocrinas del aparato gastrointestinal y páncreas')",NNE-GEP,neuroendocrinas del aparato gastrointestinal y páncreas,1
"('MAO', 'máxima posthistamínica')",MAO,máxima posthistamínica,1
"('ACE', 'antígeno carcinoembrionario')",ACE,antígeno carcinoembrionario,1
"('EAT-10', 'eating assessment tool 10')",EAT-10,eating assessment tool 10,1
"('NPT', 'nutricion parental total')",NPT,nutricion parental total,1
"('ACCGED', 'asociación centroamericana y del caribe de gastroenterología y endoscopía digestiva')",ACCGED,asociación centroamericana y del caribe de gastroenterología y endoscopía digestiva,1
"('VPR', 'volumen plaquetario relativo')",VPR,volumen plaquetario relativo,1
"('PPI', 'prescripción potencialmente inadecuada')",PPI,prescripción potencialmente inadecuada,1
"('BUN/Cr', 'bun/creatinina')",BUN/Cr,bun/creatinina,1
"('ARH2', 'antagonista receptores h2')",ARH2,antagonista receptores h2,1
"('ELA', 'esclerosis lateral amiotrófica')",ELA,esclerosis lateral amiotrófica,1
"('VHC', 'virus de la hepatitis c')",VHC,virus de la hepatitis c,1
"('SOH', 'sangre oculta en heces')",SOH,sangre oculta en heces,1
"('CTC', 'células tumorales circulantes')",CTC,células tumorales circulantes,1
"('FE', 'fístulas enterocutáneas')",FE,fístulas enterocutáneas,1
"('H.P.', 'hipertensión portal')",H.P.,hipertensión portal,1
"('EIICEA', 'estudio asturiano en cinco áreas')",EIICEA,estudio asturiano en cinco áreas,1
"('IgE', 'inmunoglobulina e')",IgE,inmunoglobulina e,2
"('ASCA', 'anti-saccharomyces cerevisiae')",ASCA,anti-saccharomyces cerevisiae,1
"('ACE', 'acetilcolinesterasa')",ACE,acetilcolinesterasa,1
"('EHGNA', 'enfermedad por hígado graso no alcohólico')",EHGNA,enfermedad por hígado graso no alcohólico,1
"('OCic', 'osteocalcina infracarboxilada')",OCic,osteocalcina infracarboxilada,1
"('RDG', 'reflujo duodenogástrico')",RDG,reflujo duodenogástrico,1
"('V.C.O.', 'vagotomía de células oxíntica')",V.C.O.,vagotomía de células oxíntica,1
"('ANCA', 'anticitoplasma de los neutrófilos')",ANCA,anticitoplasma de los neutrófilos,1
"('E.P.R.', 'esofagitis por reflujo')",E.P.R.,esofagitis por reflujo,1
"('GB', 'glándulas de brunner')",GB,glándulas de brunner,1
"('USE', 'ultrasonografía endoscópica')",USE,ultrasonografía endoscópica,3
"('SUH', 'servicios de urgencias hospitalarios')",SUH,servicios de urgencias hospitalarios,1
"('PCR-us', 'proteína c reactiva ultrasensible')",PCR-us,proteína c reactiva ultrasensible,1
"('FQ', 'fibrosis quística')",FQ,fibrosis quística,1
"('ALEH', 'asociación latinoamericana para el estudio del hígado')",ALEH,asociación latinoamericana para el estudio del hígado,1
"('APLV', 'a la proteína de la leche de vaca')",APLV,a la proteína de la leche de vaca,1
"('R.G.E.', 'reflujo gastroesofágico')",R.G.E.,reflujo gastroesofágico,2
"('FI', 'fracaso intestinal')",FI,fracaso intestinal,1
"('EICIG', 'enfermedad inflamatoria crónica del intestino grueso')",EICIG,enfermedad inflamatoria crónica del intestino grueso,1
"('EMA IgA', 'el rendimiento de anticuerpos antitransglutaminasa iga (anti-tg2 iga), antiendomisio iga')",EMA IgA,"el rendimiento de anticuerpos antitransglutaminasa iga (anti-tg2 iga), antiendomisio iga",1
"('PVMD', 'programa de ventilación mecánica domiciliaria')",PVMD,programa de ventilación mecánica domiciliaria,1
"('EA', 'enfermedad de alzheimer')",EA,enfermedad de alzheimer,1
"('EPI', 'enteropatógeno infantil')",EPI,enteropatógeno infantil,1
"('SGNC', 'sensibilidad al gluten no celíaca')",SGNC,sensibilidad al gluten no celíaca,1
"('PAAF', 'punción aspiración con aguja fina')",PAAF,punción aspiración con aguja fina,1
"('PNED', 'progetto nazionale emorragia digestiva')",PNED,progetto nazionale emorragia digestiva,1
"('vih', 'virus de la inmunodeficiencia humana')",vih,virus de la inmunodeficiencia humana,1
"('TGO', 'transaminasa glutamico oxalacetica')",TGO,transaminasa glutamico oxalacetica,1
"('GEP', 'gastrostomía endoscópica percutánea')",GEP,gastrostomía endoscópica percutánea,1
"('FNA', 'fina')",FNA,fina,1
"('CEA', 'carcinoembrionario')",CEA,carcinoembrionario,4
"('AEPAP', 'asociación española de pediatría de atención primaria')",AEPAP,asociación española de pediatría de atención primaria,1
"('MPO', 'mieoloperoxidasa')",MPO,mieoloperoxidasa,1
"('SPN', 'sistema de presión negativa')",SPN,sistema de presión negativa,1
"('IATTGI', 'intergrupo argentino para el tratamiento de los tumores gastro-intestinales')",IATTGI,intergrupo argentino para el tratamiento de los tumores gastro-intestinales,1
"('LT', 'laringuectomía total')",LT,laringuectomía total,1
"('SC', 'sulfuro coloidal')",SC,sulfuro coloidal,1
"('CPRE', 'colangiopancreatografia retrógrada endoscópica')",CPRE,colangiopancreatografia retrógrada endoscópica,1
"('SBC', 'subcitrato de bismuto coloidal')",SBC,subcitrato de bismuto coloidal,1
"('ETM', 'escisión total del mesorrecto')",ETM,escisión total del mesorrecto,1
"('AINE', 'antiinflamatorios no esteroideos')",AINE,antiinflamatorios no esteroideos,1
"('GETECCU', 'grupo español de trabajo de enfermedad de crohn y colitis ulcerosa')",GETECCU,grupo español de trabajo de enfermedad de crohn y colitis ulcerosa,1
"('EHNA', 'esteatohepatitis no alcohólica')",EHNA,esteatohepatitis no alcohólica,4
"('SEICAP', 'sociedad española de inmunología clínica, alergología y asma pediátrica')",SEICAP,"sociedad española de inmunología clínica, alergología y asma pediátrica",1
"('SIDA', 'síndrome de inmunodeficiencia adquirida')",SIDA,síndrome de inmunodeficiencia adquirida,1
"('CNS', 'cartilla nacional de salud')",CNS,cartilla nacional de salud,1
"('LOLA', 'l-ornitina l-aspartato')",LOLA,l-ornitina l-aspartato,1
"('EEI', 'esofágico inferior')",EEI,esofágico inferior,1
"('AIDL', 'absorcíon intestinal deficiente de lactosa')",AIDL,absorcíon intestinal deficiente de lactosa,1
"('GIST', 'gastroinestinal')",GIST,gastroinestinal,1
"('IMID', 'inmunomediadas')",IMID,inmunomediadas,2
"('GCA', 'gastritis crónica antral')",GCA,gastritis crónica antral,3
"('EPR', 'esofagitis por reflujo')",EPR,esofagitis por reflujo,1
"('VHC', 'virus hepatitis c')",VHC,virus hepatitis c,1
"('VMNI', 'ventilación mecánica no invasiva')",VMNI,ventilación mecánica no invasiva,1
"('NED', 'nutrición enteral domiciliaria')",NED,nutrición enteral domiciliaria,1
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana,1
"('G.T.', 'gastrectomías totales')",G.T.,gastrectomías totales,1
"('IBP', 'inhibidores de la bomba de protones')",IBP,inhibidores de la bomba de protones,3
"('EE', 'esofagitis eosinofílica')",EE,esofagitis eosinofílica,1
"('SEGHNP', 'sociedad española de gastroenterología, hepatología y nutrición pediátrica')",SEGHNP,"sociedad española de gastroenterología, hepatología y nutrición pediátrica",2
"('CCHS', 'celiac health survey')",CCHS,celiac health survey,1
"('RCUI', 'relación coste-utilidad')",RCUI,relación coste-utilidad,1
"('VCO', 'vagotomía de células oxínticas')",VCO,vagotomía de células oxínticas,2
"('DE', 'de 5 años')",DE,de 5 años,1
