pair,acronym,description,frequency
"('atPIG', 'activador tisular del plasminógeno')",atPIG,activador tisular del plasminógeno,1
"('AEHH', 'asociación española de hematología y hemoterapia')",AEHH,asociación española de hematología y hemoterapia,1
"('RN', 'riesgo nutricional')",RN,riesgo nutricional,1
"('MTHFR', 'metilén tetrahidrofólico reductasa')",MTHFR,metilén tetrahidrofólico reductasa,2
"('PMN', 'polimorfonucleares neutrófilos')",PMN,polimorfonucleares neutrófilos,2
"('INR', 'international normalized ratio')",INR,international normalized ratio,2
"('FHIS', 'fluorescencia con hibridación in situ')",FHIS,fluorescencia con hibridación in situ,1
"('NH', 'neoplasias hematológicas')",NH,neoplasias hematológicas,1
"('TFGe', 'tasa de filtración glomerular estimada')",TFGe,tasa de filtración glomerular estimada,1
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,1
"('LMC', 'leucemia mieloide crónica')",LMC,leucemia mieloide crónica,5
"('Hb A2', 'hemoglobina a2')",Hb A2,hemoglobina a2,1
"('REDIP', 'registro español de inmunodeficiencias primarias')",REDIP,registro español de inmunodeficiencias primarias,1
"('AT', 'autotrasplante')",AT,autotrasplante,1
"('LMA', 'leucemia mieloblástica')",LMA,leucemia mieloblástica,1
"('TTPa', 'tromboplastina parcial activada')",TTPa,tromboplastina parcial activada,1
"('EDTA', 'etilén-diamino-tetraacético')",EDTA,etilén-diamino-tetraacético,1
"('EP', 'en profundidad')",EP,en profundidad,1
"('PRP', 'plasma rico en plaquetas')",PRP,plasma rico en plaquetas,1
"('AL', 'anticoagulante lúpico')",AL,anticoagulante lúpico,1
"('SUH', 'servicios de urgencias hospitalarios')",SUH,servicios de urgencias hospitalarios,1
"('CID', 'coagulación intravascular diseminada')",CID,coagulación intravascular diseminada,2
"('GMSI', 'gamapatía monoclonal de significado indeterminado')",GMSI,gamapatía monoclonal de significado indeterminado,1
"('FA', 'fibrilación auricular')",FA,fibrilación auricular,1
"('IFI', 'inmunofluorescencia indirecta')",IFI,inmunofluorescencia indirecta,1
"('SEDAR', 'sociedad española de anestesiología, reanimación y terapéutica del dolor')",SEDAR,"sociedad española de anestesiología, reanimación y terapéutica del dolor",1
"('OAH', 'osteoartropatía hipertrófica')",OAH,osteoartropatía hipertrófica,1
"('PCCE-H', 'programa de control de calidad externo en hematología')",PCCE-H,programa de control de calidad externo en hematología,1
"('GMSI', 'gammapatías monoclonales de significado indeterminado')",GMSI,gammapatías monoclonales de significado indeterminado,1
"('DN', 'desnutrición')",DN,desnutrición,1
"('LAL', 'leucemia aguda linfoblástica')",LAL,leucemia aguda linfoblástica,1
"('HPN', 'hemoglobinuria paroxistica nocturna')",HPN,hemoglobinuria paroxistica nocturna,1
"('PEL', 'protoporfirina eritrocítica libre')",PEL,protoporfirina eritrocítica libre,1
"('CSA', 'ciclosporina a')",CSA,ciclosporina a,1
"('SEDAR', 'sociedades españolas de anestesiología y reanimación')",SEDAR,sociedades españolas de anestesiología y reanimación,1
"('H.P.N', 'hemoglobinuria paroxística nocturna')",H.P.N,hemoglobinuria paroxística nocturna,1
"('G6FD', 'glucosa-6-fosfato dehidrogenasa eritrocítica')",G6FD,glucosa-6-fosfato dehidrogenasa eritrocítica,1
"('NMP', 'neoplasias mieloproliferativas')",NMP,neoplasias mieloproliferativas,1
