pair,acronym,description,frequency
"('TMIV', 'tiroidectomía mini-invasiva video asistida')",TMIV,tiroidectomía mini-invasiva video asistida,1
"('CaMa', 'cáncer de mama')",CaMa,cáncer de mama,2
"('BAI', 'bloqueo androgénico intermitente')",BAI,bloqueo androgénico intermitente,1
"('CEA', 'carcino-embrionario')",CEA,carcino-embrionario,1
"('NNE-GEP', 'neuroendocrinas del aparato gastrointestinal y páncreas')",NNE-GEP,neuroendocrinas del aparato gastrointestinal y páncreas,1
"('ERSPC', 'european randomized study of screening for prostate cancer')",ERSPC,european randomized study of screening for prostate cancer,1
"('VADS', 'vías aerodigestivas superiores')",VADS,vías aerodigestivas superiores,1
"('MAO', 'máxima posthistamínica')",MAO,máxima posthistamínica,1
"('ACE', 'antígeno carcinoembrionario')",ACE,antígeno carcinoembrionario,2
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,3
"('PA-HBsAg', 'portadores asintomáticos hbsag')",PA-HBsAg,portadores asintomáticos hbsag,1
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,1
"('AJCC', 'american joint committee on cancer')",AJCC,american joint committee on cancer,1
"('EMRR', 'em remitente recurrente')",EMRR,em remitente recurrente,1
"('SETH', 'sociedad española de trasplante hepático')",SETH,sociedad española de trasplante hepático,1
"('REMAH', 'registro molecular de adenomas hipofisarios')",REMAH,registro molecular de adenomas hipofisarios,1
"('Psq', 'pseudoquiste')",Psq,pseudoquiste,1
"('NIC', 'neoplasias intraepiteliales cervicales')",NIC,neoplasias intraepiteliales cervicales,1
"('smf', 'sistema mononuclear fagocítico')",smf,sistema mononuclear fagocítico,1
"('GCCB-S', 'grupo cooperativo de carcinoma broncogénico de separ')",GCCB-S,grupo cooperativo de carcinoma broncogénico de separ,2
"('IFN-gamma', 'interferon gamma')",IFN-gamma,interferon gamma,1
"('SOH', 'sangre oculta en heces')",SOH,sangre oculta en heces,1
"('CTC', 'células tumorales circulantes')",CTC,células tumorales circulantes,1
"('HbF', 'hemoglobina fetal')",HbF,hemoglobina fetal,1
"('NCI', 'national cancer institute')",NCI,national cancer institute,1
"('FHIS', 'fluorescencia con hibridación in situ')",FHIS,fluorescencia con hibridación in situ,1
"('NH', 'neoplasias hematológicas')",NH,neoplasias hematológicas,1
"('CCI', 'citorreducción de intervalo')",CCI,citorreducción de intervalo,1
"('LNH', 'linfoma no hodgkin')",LNH,linfoma no hodgkin,1
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,1
"('TCC', 'tumores del cuerpo carotídeo')",TCC,tumores del cuerpo carotídeo,1
"('LMC', 'leucemia mieloide crónica')",LMC,leucemia mieloide crónica,5
"('PET/TC', 'positrones/tomografía computarizada')",PET/TC,positrones/tomografía computarizada,1
"('RCEI', 'relación costeeficacia incremental')",RCEI,relación costeeficacia incremental,1
"('AT', 'autotrasplante')",AT,autotrasplante,1
"('BEP', 'bleomicina y vinblastina (pvb) o etoposido')",BEP,bleomicina y vinblastina (pvb) o etoposido,1
"('LMA', 'leucemia mieloblástica')",LMA,leucemia mieloblástica,1
"('CTR', 'cistectomía radical')",CTR,cistectomía radical,1
"('V.P.H.', 'virus del papiloma humano')",V.P.H.,virus del papiloma humano,1
"('MTX', 'methotrexate')",MTX,methotrexate,1
"('IT', 'infratentoriales')",IT,infratentoriales,1
"('USE', 'ultrasonografía endoscópica')",USE,ultrasonografía endoscópica,3
"('5-FU', '5-fluor-uracilo')",5-FU,5-fluor-uracilo,1
"('LC', 'leucemia cutis')",LC,leucemia cutis,1
"('PTTG', 'pituitary tumour-transforming gene')",PTTG,pituitary tumour-transforming gene,1
"('HACRE', 'hidroarsenicismo crónico regional endémico')",HACRE,hidroarsenicismo crónico regional endémico,1
"('GBM', 'glioblastoma multiforme')",GBM,glioblastoma multiforme,1
"('PRL', 'prolactina')",PRL,prolactina,2
"('ITK', 'inhibidores tirosin kinasa')",ITK,inhibidores tirosin kinasa,1
"('CN', 'complicaciones neurologicas')",CN,complicaciones neurologicas,1
"('TVU', 'tumores de vías urinarias')",TVU,tumores de vías urinarias,1
"('OAH', 'osteoartropatía hipertrófica')",OAH,osteoartropatía hipertrófica,1
"('CPRC', 'cáncer de próstata resistente a la castracion')",CPRC,cáncer de próstata resistente a la castracion,1
"('ISP', 'inventario de sintomas prefrontales')",ISP,inventario de sintomas prefrontales,1
"('LDCBG', 'linfomas difusos de células b grandes')",LDCBG,linfomas difusos de células b grandes,1
"('AF', 'actividad física')",AF,actividad física,1
"('GT-CMP', 'grupo de trabajo sobre cirugía en las metástasis pulmonares')",GT-CMP,grupo de trabajo sobre cirugía en las metástasis pulmonares,1
"('GMSI', 'gammapatías monoclonales de significado indeterminado')",GMSI,gammapatías monoclonales de significado indeterminado,1
"('TN', 'triple negativo')",TN,triple negativo,1
"('MGMT', 'metilguanina-adn-metiltransferasa')",MGMT,metilguanina-adn-metiltransferasa,1
"('CIN III', 'casos de neoplasia intraepitelial grado iii')",CIN III,casos de neoplasia intraepitelial grado iii,1
"('MST', 'malnutrition screening tool')",MST,malnutrition screening tool,1
"('PGR', 'pérdida gestacional recurrente')",PGR,pérdida gestacional recurrente,1
"('PAAF', 'punción-aspiración con aguja fina')",PAAF,punción-aspiración con aguja fina,3
"('IGU', 'infecciones genitourinarias')",IGU,infecciones genitourinarias,1
"('CM', 'cáncer de mama')",CM,cáncer de mama,3
"('LAL', 'leucemia aguda linfoblástica')",LAL,leucemia aguda linfoblástica,2
"('LIEBG', 'lesión intraepitelial escamosa de bajo grado')",LIEBG,lesión intraepitelial escamosa de bajo grado,1
"('EF', 'encefalolitógeno humano')",EF,encefalolitógeno humano,1
"('CCU', 'cáncer de cuello uterino')",CCU,cáncer de cuello uterino,1
"('AFP', 'alpha-fetoproteína')",AFP,alpha-fetoproteína,1
"('T.V.S.I.', 'tumores vesicales iniciales superficiales')",T.V.S.I.,tumores vesicales iniciales superficiales,1
"('C/T', 'cociente psa:alpha 1 antiquimotripsina/psa total')",C/T,cociente psa:alpha 1 antiquimotripsina/psa total,1
"('PAAF', 'punción aspiración con aguja fina')",PAAF,punción aspiración con aguja fina,2
"('LIEAG', 'lesión intraepitelial escamosa de alto grado')",LIEAG,lesión intraepitelial escamosa de alto grado,1
"('DMBA', 'dimetilbenzantraceno')",DMBA,dimetilbenzantraceno,2
"('TGT', 'tumores germinales de testículo')",TGT,tumores germinales de testículo,1
"('II', 'insulina-receptor')",II,insulina-receptor,1
"('NF1', 'neurofibromatosis tipo 1')",NF1,neurofibromatosis tipo 1,2
"('CEA', 'carcinoembrionario')",CEA,carcinoembrionario,6
"('RM', 'resonancia magnetica')",RM,resonancia magnetica,1
"('CV', 'carcinoma vesical')",CV,carcinoma vesical,1
"('GENTE', 'grupo de estudio de nuevas terapias de enfermedades reumáticas')",GENTE,grupo de estudio de nuevas terapias de enfermedades reumáticas,1
"('SFH', 'servicio de farmacia hospitalaria')",SFH,servicio de farmacia hospitalaria,1
"('CET', 'complejo esclerosis tuberosa')",CET,complejo esclerosis tuberosa,2
"('GEMEBA', 'grupo de estudio del mesotelioma en barcelona')",GEMEBA,grupo de estudio del mesotelioma en barcelona,1
"('IATTGI', 'intergrupo argentino para el tratamiento de los tumores gastro-intestinales')",IATTGI,intergrupo argentino para el tratamiento de los tumores gastro-intestinales,1
"('NMP', 'neoplasias mieloproliferativas')",NMP,neoplasias mieloproliferativas,1
"('TVI', 'tumor vesical infiltrante')",TVI,tumor vesical infiltrante,1
"('OMS', 'organización mundial de la salud')",OMS,organización mundial de la salud,1
"('PAB', 'prostatitis aguda bacteriana')",PAB,prostatitis aguda bacteriana,1
"('VCMP', 'vincristina, ciclofosfamida, melfalán y prednisona')",VCMP,"vincristina, ciclofosfamida, melfalán y prednisona",1
