pair,acronym,description,frequency
"('HADS', 'hospital anxiety and depression scale')",HADS,hospital anxiety and depression scale,1
"('ANCA', 'anticitoplasma de neutrófilos')",ANCA,anticitoplasma de neutrófilos,1
"('SAMe', 's-adenosil-l-metionina')",SAMe,s-adenosil-l-metionina,1
"('EK', 'enfermedad de kawasaki')",EK,enfermedad de kawasaki,1
"('KOOS', 'knee injury and osteoarthritis outcome score')",KOOS,knee injury and osteoarthritis outcome score,1
"('SAAa', 'subluxación atlantoaxial anterior')",SAAa,subluxación atlantoaxial anterior,1
"('VHS', 'vasculitis por hipersensibilidad')",VHS,vasculitis por hipersensibilidad,1
"('SF', 'síndrome de fragilidad')",SF,síndrome de fragilidad,1
"('SAF', 'síndrome antifosfolípidos')",SAF,síndrome antifosfolípidos,1
"('MIP', 'modelo de impacto presupuestario')",MIP,modelo de impacto presupuestario,1
"('SFC', 'síndrome de fatiga crónica')",SFC,síndrome de fatiga crónica,1
"('TEP', 'tromboembolismo pulmonar')",TEP,tromboembolismo pulmonar,1
"('PHA', 'por leucocitos mononucleares activados con fitohemaglutinina')",PHA,por leucocitos mononucleares activados con fitohemaglutinina,1
"('P.C.P.', 'poliartritis crónica progresiva')",P.C.P.,poliartritis crónica progresiva,1
"('AVE', 'acontecimientos vitales estresantes')",AVE,acontecimientos vitales estresantes,1
"('GMSI', 'gamapatía monoclonal de significado indeterminado')",GMSI,gamapatía monoclonal de significado indeterminado,1
"('VC', 'vasculitis cutáneas')",VC,vasculitis cutáneas,1
"('HBPM', 'heparina de bajo peso molecular')",HBPM,heparina de bajo peso molecular,1
"('BN', 'binomial negativa')",BN,binomial negativa,1
"('ESPIDEP', 'estudio piloto de derivación de pacientes con espondiloartritis precoz')",ESPIDEP,estudio piloto de derivación de pacientes con espondiloartritis precoz,1
"('PSH', 'púrpura de schönlein-henoch')",PSH,púrpura de schönlein-henoch,1
"('PCR', 'proteína c reactiva')",PCR,proteína c reactiva,1
"('SV', 'subluxación vertical')",SV,subluxación vertical,1
"('GENTE', 'grupo de estudio de nuevas terapias de enfermedades reumáticas')",GENTE,grupo de estudio de nuevas terapias de enfermedades reumáticas,1
"('SSp', 'síndrome de sjögren primario')",SSp,síndrome de sjögren primario,1
"('IC 95%', 'intervalos de confianza al 95%')",IC 95%,intervalos de confianza al 95%,1
"('CHCC', 'chapel hill consensus conference')",CHCC,chapel hill consensus conference,1
"('ADA', 'adalimumab')",ADA,adalimumab,2
"('AELO', 'antiestreptolisina o')",AELO,antiestreptolisina o,1
"('FIQ', 'fibromyalgia impact questionnaire')",FIQ,fibromyalgia impact questionnaire,2
"('IMID', 'inmunomediadas')",IMID,inmunomediadas,2
"('RIER', 'red de investigación en inflamación y enfermedades reumáticas')",RIER,red de investigación en inflamación y enfermedades reumáticas,1
"('ACR', 'american college of rheumatology')",ACR,american college of rheumatology,1
"('IGEV', 'inmunogtlobulina g humana endovenosa')",IGEV,inmunogtlobulina g humana endovenosa,1
