pair,acronym,description,frequency
"('TUA', 'trastorno por uso de alcohol')",TUA,trastorno por uso de alcohol,1
"('HOMA 2', 'homeostatic model assessment 2')",HOMA 2,homeostatic model assessment 2,1
"('SIS', 'seguro integral de salud')",SIS,seguro integral de salud,1
"('ANCA', 'anticitoplasma de neutrófilos')",ANCA,anticitoplasma de neutrófilos,1
"('CS', 'código sepsis')",CS,código sepsis,1
"('CI', 'calorimetría indirecta')",CI,calorimetría indirecta,2
"('SCA', 'síndrome coronario agudo')",SCA,síndrome coronario agudo,1
"('MAPA', 'monitorización ambulatoria de la presión arterial')",MAPA,monitorización ambulatoria de la presión arterial,2
"('MUE', 'medicina de urgencias y emergencias')",MUE,medicina de urgencias y emergencias,2
"('EIA', 'enzimoinmunoanálisis')",EIA,enzimoinmunoanálisis,1
"('UDVP', 'usuarios de drogas por vía parenteral')",UDVP,usuarios de drogas por vía parenteral,1
"('MRC', 'microorganismos resistentes a ceftriaxona')",MRC,microorganismos resistentes a ceftriaxona,1
"('MNA', 'mini nutricional assessment')",MNA,mini nutricional assessment,1
"('HO', 'hemorragia obstétrica posparto')",HO,hemorragia obstétrica posparto,1
"('RCV', 'riesgo cardiovascular')",RCV,riesgo cardiovascular,1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,2
"('SUH', 'servicios de urgencias hospitalarios')",SUH,servicios de urgencias hospitalarios,1
"('GesEPOC', 'guía española de la enfermedad pulmonar obstructiva crónica')",GesEPOC,guía española de la enfermedad pulmonar obstructiva crónica,1
"('GMSI', 'gamapatía monoclonal de significado indeterminado')",GMSI,gamapatía monoclonal de significado indeterminado,1
"('EC', 'europa central')",EC,europa central,1
"('CVP', 'catéter venoso periférico')",CVP,catéter venoso periférico,1
"('MI', 'medicina interna')",MI,medicina interna,1
"('TMCL', 'tiempo medio de caída libre')",TMCL,tiempo medio de caída libre,1
"('CI', 'control de ingestas')",CI,control de ingestas,1
"('PAI', 'procesos asistenciales integrados')",PAI,procesos asistenciales integrados,1
"('EA', 'enfermedad de alzheimer')",EA,enfermedad de alzheimer,1
"('MFyC', 'medicina familiar y comunitaria')",MFyC,medicina familiar y comunitaria,1
"('INMA', 'infancia y medio ambiente')",INMA,infancia y medio ambiente,1
"('MIV', 'medicina intensiva')",MIV,medicina intensiva,1
"('DE', 'de 80,1 años')",DE,"de 80,1 años",1
"('ARA2', 'antagonistas del receptor de angiotensina 2')",ARA2,antagonistas del receptor de angiotensina 2,1
"('UDAI', 'unidad domiciliaria de atención integral')",UDAI,unidad domiciliaria de atención integral,1
"('Tg/c-HDL', 'triglicéridos/c-hdl')",Tg/c-HDL,triglicéridos/c-hdl,1
