pair,acronym,description,frequency
"('UDP', 'umbrales de dolor a la presion')",UDP,umbrales de dolor a la presion,1
"('Sinasc', 'sistema de informações sobre nascidos vivos')",Sinasc,sistema de informações sobre nascidos vivos,1
"('ESUS', 'embolic stroke of undetermined source')",ESUS,embolic stroke of undetermined source,1
"('HADS', 'hospital anxiety and depression scale')",HADS,hospital anxiety and depression scale,1
"('N.D.G.A.', 'nor-dihidroguayaretico')",N.D.G.A.,nor-dihidroguayaretico,1
"('VPPB', 'vértigo posicional paroxístico benigno')",VPPB,vértigo posicional paroxístico benigno,1
"('ADA', 'american diabetes association')",ADA,american diabetes association,1
"('EEE', 'equina del este')",EEE,equina del este,1
"('GRD', 'grupos relacionados por el diagnostico')",GRD,grupos relacionados por el diagnostico,1
"('SAHOS', 'sindrome de apnea/hipopnea obstructiva del sueño')",SAHOS,sindrome de apnea/hipopnea obstructiva del sueño,2
"('EH', 'enfermedad de huntington')",EH,enfermedad de huntington,1
"('DC', 'dieta cetogenica')",DC,dieta cetogenica,2
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,1
"('SLA', ""screening lexico para las afasias'"")",SLA,screening lexico para las afasias',1
"('RP', 'razones de prevalencia')",RP,razones de prevalencia,1
"('EMRR', 'em remitente recurrente')",EMRR,em remitente recurrente,1
"('Rusia', 'restricciones articulares. iniciada por ulzibat')",Rusia,restricciones articulares. iniciada por ulzibat,1
"('ACV', 'accidente cerebro vascular')",ACV,accidente cerebro vascular,1
"('MMSE', 'minimental de folstein')",MMSE,minimental de folstein,1
"('MDC', 'malformaciones del desarrollo cortical')",MDC,malformaciones del desarrollo cortical,1
"('CMT', 'charcot-marie-tooth')",CMT,charcot-marie-tooth,2
"('REMAH', 'registro molecular de adenomas hipofisarios')",REMAH,registro molecular de adenomas hipofisarios,1
"('SEN', 'sociedad española de neurologia')",SEN,sociedad española de neurologia,2
"('Cr', 'creatina')",Cr,creatina,1
"('ELA', 'esclerosis lateral amiotrófica')",ELA,esclerosis lateral amiotrófica,1
"('CD', 'cociente de desarrollo')",CD,cociente de desarrollo,1
"('PEATC', 'potenciales evocados auditivos del tronco cerebral')",PEATC,potenciales evocados auditivos del tronco cerebral,1
"('DT2', 'diabetes tipo 2')",DT2,diabetes tipo 2,1
"('TANIT', 'tamiz auditivo neonatal e intervención temprana')",TANIT,tamiz auditivo neonatal e intervención temprana,1
"('S.N.M.', 'síndrome neuroléptico maligno')",S.N.M.,síndrome neuroléptico maligno,1
"('SCOPA-Cog', ""scales for outcomes in parkinson's disease-cognition"")",SCOPA-Cog,scales for outcomes in parkinson's disease-cognition,1
"('GOT', 'glutámico-oxalacetica')",GOT,glutámico-oxalacetica,1
"('DCF', 'displasias corticales focales')",DCF,displasias corticales focales,1
"('SFC', 'síndrome de fatiga crónica')",SFC,síndrome de fatiga crónica,1
"('AME', 'atrofia muscular espinal')",AME,atrofia muscular espinal,3
"('CG', 'carga glucémica')",CG,carga glucémica,1
"('DF', 'dependencia funcional')",DF,dependencia funcional,1
"('ENP', 'estimulacion nerviosa periferica')",ENP,estimulacion nerviosa periferica,1
"('ACR', 'adiposidad corporal relativa')",ACR,adiposidad corporal relativa,1
"('TLIV', 'trombolisis intravenosa')",TLIV,trombolisis intravenosa,1
"('CBI', 'cambridge behavioural inventory')",CBI,cambridge behavioural inventory,1
"('NPI-Q', 'neuropsychiatric inventory questionnaire')",NPI-Q,neuropsychiatric inventory questionnaire,1
"('ADAS', ""alzheimer's disease assessment scale"")",ADAS,alzheimer's disease assessment scale,2
"('T.A.C.', 'tomografía computerizada')",T.A.C.,tomografía computerizada,1
"('PubMed', 'publicados en medline')",PubMed,publicados en medline,1
"('SPI', 'sindrome de piernas inquietas')",SPI,sindrome de piernas inquietas,2
"('Venezuela', 'venezolano de la encefalomielitis equina ocurrida en 1962 en el estado zulia')",Venezuela,venezolano de la encefalomielitis equina ocurrida en 1962 en el estado zulia,1
"('ECTC', 'epilepsia con crisis tonicoclonicas solo')",ECTC,epilepsia con crisis tonicoclonicas solo,1
"('FRCV', 'factores de riesgo cardiovascular')",FRCV,factores de riesgo cardiovascular,1
"('EEV', 'encefalitis equina venezolana')",EEV,encefalitis equina venezolana,1
"('QSM', 'quejas subjetivas de memoria')",QSM,quejas subjetivas de memoria,1
"('IRSPC', 'iowa rating scale for personality change')",IRSPC,iowa rating scale for personality change,2
"('HC', 'hemicranea continua')",HC,hemicranea continua,1
"('TAD', 'terapia asistida con delfines')",TAD,terapia asistida con delfines,1
"('NDPD', 'neuropatía diabética periférica dolorosa')",NDPD,neuropatía diabética periférica dolorosa,1
"('CAMCOG-DS', ""cambridge cognitive examination for older adults with down's syndrome"")",CAMCOG-DS,cambridge cognitive examination for older adults with down's syndrome,1
"('ACV', 'accidentes cerebrovasculares')",ACV,accidentes cerebrovasculares,3
"('ACE-R', ""addenbrooke's cognitive examination-revised"")",ACE-R,addenbrooke's cognitive examination-revised,1
"('IT', 'infratentoriales')",IT,infratentoriales,1
"('FC', 'fenilcetonuria')",FC,fenilcetonuria,1
"('Sinais', 'sistema nacional de información en salud')",Sinais,sistema nacional de información en salud,1
"('AVE', 'acontecimientos vitales estresantes')",AVE,acontecimientos vitales estresantes,1
"('PRP', 'plasma rico en plaquetas')",PRP,plasma rico en plaquetas,1
"('NAA', 'n-acetilaspartato')",NAA,n-acetilaspartato,1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,1
"('POCS', 'punta-onda continua durante el sueño')",POCS,punta-onda continua durante el sueño,1
"('PLEDs', 'periódicas epileptiformes lateralizadas')",PLEDs,periódicas epileptiformes lateralizadas,1
"('TB-DI', 'test barcelona para discapacidad intelectual')",TB-DI,test barcelona para discapacidad intelectual,1
"('APOE', 'apolipoproteína e')",APOE,apolipoproteína e,1
"('FA', 'fibrilación auricular')",FA,fibrilación auricular,1
"('PTTG', 'pituitary tumour-transforming gene')",PTTG,pituitary tumour-transforming gene,1
"('HACRE', 'hidroarsenicismo crónico regional endémico')",HACRE,hidroarsenicismo crónico regional endémico,1
"('EsC', 'estimulacion cognitiva')",EsC,estimulacion cognitiva,1
"('GBM', 'glioblastoma multiforme')",GBM,glioblastoma multiforme,1
"('PRL', 'prolactina')",PRL,prolactina,3
"('T@M', 'test de alteración de memoria')",T@M,test de alteración de memoria,1
"('CN', 'complicaciones neurologicas')",CN,complicaciones neurologicas,1
"('AIT', 'ataque isquemico transitorio')",AIT,ataque isquemico transitorio,2
"('DCL', 'de comprensión lectora')",DCL,de comprensión lectora,1
"('ISP', 'inventario de sintomas prefrontales')",ISP,inventario de sintomas prefrontales,4
"('CMC', 'consulta monografica de cefaleas')",CMC,consulta monografica de cefaleas,1
"('AF', 'actividad física')",AF,actividad física,1
"('STE', 'síndrome tóxico epidémico')",STE,síndrome tóxico epidémico,1
"('MIPSE', ""mortalidad innecesariamente prematura y sanitariamente evitable'"")",MIPSE,mortalidad innecesariamente prematura y sanitariamente evitable',1
"('EFAM', 'evaluación funcional del adulto mayor')",EFAM,evaluación funcional del adulto mayor,2
"('DMAE', 'degeneración macular asociada a la edad')",DMAE,degeneración macular asociada a la edad,1
"('TN', 'triple negativo')",TN,triple negativo,1
"('MGMT', 'metilguanina-adn-metiltransferasa')",MGMT,metilguanina-adn-metiltransferasa,2
"('NPI-NH', 'neuropsychiatric inventory-nursing home version')",NPI-NH,neuropsychiatric inventory-nursing home version,1
"('TEA', 'trastorno del espectro del autismo')",TEA,trastorno del espectro del autismo,1
"('SEM', 'servicio de emergencias médicas')",SEM,servicio de emergencias médicas,2
"('HSA', 'hemorragia subaracnoidea')",HSA,hemorragia subaracnoidea,1
"('EAONO', 'european academy of otology and neurotology')",EAONO,european academy of otology and neurotology,2
"('FLANC', 'federación latinoamericana de neurocirugía')",FLANC,federación latinoamericana de neurocirugía,1
"('ECAVIPEP', 'escala de calidad de vida para pacientes epilepticos pediatricos')",ECAVIPEP,escala de calidad de vida para pacientes epilepticos pediatricos,1
"('PVMD', 'programa de ventilación mecánica domiciliaria')",PVMD,programa de ventilación mecánica domiciliaria,1
"('EC', 'estenosis carotidea')",EC,estenosis carotidea,1
