pair,acronym,description,frequency
"('NNE-GEP', 'neuroendocrinas del aparato gastrointestinal y páncreas')",NNE-GEP,neuroendocrinas del aparato gastrointestinal y páncreas,1
"('SAMe', 's-adenosil-l-metionina')",SAMe,s-adenosil-l-metionina,1
"('APLV', 'a la proteína de leche de vaca')",APLV,a la proteína de leche de vaca,1
"('ACE', 'antígeno carcinoembrionario')",ACE,antígeno carcinoembrionario,2
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,2
"('SAAa', 'subluxación atlantoaxial anterior')",SAAa,subluxación atlantoaxial anterior,1
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,1
"('NEA', 'nutrición enteral ambulatoria')",NEA,nutrición enteral ambulatoria,1
"('AJCC', 'american joint committee on cancer')",AJCC,american joint committee on cancer,1
"('AFO', 'actividad física de ocio')",AFO,actividad física de ocio,1
"('MDC', 'malformaciones del desarrollo cortical')",MDC,malformaciones del desarrollo cortical,1
"('EP', 'embolización percutánea')",EP,embolización percutánea,1
"('PMN', 'polimorfonucleares neutrófilos')",PMN,polimorfonucleares neutrófilos,2
"('GGPH', 'goma guar parcialmente hidrolizada')",GGPH,goma guar parcialmente hidrolizada,1
"('VHS', 'vasculitis por hipersensibilidad')",VHS,vasculitis por hipersensibilidad,1
"('CDMX', 'ciudad de méxico')",CDMX,ciudad de méxico,1
"('SAF', 'síndrome antifosfolípidos')",SAF,síndrome antifosfolípidos,1
"('Cr', 'creatina')",Cr,creatina,1
"('Psq', 'pseudoquiste')",Psq,pseudoquiste,1
"('GCCB-S', 'grupo cooperativo de carcinoma broncogénico de separ')",GCCB-S,grupo cooperativo de carcinoma broncogénico de separ,1
"('PEATC', 'potenciales evocados auditivos del tronco cerebral')",PEATC,potenciales evocados auditivos del tronco cerebral,1
"('SOH', 'sangre oculta en heces')",SOH,sangre oculta en heces,1
"('CTC', 'células tumorales circulantes')",CTC,células tumorales circulantes,1
"('ITU', 'infección del tracto urinario')",ITU,infección del tracto urinario,1
"('VRI', 'vena renal izquierda')",VRI,vena renal izquierda,1
