pair,acronym,description,frequency
"('Sinasc', 'sistema de informações sobre nascidos vivos')",Sinasc,sistema de informações sobre nascidos vivos,1
"('BPN', 'bajo peso al nacer')",BPN,bajo peso al nacer,3
"('PEG', 'para su edad gestacional')",PEG,para su edad gestacional,1
"('PTFE', 'politetrafluoroetileno expandido')",PTFE,politetrafluoroetileno expandido,1
"('PEG', 'para la edad gestacional')",PEG,para la edad gestacional,1
"('NPT', 'nutricion parental total')",NPT,nutricion parental total,1
"('R.A.B.D.H.', 'reflejo aurículo-braquio-dorsal heterolateral')",R.A.B.D.H.,reflejo aurículo-braquio-dorsal heterolateral,1
"('TMI', 'tasa de mortalidad infantil')",TMI,tasa de mortalidad infantil,1
"('PN', 'peso al nacimiento')",PN,peso al nacimiento,1
"('TMP', 'tasa de mortalidad posneonatal')",TMP,tasa de mortalidad posneonatal,1
"('RNMBP', 'recién nacido de muy bajo peso')",RNMBP,recién nacido de muy bajo peso,1
"('ECLAMC', 'estudio colaborativo latino americano de malformaciones congénitas')",ECLAMC,estudio colaborativo latino americano de malformaciones congénitas,2
"('CD', 'cociente de desarrollo')",CD,cociente de desarrollo,1
"('TANIT', 'tamiz auditivo neonatal e intervención temprana')",TANIT,tamiz auditivo neonatal e intervención temprana,1
"('TRA', 'técnicas de reproducción asistida')",TRA,técnicas de reproducción asistida,1
"('EXIT', 'ex-utero intrapartum treatment')",EXIT,ex-utero intrapartum treatment,1
"('FIVTE', 'fertilización in vitro con transferencia de embriones')",FIVTE,fertilización in vitro con transferencia de embriones,1
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,1
"('PVE', 'pie varus equino congénito')",PVE,pie varus equino congénito,1
"('IgE', 'inmunoglobulina e')",IgE,inmunoglobulina e,1
"('NAV', 'neumonía asociada a ventilador')",NAV,neumonía asociada a ventilador,1
"('RENAC', 'red nacional de anomalías congénitas')",RENAC,red nacional de anomalías congénitas,2
"('SAAS', 'sin antecedente de abuso sexual')",SAAS,sin antecedente de abuso sexual,1
"('CCUSG-061', 'coordinación de urgencias sanitarias de galicia-061')",CCUSG-061,coordinación de urgencias sanitarias de galicia-061,1
"('CIR', 'crecimiento intrauterino')",CIR,crecimiento intrauterino,1
"('IC 95%', 'intervalo de confianza del 95%')",IC 95%,intervalo de confianza del 95%,1
"('IN', 'infección nosocomial')",IN,infección nosocomial,1
"('NPT', 'nutrición parenteral')",NPT,nutrición parenteral,1
"('BPT', 'bajo peso a término')",BPT,bajo peso a término,1
"('LH', 'leche humana')",LH,leche humana,1
"('AAS', 'antecedente de abuso sexual')",AAS,antecedente de abuso sexual,1
"('LME', 'lactancia materna exclusiva')",LME,lactancia materna exclusiva,2
"('RNP-BP', 'recién nacido prematuro hospitalizado de bajo peso')",RNP-BP,recién nacido prematuro hospitalizado de bajo peso,1
"('FC', 'fenilcetonuria')",FC,fenilcetonuria,1
"('Red INMA', ""red de investigación 'infancia y medio ambiente'"")",Red INMA,red de investigación 'infancia y medio ambiente',1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,1
"('CID', 'coagulación intravascular diseminada')",CID,coagulación intravascular diseminada,1
"('HACRE', 'hidroarsenicismo crónico regional endémico')",HACRE,hidroarsenicismo crónico regional endémico,1
"('DI', 'duplicaciones intestinales')",DI,duplicaciones intestinales,1
"('SCV', 'secreción cervicovaginal')",SCV,secreción cervicovaginal,1
"('ROP', 'retinopatía del prematuro')",ROP,retinopatía del prematuro,1
"('DCP', 'desnutrición calórico-proteica')",DCP,desnutrición calórico-proteica,1
"('RN', 'recién nacido')",RN,recién nacido,4
"('FI', 'fracaso intestinal')",FI,fracaso intestinal,1
"('MDA', 'malondialdehído')",MDA,malondialdehído,1
"('SEPAR', 'sociedad española de neumología y cirugía torácica')",SEPAR,sociedad española de neumología y cirugía torácica,1
"('CIE-9', 'clasificación internacional de enfermedades, 9.(a) revisión')",CIE-9,"clasificación internacional de enfermedades, 9.(a) revisión",1
"('SENPE', 'sociedad espanola de nutricion parenteral y enteral')",SENPE,sociedad espanola de nutricion parenteral y enteral,1
"('FETI', 'fetal endosc6pica')",FETI,fetal endosc6pica,1
"('S.F.A', 'síndrome fetal alcohólico')",S.F.A,síndrome fetal alcohólico,1
"('LIHC', 'lesiones isquémico hemorrágicas cerebrales')",LIHC,lesiones isquémico hemorrágicas cerebrales,1
"('DR', 'dificultad respiratoria')",DR,dificultad respiratoria,1
"('INMA', 'infancia y medio ambiente')",INMA,infancia y medio ambiente,1
"('MN', 'meningitis neonatal')",MN,meningitis neonatal,1
"('TGO', 'transaminasa glutamico oxalacetica')",TGO,transaminasa glutamico oxalacetica,1
"('DCI', 'desnutrición crónica infantil')",DCI,desnutrición crónica infantil,1
"('FNf', 'fibronectina fetal')",FNf,fibronectina fetal,1
"('CI', 'cociente intelectual')",CI,cociente intelectual,1
"('RNPT', 'recién nacidos prematuros')",RNPT,recién nacidos prematuros,1
"('IC 95%', 'intervalos de confianza al 95%')",IC 95%,intervalos de confianza al 95%,2
"('CET', 'complejo esclerosis tuberosa')",CET,complejo esclerosis tuberosa,1
"('BCCU', 'banco de células de\xa0cordón umbilical')",BCCU,banco de células de cordón umbilical,1
"('PIVh', 'parainfluenza virus humano')",PIVh,parainfluenza virus humano,1
"('E.C.E.P.', 'escherichia coli enteropatógeno clásico')",E.C.E.P.,escherichia coli enteropatógeno clásico,1
"('GEN-VN', 'grupo de estudios neonatales vasco-navarro')",GEN-VN,grupo de estudios neonatales vasco-navarro,1
"('OMS', 'organización mundial de la salud')",OMS,organización mundial de la salud,3
"('casos', 'controles, en 123 recién nacidos de bajo peso')",casos,"controles, en 123 recién nacidos de bajo peso",1
"('SDG', 'semanas de gestación')",SDG,semanas de gestación,1
"('CAVC', 'canal atrioventricular completo')",CAVC,canal atrioventricular completo,1
"('IVA', 'isovalérica')",IVA,isovalérica,1
"('SM', 'síndrome metabólico')",SM,síndrome metabólico,1
"('HSRV', 'hiperplasia suprarrenal virilizante')",HSRV,hiperplasia suprarrenal virilizante,1
"('HR', 'hazard ratio')",HR,hazard ratio,1
"('LA', 'lactancia artificial')",LA,lactancia artificial,1
"('IC 95%', 'intervalos de confianza al 95 %')",IC 95%,intervalos de confianza al 95 %,1
"('MARS', 'multivariate adaptative regression splines')",MARS,multivariate adaptative regression splines,1
"('SMSL', 'síndrome de la muerte súbita del lactante')",SMSL,síndrome de la muerte súbita del lactante,2
"('PN', 'peso al nacer')",PN,peso al nacer,1
"('SN', 'síndrome de netherton')",SN,síndrome de netherton,1
"('ISD', 'inventario de la situación diagnóstica')",ISD,inventario de la situación diagnóstica,1
"('IC', 'intervalo de confianza')",IC,intervalo de confianza,1
"('NED', 'nutrición enteral domiciliaria')",NED,nutrición enteral domiciliaria,1
"('BGN-MR', 'bacilos gram-negativos multirresistentes')",BGN-MR,bacilos gram-negativos multirresistentes,1
"('IPI', 'indice ponderal intrauterino')",IPI,indice ponderal intrauterino,1
"('SINAN', 'sistema de información de enfermedades de notificación')",SINAN,sistema de información de enfermedades de notificación,1
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana,1
"('SDR', 'síndrome de dificultad respiratoria')",SDR,síndrome de dificultad respiratoria,2
"('ES/E', 'estatura sentada/estatura')",ES/E,estatura sentada/estatura,1
"('IRA', 'infección respiratoria aguda')",IRA,infección respiratoria aguda,2
"('NIE III', 'neoplasia intraepitelial de alto grado')",NIE III,neoplasia intraepitelial de alto grado,1
"('SIRI', 'síndrome de insuficiencia respiratoria idiopática')",SIRI,síndrome de insuficiencia respiratoria idiopática,1
"('SNS', 'sistema de nutrición suplementaria para lactar')",SNS,sistema de nutrición suplementaria para lactar,1
"('CI', 'coeficiente intelectual')",CI,coeficiente intelectual,1
"('IC95%', 'intervalos de confianza del 95%')",IC95%,intervalos de confianza del 95%,1
"('VHB', 'virus de la hepatitis b')",VHB,virus de la hepatitis b,2
"('TMI-MC', 'tasa de mortalidad infantil por mc')",TMI-MC,tasa de mortalidad infantil por mc,1
"('IC', 'indicadores de calidad')",IC,indicadores de calidad,1
"('EHI', 'encefalopatía hipóxico-isquémica')",EHI,encefalopatía hipóxico-isquémica,1
"('PC/E', 'perímetro cefálico/estatura')",PC/E,perímetro cefálico/estatura,1
"('DE', 'disruptores endocrinos')",DE,disruptores endocrinos,1
"('Rn', 'recién nacidos')",Rn,recién nacidos,1
"('VIH', 'virus de la inmunodeficiencia humana')",VIH,virus de la inmunodeficiencia humana,3
"('RNTI', 'registro nacional de tumores infantiles')",RNTI,registro nacional de tumores infantiles,1
"('TAR', 'trombocitopenia con aplasia de radio')",TAR,trombocitopenia con aplasia de radio,1
