pair,acronym,description,frequency
"('BPN', 'bajo peso al nacer')",BPN,bajo peso al nacer,2
"('PEG', 'para su edad gestacional')",PEG,para su edad gestacional,1
"('CIE', 'colestasia intrahepática del embarazo')",CIE,colestasia intrahepática del embarazo,1
"('EMRR', 'em remitente recurrente')",EMRR,em remitente recurrente,1
"('PN', 'peso al nacimiento')",PN,peso al nacimiento,1
"('AOC', 'anticonceptivos orales combinados')",AOC,anticonceptivos orales combinados,1
"('L.E.S.', 'lupus eritematoso sistémico')",L.E.S.,lupus eritematoso sistémico,1
"('TRA', 'técnicas de reproducción asistida')",TRA,técnicas de reproducción asistida,1
"('FIVTE', 'fertilización in vitro con transferencia de embriones')",FIVTE,fertilización in vitro con transferencia de embriones,1
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,2
"('SAAS', 'sin antecedente de abuso sexual')",SAAS,sin antecedente de abuso sexual,1
"('CIR', 'crecimiento intrauterino')",CIR,crecimiento intrauterino,1
"('REDIP', 'registro español de inmunodeficiencias primarias')",REDIP,registro español de inmunodeficiencias primarias,1
"('HPRT', 'hipoxantina guanina fosforribosiltransferasa')",HPRT,hipoxantina guanina fosforribosiltransferasa,1
"('BPT', 'bajo peso a término')",BPT,bajo peso a término,1
"('AAS', 'antecedente de abuso sexual')",AAS,antecedente de abuso sexual,1
"('MTHFR', 'metilentetrahidrofolatorreductasa')",MTHFR,metilentetrahidrofolatorreductasa,1
"('Red INMA', ""red de investigación 'infancia y medio ambiente'"")",Red INMA,red de investigación 'infancia y medio ambiente',1
"('AL', 'anticoagulante lúpico')",AL,anticoagulante lúpico,1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,1
"('FQ', 'fibrosis quística')",FQ,fibrosis quística,3
"('PRL', 'prolactina')",PRL,prolactina,2
"('BSF', 'bromosulftaleina')",BSF,bromosulftaleina,1
"('SCV', 'secreción cervicovaginal')",SCV,secreción cervicovaginal,1
"('ROP', 'retinopatía del prematuro')",ROP,retinopatía del prematuro,1
"('RN', 'recién nacido')",RN,recién nacido,3
"('PGR', 'pérdida gestacional recurrente')",PGR,pérdida gestacional recurrente,1
"('FI', 'fracaso intestinal')",FI,fracaso intestinal,1
"('FETI', 'fetal endosc6pica')",FETI,fetal endosc6pica,1
"('S.F.A', 'síndrome fetal alcohólico')",S.F.A,síndrome fetal alcohólico,1
"('ERI', 'equipo de respuesta inmediata')",ERI,equipo de respuesta inmediata,1
"('LAH', 'ligadura de arterias hipogástricas')",LAH,ligadura de arterias hipogástricas,1
"('LIHC', 'lesiones isquémico hemorrágicas cerebrales')",LIHC,lesiones isquémico hemorrágicas cerebrales,1
"('DR', 'dificultad respiratoria')",DR,dificultad respiratoria,1
"('HChr', 'hormona de crecimiento humana recombinante')",HChr,hormona de crecimiento humana recombinante,1
"('ADE', 'ancho de distribución eritrocitario')",ADE,ancho de distribución eritrocitario,1
"('II', 'insulina-receptor')",II,insulina-receptor,1
"('FNf', 'fibronectina fetal')",FNf,fibronectina fetal,1
"('RM', 'resonancia magnetica')",RM,resonancia magnetica,1
"('GENTE', 'grupo de estudio de nuevas terapias de enfermedades reumáticas')",GENTE,grupo de estudio de nuevas terapias de enfermedades reumáticas,1
"('RNPT', 'recién nacidos prematuros')",RNPT,recién nacidos prematuros,1
"('PM10', 'partículas menores de 10 µm')",PM10,partículas menores de 10 µm,1
"('IC 95%', 'intervalos de confianza al 95%')",IC 95%,intervalos de confianza al 95%,2
"('OMS', 'organización mundial de la salud')",OMS,organización mundial de la salud,1
