pair,acronym,description,frequency
"('UCI', 'unidad de cuidado intensivo')",UCI,unidad de cuidado intensivo,1
"('EH', 'esteatosis hepática')",EH,esteatosis hepática,1
"('EK', 'enfermedad de kawasaki')",EK,enfermedad de kawasaki,2
"('CEFEN', 'comité de estudios fetoneonatales')",CEFEN,comité de estudios fetoneonatales,1
"('CI', 'calorimetría indirecta')",CI,calorimetría indirecta,2
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,1
"('AENP', 'asociación española de nefrología pediátrica')",AENP,asociación española de nefrología pediátrica,1
"('TAIA', 'tratamiento antimicrobiano intravenoso ambulatorio')",TAIA,tratamiento antimicrobiano intravenoso ambulatorio,1
"('DC', 'dieta cetogenica')",DC,dieta cetogenica,1
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,1
"('pre-', 'posintervención')",pre-,posintervención,1
"('CMB', 'circunferencia media de brazo')",CMB,circunferencia media de brazo,1
"('VPR', 'volumen plaquetario relativo')",VPR,volumen plaquetario relativo,1
"('CDMX', 'ciudad de méxico')",CDMX,ciudad de méxico,1
"('RNMBP', 'recién nacido de muy bajo peso')",RNMBP,recién nacido de muy bajo peso,1
"('BUN/Cr', 'bun/creatinina')",BUN/Cr,bun/creatinina,1
"('CD', 'cociente de desarrollo')",CD,cociente de desarrollo,1
"('TCNA', 'trauma craneal no accidental')",TCNA,trauma craneal no accidental,1
"('VHC', 'virus de la hepatitis c')",VHC,virus de la hepatitis c,1
"('ITU', 'infección del tracto urinario')",ITU,infección del tracto urinario,1
"('HG', 'hipogammaglobulinemia')",HG,hipogammaglobulinemia,1
"('VRI', 'vena renal izquierda')",VRI,vena renal izquierda,1
"('FE', 'fístulas enterocutáneas')",FE,fístulas enterocutáneas,1
"('TRA', 'técnicas de reproducción asistida')",TRA,técnicas de reproducción asistida,1
"('TFGe', 'tasa de filtración glomerular estimada')",TFGe,tasa de filtración glomerular estimada,1
