pair,acronym,description,frequency
"('PPAF', 'programa de promoción de actividad física')",PPAF,programa de promoción de actividad física,1
"('CaMa', 'cáncer de mama')",CaMa,cáncer de mama,1
"('SIS', 'seguro integral de salud')",SIS,seguro integral de salud,1
"('TRA', 'tratamiento restaurador atraumático')",TRA,tratamiento restaurador atraumático,1
"('ADA', 'american diabetes association')",ADA,american diabetes association,1
"('APLV', 'a la proteína de leche de vaca')",APLV,a la proteína de leche de vaca,1
"('IEI', 'intervención educativa individualizada')",IEI,intervención educativa individualizada,1
"('ASRS', 'adhd self-report scale</i>')",ASRS,adhd self-report scale</i>,1
"('EAS', 'europea de aterosclerosis')",EAS,europea de aterosclerosis,1
"('CD', 'cociente de desarrollo')",CD,cociente de desarrollo,1
"('TANIT', 'tamiz auditivo neonatal e intervención temprana')",TANIT,tamiz auditivo neonatal e intervención temprana,1
"('ODS', 'objetivos de desarrollo sostenible')",ODS,objetivos de desarrollo sostenible,1
"('SENC', 'sociedad española de nutrición comunitaria')",SENC,sociedad española de nutrición comunitaria,2
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,1
"('II', 'información al paciente')",II,información al paciente,1
"('EIA', 'enzimoinmunoanálisis')",EIA,enzimoinmunoanálisis,1
"('ONGD', 'organizaciones no gubernamentales para el desarrollo')",ONGD,organizaciones no gubernamentales para el desarrollo,1
"('GMF', 'grupo psicoeducacional multifamiliar')",GMF,grupo psicoeducacional multifamiliar,1
"('EN', 'educación nutricional')",EN,educación nutricional,1
"('FC', 'fenilcetonuria')",FC,fenilcetonuria,1
"('E12', 'españa 0012')",E12,españa 0012,1
"('GABA', 'guías alimentarias basadas en alimentos')",GABA,guías alimentarias basadas en alimentos,1
"('CA', 'consumo de alcohol')",CA,consumo de alcohol,1
"('SEAN', 'sistemas electrónicos de administración de nicotina')",SEAN,sistemas electrónicos de administración de nicotina,1
"('AF', 'actividad física')",AF,actividad física,6
"('RH""', 'rh segunda')","RH""",rh segunda,1
"('EFAM', 'evaluación funcional del adulto mayor')",EFAM,evaluación funcional del adulto mayor,1
"('DMAE', 'degeneración macular asociada a la edad')",DMAE,degeneración macular asociada a la edad,1
"('MST', 'malnutrition screening tool')",MST,malnutrition screening tool,1
"('SEPAR', 'sociedad española de neumología y cirugía torácica')",SEPAR,sociedad española de neumología y cirugía torácica,1
"('DMT2', 'diabetes mellitus tipo 2')",DMT2,diabetes mellitus tipo 2,1
"('BICI', 'bomba de infusión continua de insulina')",BICI,bomba de infusión continua de insulina,1
"('EQUIHP', 'european quality instrument for health promotion')",EQUIHP,european quality instrument for health promotion,1
"('TIC', 'tecnologías de la información y comunicación')",TIC,tecnologías de la información y comunicación,1
"('CHMSS', 'complejo hospitalario metropolitano del seguro social')",CHMSS,complejo hospitalario metropolitano del seguro social,1
"('MIS', 'memory impairment screen')",MIS,memory impairment screen,1
"('G6FD', 'glucosa-6-fosfato dehidrogenasa eritrocítica')",G6FD,glucosa-6-fosfato dehidrogenasa eritrocítica,1
"('DCI', 'desnutrición crónica infantil')",DCI,desnutrición crónica infantil,2
"('CI', 'cociente intelectual')",CI,cociente intelectual,1
"('GENTE', 'grupo de estudio de nuevas terapias de enfermedades reumáticas')",GENTE,grupo de estudio de nuevas terapias de enfermedades reumáticas,1
"('SOCHMEDEP', 'sociedad chilena de medicina del deporte')",SOCHMEDEP,sociedad chilena de medicina del deporte,1
"('OMS', 'organización mundial de la salud')",OMS,organización mundial de la salud,4
"('IVA', 'isovalérica')",IVA,isovalérica,1
"('CEFYDEM', 'centro de formación y desarrollo metodológico para el área de la salud')",CEFYDEM,centro de formación y desarrollo metodológico para el área de la salud,1
"('PAPPS', 'programa de actividades preventivas y de promoción de la salud')",PAPPS,programa de actividades preventivas y de promoción de la salud,2
"('HVB', 'hepatitis vírica tipo b')",HVB,hepatitis vírica tipo b,1
"('AGS', 'aporte de ácidos grasos saturados')",AGS,aporte de ácidos grasos saturados,1
"('SIDA', 'síndrome de inmunodeficiencia adquirida')",SIDA,síndrome de inmunodeficiencia adquirida,1
"('SSSN', 'similares sin nicotina')",SSSN,similares sin nicotina,1
"('GESEPOC', 'guía española de la epoc')",GESEPOC,guía española de la epoc,1
"('sic.', 'social para la apropiación o ""empoderamiento""')",sic.,"social para la apropiación o ""empoderamiento""",1
"('ECV', 'enfermedad cardiovascular')",ECV,enfermedad cardiovascular,1
"('EVW', 'enfermedad de von willebrand')",EVW,enfermedad de von willebrand,2
"('TEA', 'trastorno del espectro autista')",TEA,trastorno del espectro autista,2
"('IMSS', 'instituto mexicano del seguro social')",IMSS,instituto mexicano del seguro social,1
"('DPNC', 'derrame pleural neoplásico complicado')",DPNC,derrame pleural neoplásico complicado,1
"('RVN', 'registro vacunal nominal')",RVN,registro vacunal nominal,1
"('SAAC', 'sistemas de comunicacion aumentativa y alternativa')",SAAC,sistemas de comunicacion aumentativa y alternativa,1
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana,1
"('ED', 'extendido')",ED,extendido,1
"('BP', 'bienestar psicológico')",BP,bienestar psicológico,1
"('GLAITH', 'grupo latinoamericano para el impulso del tratamiento de la hemofilia')",GLAITH,grupo latinoamericano para el impulso del tratamiento de la hemofilia,1
"('EV', 'efectividad vacunal')",EV,efectividad vacunal,1
"('Ensanut', 'encuesta nacional de salud y nutrición')",Ensanut,encuesta nacional de salud y nutrición,1
"('VHB', 'virus de la hepatitis b')",VHB,virus de la hepatitis b,2
"('TCA', 'trastornos del comportamiento alimentario')",TCA,trastornos del comportamiento alimentario,1
"('OPELUCE', 'organización peruana de lucha contra la ceguera')",OPELUCE,organización peruana de lucha contra la ceguera,1
"('FES', 'facultad de estudios superiores')",FES,facultad de estudios superiores,1
"('VIH', 'virus de la inmunodeficiencia humana')",VIH,virus de la inmunodeficiencia humana,3
"('SOCHIPE', 'sociedad chilena de pediatría')",SOCHIPE,sociedad chilena de pediatría,1
"('ECE', 'establecimientos de consumo escolar')",ECE,establecimientos de consumo escolar,1
"('TAO', 'tratamiento anticoagulante oral')",TAO,tratamiento anticoagulante oral,1
"('STID', 'sospechosos de padecer trastornos inaparentes del desarrollo')",STID,sospechosos de padecer trastornos inaparentes del desarrollo,1
"('IB', 'intervención breve')",IB,intervención breve,1
"('RIUPS', 'red iberoamericana de universidades promotoras de la salud')",RIUPS,red iberoamericana de universidades promotoras de la salud,1
"('GESIDA', 'grupo de estudio del sida')",GESIDA,grupo de estudio del sida,1
"('AP', 'atención primaria')",AP,atención primaria,2
"('AMMOM', 'asociación mexicana de metabolismo oseo y mineral')",AMMOM,asociación mexicana de metabolismo oseo y mineral,1
"('ERC', 'enfermedad renal crónica')",ERC,enfermedad renal crónica,3
"('EPOC', 'enfermedad pulmonar obstructiva crónica')",EPOC,enfermedad pulmonar obstructiva crónica,1
"('CEAPE', 'centro de educação e alimentação do pré-escolar')",CEAPE,centro de educação e alimentação do pré-escolar,1
"('EP', 'enfermedad de parkinson')",EP,enfermedad de parkinson,1
"('HF', 'hipercolesterolemia familiar')",HF,hipercolesterolemia familiar,1
"('COPD-PS', 'chronic obstructive pulmonary disease-population screener')",COPD-PS,chronic obstructive pulmonary disease-population screener,1
"('GEDSRT-VHC', 'grupo español de estudio de donantes de sangre en riesgo de transmisión del vhc')",GEDSRT-VHC,grupo español de estudio de donantes de sangre en riesgo de transmisión del vhc,1
"('PS', 'personal sanitario')",PS,personal sanitario,1
"('CN', 'coaching nutricional')",CN,coaching nutricional,1
"('DME', 'de malestar emocional')",DME,de malestar emocional,1
"('VPH', 'virus del papiloma humano')",VPH,virus del papiloma humano,2
