pair,acronym,description,frequency
"('CaMa', 'cáncer de mama')",CaMa,cáncer de mama,1
"('Sinasc', 'sistema de informações sobre nascidos vivos')",Sinasc,sistema de informações sobre nascidos vivos,1
"('ESUS', 'embolic stroke of undetermined source')",ESUS,embolic stroke of undetermined source,1
"('SIS', 'seguro integral de salud')",SIS,seguro integral de salud,1
"('BPN', 'bajo peso al nacer')",BPN,bajo peso al nacer,3
"('PEG', 'para su edad gestacional')",PEG,para su edad gestacional,1
"('RVS', 'respuesta viral sobtenida')",RVS,respuesta viral sobtenida,1
"('CAR', 'conductas alimentarias de riesgo')",CAR,conductas alimentarias de riesgo,1
"('UDVP', 'uso de drogas por vía parenteral')",UDVP,uso de drogas por vía parenteral,1
"('SWFL', 'satisfaction with food-related life')",SWFL,satisfaction with food-related life,1
"('CGE', 'carga global de la enfermedad')",CGE,carga global de la enfermedad,1
"('SCA', 'síndromes coronarios agudos')",SCA,síndromes coronarios agudos,1
"('CEFEN', 'comité de estudios fetoneonatales')",CEFEN,comité de estudios fetoneonatales,1
"('SAHOS', 'sindrome de apnea/hipopnea obstructiva del sueño')",SAHOS,sindrome de apnea/hipopnea obstructiva del sueño,1
"('VADS', 'vías aerodigestivas superiores')",VADS,vías aerodigestivas superiores,1
"('ACE', 'aid to capacity evaluation')",ACE,aid to capacity evaluation,1
"('CI', 'calorimetría indirecta')",CI,calorimetría indirecta,1
"('CVP', 'complejos ventriculares prematuros')",CVP,complejos ventriculares prematuros,1
"('ASRS', 'adhd self-report scale</i>')",ASRS,adhd self-report scale</i>,1
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,1
"('RIC', 'rango intercuartíl')",RIC,rango intercuartíl,1
"('EH', 'enfermedad de huntington')",EH,enfermedad de huntington,1
"('PEG', 'para la edad gestacional')",PEG,para la edad gestacional,1
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,1
"('ET', 'entidades territoriales')",ET,entidades territoriales,1
"('RP', 'razones de prevalencia')",RP,razones de prevalencia,5
"('MDC', 'malformaciones del desarrollo cortical')",MDC,malformaciones del desarrollo cortical,1
"('EVS', 'estilo de vida saludable')",EVS,estilo de vida saludable,1
"('NPT', 'nutricion parental total')",NPT,nutricion parental total,1
"('CMT', 'charcot-marie-tooth')",CMT,charcot-marie-tooth,2
"('DA', 'dermatitis atópica')",DA,dermatitis atópica,1
"('PPI', 'prescripción potencialmente inadecuada')",PPI,prescripción potencialmente inadecuada,2
"('MI', 'micosis invasivas')",MI,micosis invasivas,1
"('REMAH', 'registro molecular de adenomas hipofisarios')",REMAH,registro molecular de adenomas hipofisarios,1
"('SF', 'síndrome de fragilidad')",SF,síndrome de fragilidad,1
"('TMI', 'tasa de mortalidad infantil')",TMI,tasa de mortalidad infantil,1
"('SEN', 'sociedad española de neurologia')",SEN,sociedad española de neurologia,1
"('OPS', 'organización panamericana de la salud')",OPS,organización panamericana de la salud,1
