pair,acronym,description,frequency
"('PPAF', 'programa de promoción de actividad física')",PPAF,programa de promoción de actividad física,2
"('TMIV', 'tiroidectomía mini-invasiva video asistida')",TMIV,tiroidectomía mini-invasiva video asistida,1
"('AVS', 'agencia valenciana de salud')",AVS,agencia valenciana de salud,1
"('HOMA 2', 'homeostatic model assessment 2')",HOMA 2,homeostatic model assessment 2,1
"('CaMa', 'cáncer de mama')",CaMa,cáncer de mama,3
"('Sinasc', 'sistema de informações sobre nascidos vivos')",Sinasc,sistema de informações sobre nascidos vivos,1
"('IIEC', 'infantil de estresores cotidianos')",IIEC,infantil de estresores cotidianos,1
"('MHSO', 'miocardiopatía hipertrófica septal obstructiva')",MHSO,miocardiopatía hipertrófica septal obstructiva,1
"('RIC', 'rangos intercuartílicos')",RIC,rangos intercuartílicos,1
"('SIS', 'seguro integral de salud')",SIS,seguro integral de salud,4
"('VA', 'valencia')",VA,valencia,1
"('S. T.', 'síndrome tóxico')",S. T.,síndrome tóxico,1
"('ERCA', 'enfermedad renal crónica avanzada')",ERCA,enfermedad renal crónica avanzada,1
"('TCI', 'temperament and character inventory')",TCI,temperament and character inventory,1
"('CVCs', 'cvc subclavio')",CVCs,cvc subclavio,1
"('ANCA', 'anticitoplasma de neutrófilos')",ANCA,anticitoplasma de neutrófilos,2
"('BPN', 'bajo peso al nacer')",BPN,bajo peso al nacer,3
"('ERSPC', 'european randomized study of screening for prostate cancer')",ERSPC,european randomized study of screening for prostate cancer,1
"('RSN', 'riesgo septico nutricional')",RSN,riesgo septico nutricional,1
"('TRA', 'tratamiento restaurador atraumático')",TRA,tratamiento restaurador atraumático,2
"('GOLD', 'global para la enfermedad pulmonar obstructiva crónica')",GOLD,global para la enfermedad pulmonar obstructiva crónica,1
"('CS', 'código sepsis')",CS,código sepsis,1
"('PEG', 'para su edad gestacional')",PEG,para su edad gestacional,1
"('ADA', 'american diabetes association')",ADA,american diabetes association,2
"('RS', 'revisiones sistemáticas')",RS,revisiones sistemáticas,1
"('RVS', 'respuesta viral sobtenida')",RVS,respuesta viral sobtenida,1
"('IgG', 'inmunoglobulinas g')",IgG,inmunoglobulinas g,1
"('SEICAP', 'sociedad española de inmunología clínica y alergología pediátrica')",SEICAP,sociedad española de inmunología clínica y alergología pediátrica,1
"('DDD', 'diarias definidas')",DDD,diarias definidas,2
"('CAR', 'conductas alimentarias de riesgo')",CAR,conductas alimentarias de riesgo,1
"('G%', 'grasas')",G%,grasas,1
"('SWFL', 'satisfaction with food-related life')",SWFL,satisfaction with food-related life,1
"('CGE', 'carga global de la enfermedad')",CGE,carga global de la enfermedad,1
"('RN', 'riesgo nutricional')",RN,riesgo nutricional,1
"('UDG', 'universidad de guadalajara')",UDG,universidad de guadalajara,1
"('SCA', 'síndromes coronarios agudos')",SCA,síndromes coronarios agudos,1
"('KOOS', 'knee injury and osteoarthritis outcome score')",KOOS,knee injury and osteoarthritis outcome score,1
"('APLV', 'a la proteína de leche de vaca')",APLV,a la proteína de leche de vaca,2
"('PRUQ', 'perception of restraintuse questionnaire')",PRUQ,perception of restraintuse questionnaire,1
"('SAHOS', 'sindrome de apnea/hipopnea obstructiva del sueño')",SAHOS,sindrome de apnea/hipopnea obstructiva del sueño,2
"('VADS', 'vías aerodigestivas superiores')",VADS,vías aerodigestivas superiores,1
"('ACE', 'aid to capacity evaluation')",ACE,aid to capacity evaluation,1
"('CI', 'calorimetría indirecta')",CI,calorimetría indirecta,2
"('CC', 'circunferencia de la cintura')",CC,circunferencia de la cintura,2
"('RENAC', 'registro nacional de angioplastia coronaria')",RENAC,registro nacional de angioplastia coronaria,1
"('IEI', 'intervención educativa individualizada')",IEI,intervención educativa individualizada,2
"('CVP', 'complejos ventriculares prematuros')",CVP,complejos ventriculares prematuros,1
"('ASRS', 'adhd self-report scale</i>')",ASRS,adhd self-report scale</i>,2
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,2
"('EH', 'enfermedad de huntington')",EH,enfermedad de huntington,1
"('PA-HBsAg', 'portadores asintomáticos hbsag')",PA-HBsAg,portadores asintomáticos hbsag,1
"('EAT-10', 'eating assessment tool 10')",EAT-10,eating assessment tool 10,1
"('EMB', 'extensión de media brazada')",EMB,extensión de media brazada,1
"('PEG', 'para la edad gestacional')",PEG,para la edad gestacional,1
"('AENP', 'asociación española de nefrología pediátrica')",AENP,asociación española de nefrología pediátrica,1
"('TAIA', 'tratamiento antimicrobiano intravenoso ambulatorio')",TAIA,tratamiento antimicrobiano intravenoso ambulatorio,1
"('VPP', 'valor predictivo positivo')",VPP,valor predictivo positivo,3
"('RAR', 'reducción absoluta del riesgo')",RAR,reducción absoluta del riesgo,1
"('EAS', 'europea de aterosclerosis')",EAS,europea de aterosclerosis,2
"('ET', 'entidades territoriales')",ET,entidades territoriales,1
"('SLA', ""screening lexico para las afasias'"")",SLA,screening lexico para las afasias',1
