pair,acronym,description,frequency
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,4
"('RE', 'reparación emocional')",RE,reparación emocional,1
"('NIC', 'neoplasias intraepiteliales cervicales')",NIC,neoplasias intraepiteliales cervicales,1
"('IFN-gamma', 'interferon gamma')",IFN-gamma,interferon gamma,1
"('ITS', 'infecciones de transmisión sexual')",ITS,infecciones de transmisión sexual,3
"('U.P.I.G.O.', 'unión profesional internacional de ginecologos y obstetras')",U.P.I.G.O.,unión profesional internacional de ginecologos y obstetras,1
"('T.P.I.', 'treponemica de nelson')",T.P.I.,treponemica de nelson,1
"('CCI', 'citorreducción de intervalo')",CCI,citorreducción de intervalo,1
"('HSH', 'hombres que tienen sexo con hombres')",HSH,hombres que tienen sexo con hombres,1
"('STFF', 'síndrome de trasfusión feto fetal')",STFF,síndrome de trasfusión feto fetal,1
"('V.P.H.', 'virus del papiloma humano')",V.P.H.,virus del papiloma humano,1
"('Red INMA', ""red de investigación 'infancia y medio ambiente'"")",Red INMA,red de investigación 'infancia y medio ambiente',1
"('E12', 'españa 0012')",E12,españa 0012,1
"('IVE', 'interrupción voluntaria del embarazo')",IVE,interrupción voluntaria del embarazo,1
"('APROC', 'actividades profesionales confiables')",APROC,actividades profesionales confiables,1
"('SAS', 'sexual assertiveness scale')",SAS,sexual assertiveness scale,1
"('CIN III', 'casos de neoplasia intraepitelial grado iii')",CIN III,casos de neoplasia intraepitelial grado iii,1
"('PGR', 'pérdida gestacional recurrente')",PGR,pérdida gestacional recurrente,1
"('LIEBG', 'lesión intraepitelial escamosa de bajo grado')",LIEBG,lesión intraepitelial escamosa de bajo grado,1
"('CCU', 'cáncer de cuello uterino')",CCU,cáncer de cuello uterino,1
"('GLI', 'global de función pulmonar')",GLI,global de función pulmonar,1
"('INMA', 'infancia y medio ambiente')",INMA,infancia y medio ambiente,1
"('LIEAG', 'lesión intraepitelial escamosa de alto grado')",LIEAG,lesión intraepitelial escamosa de alto grado,1
"('CE', 'claridad emocional')",CE,claridad emocional,1
"('NGPP', 'neisseria gonorrhoeae productoras de penicilinasa')",NGPP,neisseria gonorrhoeae productoras de penicilinasa,1
"('España', 'en un hospital terciario de la coruña')",España,en un hospital terciario de la coruña,1
"('SSPA 7', 'servicio de salud pública del área 7')",SSPA 7,servicio de salud pública del área 7,1
"('IC 95%', 'intervalos de confianza al 95%')",IC 95%,intervalos de confianza al 95%,1
"('OMS', 'organización mundial de la salud')",OMS,organización mundial de la salud,1
"('SM', 'síndrome metabólico')",SM,síndrome metabólico,1
"('HR', 'hazard ratio')",HR,hazard ratio,1
"('ICSI', 'intracitoplásmica de espermatozoides')",ICSI,intracitoplásmica de espermatozoides,1
"('IA', 'incidencias acumuladas')",IA,incidencias acumuladas,1
"('IMSS', 'instituto mexicano del seguro social')",IMSS,instituto mexicano del seguro social,1
"('VIH', 'virus de la inmunodeficiencia del humano')",VIH,virus de la inmunodeficiencia del humano,1
"('VPH-AR', 'virus del papiloma humano de alto riesgo')",VPH-AR,virus del papiloma humano de alto riesgo,2
"('CCU', 'cáncer de cérvix uterino')",CCU,cáncer de cérvix uterino,1
"('NIVa', 'neoplasia intraepitelial vaginal')",NIVa,neoplasia intraepitelial vaginal,1
"('IPI', 'indice ponderal intrauterino')",IPI,indice ponderal intrauterino,1
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana,1
"('NIE III', 'neoplasia intraepitelial de alto grado')",NIE III,neoplasia intraepitelial de alto grado,1
"(""DIU's"", 'dispositivos intrauterinos')",DIU's,dispositivos intrauterinos,1
"('TPSPT', 'trastorno por estrés post traumático')",TPSPT,trastorno por estrés post traumático,1
"('DIU', 'dispositivo intrauterino')",DIU,dispositivo intrauterino,1
"('TAN', 'tasa de apendicectomía negativa')",TAN,tasa de apendicectomía negativa,1
"('MCA', 'metilcianoacrilato')",MCA,metilcianoacrilato,1
"('PET-FDG', 'positrones mediante 18-fluoro-2-desoxi-d-glucosa')",PET-FDG,positrones mediante 18-fluoro-2-desoxi-d-glucosa,1
"('PHH', 'porcentaje de hígado herniado')",PHH,porcentaje de hígado herniado,1
"('DE', 'disruptores endocrinos')",DE,disruptores endocrinos,1
"('VIH', 'virus de la inmunodeficiencia humana')",VIH,virus de la inmunodeficiencia humana,1
"('r.i.a.', 'radioinmunoanálisis')",r.i.a.,radioinmunoanálisis,1
"('AMEU', 'aspiración manual endouterina con jeringa de karmann')",AMEU,aspiración manual endouterina con jeringa de karmann,1
"('SSPA', 'sistema sanitario público de andalucía')",SSPA,sistema sanitario público de andalucía,1
"('GESIDA', 'grupo de estudio del sida')",GESIDA,grupo de estudio del sida,1
"('AEBI', 'asociación nacional de bioética y ética médica')",AEBI,asociación nacional de bioética y ética médica,1
"('DPC', 'dolor pélvico crónico')",DPC,dolor pélvico crónico,1
"('MEDAPROC', 'modelo educativo para desarrollar actividades profesionales confiables')",MEDAPROC,modelo educativo para desarrollar actividades profesionales confiables,1
"('LHR o/e', 'lung to head ratio observado/esperado')",LHR o/e,lung to head ratio observado/esperado,1
"('FONASA', 'fondo nacional de salud')",FONASA,fondo nacional de salud,1
"('AE', 'atención emocional')",AE,atención emocional,1
"('HDC', 'hernia diafragmática congénita')",HDC,hernia diafragmática congénita,2
"('LHR O/E', 'lung to head ratio observado/esperado')",LHR O/E,lung to head ratio observado/esperado,1
"('VPH', 'virus del papiloma humano')",VPH,virus del papiloma humano,9
"('RI', 'resistencia a la insulina')",RI,resistencia a la insulina,1
"('SIVFRENT-A', 'sistema de vigilancia defactores de riesgo de enfermedades no transmisibles')",SIVFRENT-A,sistema de vigilancia defactores de riesgo de enfermedades no transmisibles,1
"('IMSI', 'intracitoplásmica de espermatozoides morfológicamente seleccionados')",IMSI,intracitoplásmica de espermatozoides morfológicamente seleccionados,1
"('MGH-SFQ', 'massachusetts general hospital-sexual functioning questionnaire')",MGH-SFQ,massachusetts general hospital-sexual functioning questionnaire,1
"('VPH', 'virus papiloma humano')",VPH,virus papiloma humano,3
"('VHS-1', 'virus del herpes simple tipo 1')",VHS-1,virus del herpes simple tipo 1,1
"('RFCE', 'receptor del factor de crecimiento epidérmico')",RFCE,receptor del factor de crecimiento epidérmico,1
"('SOP', 'síndrome de ovarios poliquísticos')",SOP,síndrome de ovarios poliquísticos,1
"('ZBS', 'zona básica de salud')",ZBS,zona básica de salud,1
