pair,acronym,description,frequency
"('TIG', 'transferencia intratubaria de gametos')",TIG,transferencia intratubaria de gametos,1
"('EAU', 'european association of urology')",EAU,european association of urology,1
"('CAU', 'confederación americana de urología')",CAU,confederación americana de urología,1
"('TRA', 'técnicas de reproducción asistida')",TRA,técnicas de reproducción asistida,1
"('FIVTE', 'fertilización in vitro con transferencia de embriones')",FIVTE,fertilización in vitro con transferencia de embriones,1
"('NIA', 'necesidades insatisfechas de anticoncepción')",NIA,necesidades insatisfechas de anticoncepción,1
"('IC', 'infarto cerebral')",IC,infarto cerebral,1
"('OMS', 'organización mundial de la salud')",OMS,organización mundial de la salud,1
"('ICSI', 'intracitoplásmica de espermatozoides')",ICSI,intracitoplásmica de espermatozoides,1
"('HUC', 'hospital universitario de caracas')",HUC,hospital universitario de caracas,1
"('ONT', 'organización nacional de trasplantes')",ONT,organización nacional de trasplantes,1
"('URS', 'ureterorrenoscopia')",URS,ureterorrenoscopia,1
"('AEBI', 'asociación nacional de bioética y ética médica')",AEBI,asociación nacional de bioética y ética médica,1
"('IMSI', 'intracitoplásmica de espermatozoides morfológicamente seleccionados')",IMSI,intracitoplásmica de espermatozoides morfológicamente seleccionados,1
"('FVV', 'fístula vesico-vaginal')",FVV,fístula vesico-vaginal,1
"('TDI', 'trastornos del desarrollo intelectual')",TDI,trastornos del desarrollo intelectual,1
"('I.A.E.', 'inseminación artificial con semen del esposo')",I.A.E.,inseminación artificial con semen del esposo,1
"('Nematoda', 'nematodo parásito romanomermis iyengari (welch, 1964)')",Nematoda,"nematodo parásito romanomermis iyengari (welch, 1964)",1
"('ETS', 'enfermedades de transmisión sexual')",ETS,enfermedades de transmisión sexual,1
"('AEBI', 'asociación española de bioética y ética médica')",AEBI,asociación española de bioética y ética médica,1
"('TSP- 1', 'trombospondina-1')",TSP- 1,trombospondina-1,1
"('IIU', 'inseminación intrauterina')",IIU,inseminación intrauterina,1
"('ICSI', 'intracitoplasmática de espermatozoides')",ICSI,intracitoplasmática de espermatozoides,2
"('DERA', 'desajuste emocional y recursos adaptativos en infertilidad')",DERA,desajuste emocional y recursos adaptativos en infertilidad,1
"('MT', 'microlitiasis testicular')",MT,microlitiasis testicular,1
"('DIPI', 'directa intraperitoneal')",DIPI,directa intraperitoneal,1
