pair,acronym,description,frequency
"('TMIV', 'tiroidectomía mini-invasiva video asistida')",TMIV,tiroidectomía mini-invasiva video asistida,1
"('MHSO', 'miocardiopatía hipertrófica septal obstructiva')",MHSO,miocardiopatía hipertrófica septal obstructiva,1
"('RIC', 'rangos intercuartílicos')",RIC,rangos intercuartílicos,1
"('PSC', 'placa de sostén condíleo')",PSC,placa de sostén condíleo,1
"('CVCs', 'cvc subclavio')",CVCs,cvc subclavio,1
"('CEP', 'colangitis esclerosante primaria')",CEP,colangitis esclerosante primaria,1
"('QLAD', 'queratoplastia lamelar anterior descemética')",QLAD,queratoplastia lamelar anterior descemética,1
"('RSN', 'riesgo septico nutricional')",RSN,riesgo septico nutricional,1
"('RN', 'riesgo nutricional')",RN,riesgo nutricional,1
"('RENAC', 'registro nacional de angioplastia coronaria')",RENAC,registro nacional de angioplastia coronaria,1
"('ACE', 'antígeno carcinoembrionario')",ACE,antígeno carcinoembrionario,1
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,2
"('AENP', 'asociación española de nefrología pediátrica')",AENP,asociación española de nefrología pediátrica,1
"('MTHFR', 'metilén tetrahidrofólico reductasa')",MTHFR,metilén tetrahidrofólico reductasa,1
"('FOI-MM', 'fisura orbitaria inferior-músculo de müller')",FOI-MM,fisura orbitaria inferior-músculo de müller,1
"('Rusia', 'restricciones articulares. iniciada por ulzibat')",Rusia,restricciones articulares. iniciada por ulzibat,1
"('SETH', 'sociedad española de trasplante hepático')",SETH,sociedad española de trasplante hepático,5
"('CP', 'cierre primario')",CP,cierre primario,1
"('VHG', 'virus de la hepatitis g')",VHG,virus de la hepatitis g,1
"('Rop/Dx', 'ropivacaína con dexametasona')",Rop/Dx,ropivacaína con dexametasona,1
"('CRPCE', 'cirugía de resección pulmonar de corta estancia')",CRPCE,cirugía de resección pulmonar de corta estancia,1
"('Psq', 'pseudoquiste')",Psq,pseudoquiste,1
"('GCCB-S', 'grupo cooperativo de carcinoma broncogénico de separ')",GCCB-S,grupo cooperativo de carcinoma broncogénico de separ,1
"('ELA', 'esclerosis lateral amiotrófica')",ELA,esclerosis lateral amiotrófica,1
"('IFN-gamma', 'interferon gamma')",IFN-gamma,interferon gamma,1
"('U.P.I.G.O.', 'unión profesional internacional de ginecologos y obstetras')",U.P.I.G.O.,unión profesional internacional de ginecologos y obstetras,1
"('PEATC', 'potenciales evocados auditivos del tronco cerebral')",PEATC,potenciales evocados auditivos del tronco cerebral,1
"('CCI', 'citorreducción de intervalo')",CCI,citorreducción de intervalo,1
"('FE', 'fístulas enterocutáneas')",FE,fístulas enterocutáneas,1
"('H.P.', 'hipertensión portal')",H.P.,hipertensión portal,1
"('DCF', 'displasias corticales focales')",DCF,displasias corticales focales,1
"('EXIT', 'ex-utero intrapartum treatment')",EXIT,ex-utero intrapartum treatment,1
"('GEMPO', 'grupo de estudio de morbimortalidad postoperatoria')",GEMPO,grupo de estudio de morbimortalidad postoperatoria,1
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,3
"('V.P.T.E.', 'vesiculografía mediante punción transperineal ecodirigida')",V.P.T.E.,vesiculografía mediante punción transperineal ecodirigida,1
