pair,acronym,description,frequency
"('BPN', 'bajo peso al nacer')",BPN,bajo peso al nacer,1
"('PEG', 'para su edad gestacional')",PEG,para su edad gestacional,1
"('CIE', 'colestasia intrahepática del embarazo')",CIE,colestasia intrahepática del embarazo,1
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,2
"('EMRR', 'em remitente recurrente')",EMRR,em remitente recurrente,1
"('RE', 'reparación emocional')",RE,reparación emocional,1
"('PN', 'peso al nacimiento')",PN,peso al nacimiento,1
"('U.P.I.G.O.', 'unión profesional internacional de ginecologos y obstetras')",U.P.I.G.O.,unión profesional internacional de ginecologos y obstetras,1
"('L.E.S.', 'lupus eritematoso sistémico')",L.E.S.,lupus eritematoso sistémico,1
"('TRA', 'técnicas de reproducción asistida')",TRA,técnicas de reproducción asistida,1
"('FIVTE', 'fertilización in vitro con transferencia de embriones')",FIVTE,fertilización in vitro con transferencia de embriones,1
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,2
"('ALA', 'alfalinolenico')",ALA,alfalinolenico,1
"('STFF', 'síndrome de trasfusión feto fetal')",STFF,síndrome de trasfusión feto fetal,1
"('CIR', 'crecimiento intrauterino')",CIR,crecimiento intrauterino,1
"('IC 95%', 'intervalo de confianza del 95%')",IC 95%,intervalo de confianza del 95%,1
"('HPRT', 'hipoxantina guanina fosforribosiltransferasa')",HPRT,hipoxantina guanina fosforribosiltransferasa,1
"('IC', 'infarto cerebral')",IC,infarto cerebral,1
"('V.P.H.', 'virus del papiloma humano')",V.P.H.,virus del papiloma humano,1
"('BPT', 'bajo peso a término')",BPT,bajo peso a término,1
"('MTHFR', 'metilentetrahidrofolatorreductasa')",MTHFR,metilentetrahidrofolatorreductasa,1
"('Red INMA', ""red de investigación 'infancia y medio ambiente'"")",Red INMA,red de investigación 'infancia y medio ambiente',1
"('AL', 'anticoagulante lúpico')",AL,anticoagulante lúpico,1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,1
"('IVE', 'interrupción voluntaria del embarazo')",IVE,interrupción voluntaria del embarazo,2
"('PRL', 'prolactina')",PRL,prolactina,2
"('SCV', 'secreción cervicovaginal')",SCV,secreción cervicovaginal,1
"('APROC', 'actividades profesionales confiables')",APROC,actividades profesionales confiables,1
"('PGR', 'pérdida gestacional recurrente')",PGR,pérdida gestacional recurrente,1
"('FETI', 'fetal endosc6pica')",FETI,fetal endosc6pica,1
"('S.F.A', 'síndrome fetal alcohólico')",S.F.A,síndrome fetal alcohólico,1
"('ERI', 'equipo de respuesta inmediata')",ERI,equipo de respuesta inmediata,1
"('LAH', 'ligadura de arterias hipogástricas')",LAH,ligadura de arterias hipogástricas,1
"('LIHC', 'lesiones isquémico hemorrágicas cerebrales')",LIHC,lesiones isquémico hemorrágicas cerebrales,1
"('GLI', 'global de función pulmonar')",GLI,global de función pulmonar,1
"('INMA', 'infancia y medio ambiente')",INMA,infancia y medio ambiente,1
"('HChr', 'hormona de crecimiento humana recombinante')",HChr,hormona de crecimiento humana recombinante,1
"('ADE', 'ancho de distribución eritrocitario')",ADE,ancho de distribución eritrocitario,1
"('II', 'insulina-receptor')",II,insulina-receptor,1
"('FNf', 'fibronectina fetal')",FNf,fibronectina fetal,1
"('CE', 'claridad emocional')",CE,claridad emocional,1
"('RM', 'resonancia magnetica')",RM,resonancia magnetica,1
"('GENTE', 'grupo de estudio de nuevas terapias de enfermedades reumáticas')",GENTE,grupo de estudio de nuevas terapias de enfermedades reumáticas,1
"('RNPT', 'recién nacidos prematuros')",RNPT,recién nacidos prematuros,1
"('IC 95%', 'intervalos de confianza al 95%')",IC 95%,intervalos de confianza al 95%,1
"('OMS', 'organización mundial de la salud')",OMS,organización mundial de la salud,1
"('FETO', 'fetoscópica')",FETO,fetoscópica,1
"('UACJ', 'universidad autónoma de ciudad juárez')",UACJ,universidad autónoma de ciudad juárez,1
"('IVA', 'isovalérica')",IVA,isovalérica,1
"('SM', 'síndrome metabólico')",SM,síndrome metabólico,2
"('MARS', 'multivariate adaptative regression splines')",MARS,multivariate adaptative regression splines,1
"('ICSI', 'intracitoplásmica de espermatozoides')",ICSI,intracitoplásmica de espermatozoides,1
"('EMPP', 'em primariamente progresiva')",EMPP,em primariamente progresiva,1
"('VHC', 'virus hepatitis c')",VHC,virus hepatitis c,1
"('SCID', 'síndrome de coagulación intravascular diseminada')",SCID,síndrome de coagulación intravascular diseminada,1
"('IMSS', 'instituto mexicano del seguro social')",IMSS,instituto mexicano del seguro social,1
"('VPH-AR', 'virus del papiloma humano de alto riesgo')",VPH-AR,virus del papiloma humano de alto riesgo,1
"('CCU', 'cáncer de cérvix uterino')",CCU,cáncer de cérvix uterino,1
"('NIVa', 'neoplasia intraepitelial vaginal')",NIVa,neoplasia intraepitelial vaginal,1
"('IPI', 'indice ponderal intrauterino')",IPI,indice ponderal intrauterino,1
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana,1
"('ACMPV', 'anomalías congénitas de mal pronóstico vital')",ACMPV,anomalías congénitas de mal pronóstico vital,1
"('NIE III', 'neoplasia intraepitelial de alto grado')",NIE III,neoplasia intraepitelial de alto grado,1
"('UVBBE', 'ultravioleta b de banda estrecha')",UVBBE,ultravioleta b de banda estrecha,1
"('TPSPT', 'trastorno por estrés post traumático')",TPSPT,trastorno por estrés post traumático,1
"('TAN', 'tasa de apendicectomía negativa')",TAN,tasa de apendicectomía negativa,1
"('PHH', 'porcentaje de hígado herniado')",PHH,porcentaje de hígado herniado,1
"('DE', 'disruptores endocrinos')",DE,disruptores endocrinos,1
