pair,acronym,description,frequency
"('CVCs', 'cvc subclavio')",CVCs,cvc subclavio,1
"('RENAC', 'registro nacional de angioplastia coronaria')",RENAC,registro nacional de angioplastia coronaria,1
"('CRPCE', 'cirugía de resección pulmonar de corta estancia')",CRPCE,cirugía de resección pulmonar de corta estancia,1
"('GCCB-S', 'grupo cooperativo de carcinoma broncogénico de separ')",GCCB-S,grupo cooperativo de carcinoma broncogénico de separ,1
"('H.P.', 'hipertensión portal')",H.P.,hipertensión portal,1
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,1
"('SDTA', 'sistema de drenaje torácico autónomo')",SDTA,sistema de drenaje torácico autónomo,1
"('TLIV', 'trombolisis intravenosa')",TLIV,trombolisis intravenosa,1
"('FL', 'fibrinolisis')",FL,fibrinolisis,1
"('IN', 'infección nosocomial')",IN,infección nosocomial,1
"('NO', 'nítrico')",NO,nítrico,1
"('CVP', 'catéter venoso periférico')",CVP,catéter venoso periférico,2
"('PEITHO', 'pulmonary embolism thrombolysis')",PEITHO,pulmonary embolism thrombolysis,1
"('SECCV', 'sociedad española de cirugía cardiovascular')",SECCV,sociedad española de cirugía cardiovascular,5
"('EDC', 'ecografía doppler color')",EDC,ecografía doppler color,2
"('SEPAR', 'sociedad española de neumología y cirugía torácica')",SEPAR,sociedad española de neumología y cirugía torácica,7
"('ATP', 'angioplastia transluminal percutánea')",ATP,angioplastia transluminal percutánea,2
"('SEN', 'sociedad española de neurología')",SEN,sociedad española de neurología,1
"('PVC', 'presión venosa central')",PVC,presión venosa central,1
"('ATP', 'angioplastía transluminal percutánea')",ATP,angioplastía transluminal percutánea,1
"('GOS', 'glasgow outcome score')",GOS,glasgow outcome score,1
"('CMN', 'centro médico nacional')",CMN,centro médico nacional,1
"('IC 95%', 'intervalos de confianza al 95%')",IC 95%,intervalos de confianza al 95%,1
"('ECG-IC', 'electrocardiográfico intracavitario')",ECG-IC,electrocardiográfico intracavitario,2
"('FAVIDE', 'fístulas arteriovenosas intradurales dorsales espinales')",FAVIDE,fístulas arteriovenosas intradurales dorsales espinales,1
"('HR', 'hazard ratio')",HR,hazard ratio,2
"('TASPE', 'trasplante autólogo de progenitores hematopoyéticos de sangre periférica')",TASPE,trasplante autólogo de progenitores hematopoyéticos de sangre periférica,1
"('PT', 'presión de tratamiento')",PT,presión de tratamiento,1
"('AV', 'acceso vascular')",AV,acceso vascular,1
"('IMSS', 'instituto mexicano del seguro social')",IMSS,instituto mexicano del seguro social,1
"('PCM', 'primer contacto médico')",PCM,primer contacto médico,1
"('DPNC', 'derrame pleural neoplásico complicado')",DPNC,derrame pleural neoplásico complicado,1
"('SENR', 'sociedad española de neurorradiología')",SENR,sociedad española de neurorradiología,1
"('REALSICA', 'registro de alteplasa en síndromes coronarios agudos con elevación del st')",REALSICA,registro de alteplasa en síndromes coronarios agudos con elevación del st,1
"('PCT', 'procalcitonina')",PCT,procalcitonina,1
"('CC', 'cardiopatías congénitas')",CC,cardiopatías congénitas,3
"('GIHV', 'grupo interhospitalario valenciano')",GIHV,grupo interhospitalario valenciano,2
"('TC', 'tiempo de corrección')",TC,tiempo de corrección,1
"('SAVC', 'sistemas de acceso venoso central')",SAVC,sistemas de acceso venoso central,1
"('EPOC', 'enfermedad pulmonar obstructiva crónica')",EPOC,enfermedad pulmonar obstructiva crónica,2
