pair,acronym,description,frequency
"('RIC', 'rangos intercuartílicos')",RIC,rangos intercuartílicos,1
"('PSC', 'placa de sostén condíleo')",PSC,placa de sostén condíleo,1
"('TTT', 'total de la técnica')",TTT,total de la técnica,1
"('KOOS', 'knee injury and osteoarthritis outcome score')",KOOS,knee injury and osteoarthritis outcome score,1
"('SAAa', 'subluxación atlantoaxial anterior')",SAAa,subluxación atlantoaxial anterior,1
"('TTP', 'tiempo parcial de tromboplastina')",TTP,tiempo parcial de tromboplastina,1
"('TEP', 'tromboembolismo pulmonar')",TEP,tromboembolismo pulmonar,1
"('T.A.C.', 'tomografía computerizada')",T.A.C.,tomografía computerizada,1
"('IRSPC', 'iowa rating scale for personality change')",IRSPC,iowa rating scale for personality change,2
"('ACV', 'accidentes cerebrovasculares')",ACV,accidentes cerebrovasculares,2
"('TMA', 'tiempo máximo de apnea')",TMA,tiempo máximo de apnea,1
"('AVAD', 'años de vida ajustados por discapacidad')",AVAD,años de vida ajustados por discapacidad,1
"('PRP', 'plasma rico en plaquetas')",PRP,plasma rico en plaquetas,2
"('SDRA', 'síndrome de distrés respiratorio del adulto')",SDRA,síndrome de distrés respiratorio del adulto,1
"('HBPM', 'heparina de bajo peso molecular')",HBPM,heparina de bajo peso molecular,1
"('ISP', 'inventario de sintomas prefrontales')",ISP,inventario de sintomas prefrontales,3
"('LCA', 'ligamento cruzado anterior')",LCA,ligamento cruzado anterior,4
"('CCU-112', 'coordinador de urgencias y emergencias-112')",CCU-112,coordinador de urgencias y emergencias-112,1
"('SEM', 'servicio de emergencias médicas')",SEM,servicio de emergencias médicas,1
"('TE', 'tablero espinal')",TE,tablero espinal,1
"('SDOM', 'síndrome de disfunción orgánica múltiple')",SDOM,síndrome de disfunción orgánica múltiple,1
"('T.E.C.', 'traumatismo encefalo craneano')",T.E.C.,traumatismo encefalo craneano,1
"('STC', 'síndrome del túnel del carpo')",STC,síndrome del túnel del carpo,1
"('PCR', 'proteína c reactiva')",PCR,proteína c reactiva,2
"('RISC II', 'revised injury severity classification score ii')",RISC II,revised injury severity classification score ii,1
"('RAFI', 'reducción abierta y fijación interna')",RAFI,reducción abierta y fijación interna,2
"('Gln', 'glutamina')",Gln,glutamina,1
"('SV', 'subluxación vertical')",SV,subluxación vertical,1
"('RM', 'resonancia magnetica')",RM,resonancia magnetica,1
"('GRD', 'grupos relacionados por el diagnóstico')",GRD,grupos relacionados por el diagnóstico,1
"('LRINEC', 'laboratory risk indicator for necrotizing fasciitis')",LRINEC,laboratory risk indicator for necrotizing fasciitis,1
"('OP', 'osteoporosis')",OP,osteoporosis,1
"('MPD', 'marcapasos definitivos')",MPD,marcapasos definitivos,1
"('STC', 'sindrome del tunel carpiano')",STC,sindrome del tunel carpiano,2
"('VR', 'valgo de rodilla')",VR,valgo de rodilla,1
"('HSDC', 'hematoma subdural cronico')",HSDC,hematoma subdural cronico,1
"('MD', 'merle daubigné')",MD,merle daubigné,1
"('END', 'escala numérica de dolor')",END,escala numérica de dolor,1
"('AP', 'admisión primaria')",AP,admisión primaria,1
"('FR', 'flexión de rodilla')",FR,flexión de rodilla,1
"('UME', 'unidades medicalizadas de emergencia')",UME,unidades medicalizadas de emergencia,1
"('RACat', 'registro de artroplastias de cataluña')",RACat,registro de artroplastias de cataluña,1
"('MRC', 'medical research council')",MRC,medical research council,1
"('LMR', 'lesión del manguito rotador')",LMR,lesión del manguito rotador,1
"('BoNT-A', 'botulínica tipo a')",BoNT-A,botulínica tipo a,1
"('UVBBE', 'ultravioleta b de banda estrecha')",UVBBE,ultravioleta b de banda estrecha,1
"('TCE', 'traumatismos craneoencefalicos')",TCE,traumatismos craneoencefalicos,2
"('FPS', 'factor de protección solar')",FPS,factor de protección solar,1
"('TCE', 'traumatismo craneoencefalico')",TCE,traumatismo craneoencefalico,3
"('PPA', 'placa periarticular')",PPA,placa periarticular,1
"('ORN', 'osteoradionecrosis')",ORN,osteoradionecrosis,1
"('VIH', 'virus de la inmunodeficiencia humana')",VIH,virus de la inmunodeficiencia humana,1
"('FDF', 'fractura de diáfisis femoral')",FDF,fractura de diáfisis femoral,1
"('MCF', 'metacarpofalángico')",MCF,metacarpofalángico,1
"('AS', 'admisión secundaria')",AS,admisión secundaria,1
"('RCP', 'reanimación cardiopulmonar')",RCP,reanimación cardiopulmonar,1
"('TBC', 'tuberculosis de la columna')",TBC,tuberculosis de la columna,1
"('AMMOM', 'asociación mexicana de metabolismo oseo y mineral')",AMMOM,asociación mexicana de metabolismo oseo y mineral,1
"('MIR', 'médicos internos residentes')",MIR,médicos internos residentes,1
"('IP', 'indicadores de proceso')",IP,indicadores de proceso,1
"('SU', 'servicio de urgencias')",SU,servicio de urgencias,2
"('ENG', 'electroneurograma')",ENG,electroneurograma,2
"('RMP', 'relajación muscular progresiva')",RMP,relajación muscular progresiva,1
"('CGEO', 'celulas de la glia envolvente olfatoria')",CGEO,celulas de la glia envolvente olfatoria,1
"('AESP', 'actividad eléctrica sin pulso')",AESP,actividad eléctrica sin pulso,1
"('kcal', 'kilocalorías')",kcal,kilocalorías,1
"('EIA', 'escoliosis idiopática del adolescente')",EIA,escoliosis idiopática del adolescente,1
"('FC', 'fracturas de cadera')",FC,fracturas de cadera,1
"('FLL', 'fractura-luxación de lisfranc')",FLL,fractura-luxación de lisfranc,1
"('AR', 'artritis reumatoide')",AR,artritis reumatoide,1
"('TCE', 'traumatismo craneoencefálico')",TCE,traumatismo craneoencefálico,1
"('IE', 'intubar en estático')",IE,intubar en estático,1
"('LM', 'lesiones medulares')",LM,lesiones medulares,1
