pair,acronym,description,frequency
"('AVS', 'agencia valenciana de salud')",AVS,agencia valenciana de salud,1
"('BAI', 'bloqueo androgénico intermitente')",BAI,bloqueo androgénico intermitente,1
"('ERCA', 'enfermedad renal crónica avanzada')",ERCA,enfermedad renal crónica avanzada,1
"('ERSPC', 'european randomized study of screening for prostate cancer')",ERSPC,european randomized study of screening for prostate cancer,1
"('ADA', 'american diabetes association')",ADA,american diabetes association,1
"('DDD', 'diarias definidas')",DDD,diarias definidas,1
"('CGE', 'carga global de la enfermedad')",CGE,carga global de la enfermedad,1
"('AENP', 'asociación española de nefrología pediátrica')",AENP,asociación española de nefrología pediátrica,1
"('TAIA', 'tratamiento antimicrobiano intravenoso ambulatorio')",TAIA,tratamiento antimicrobiano intravenoso ambulatorio,1
"('VAU', 'vainas de acceso ureteral')",VAU,vainas de acceso ureteral,1
"('RP', 'razones de prevalencia')",RP,razones de prevalencia,1
"('EAU', 'european association of urology')",EAU,european association of urology,1
"('EP', 'embolización percutánea')",EP,embolización percutánea,1
"('ITUS', 'infecciones del tracto urinario superior')",ITUS,infecciones del tracto urinario superior,1
"('DT2', 'diabetes tipo 2')",DT2,diabetes tipo 2,1
"('CAU', 'confederación americana de urología')",CAU,confederación americana de urología,1
"('ITU', 'infección del tracto urinario')",ITU,infección del tracto urinario,1
"('VRI', 'vena renal izquierda')",VRI,vena renal izquierda,1
"('HDM', 'hemodiálisis de mantenimiento')",HDM,hemodiálisis de mantenimiento,1
"('SRA', 'sistema renina-angiotensina')",SRA,sistema renina-angiotensina,1
"('NLDV', 'nefrectomía laparoscópica del donante vivo')",NLDV,nefrectomía laparoscópica del donante vivo,1
"('MAPA', 'monitorización ambulatoria de presión arterial')",MAPA,monitorización ambulatoria de presión arterial,1
"('TFGe', 'tasa de filtración glomerular estimada')",TFGe,tasa de filtración glomerular estimada,1
"('BLEE', 'betalactamasas de espectro extendido')",BLEE,betalactamasas de espectro extendido,2
"('CNI', 'cistinosis nefropática infantil')",CNI,cistinosis nefropática infantil,1
"('VP', 'volumen prostático')",VP,volumen prostático,1
"('PRL', 'prostatectomía radical laparoscópica')",PRL,prostatectomía radical laparoscópica,1
"('MRC', 'microorganismos resistentes a ceftriaxona')",MRC,microorganismos resistentes a ceftriaxona,1
"('IUE', 'incontinencia urinaria de esfuerzo')",IUE,incontinencia urinaria de esfuerzo,2
"('CIRC', 'con insuficiencia renal crónica')",CIRC,con insuficiencia renal crónica,1
"('BEP', 'bleomicina y vinblastina (pvb) o etoposido')",BEP,bleomicina y vinblastina (pvb) o etoposido,1
"('REPIR', 'registro español pediátrico de insuficiencia renal terminal')",REPIR,registro español pediátrico de insuficiencia renal terminal,1
"('CTR', 'cistectomía radical')",CTR,cistectomía radical,1
"('PGN', 'pacientes (75,8%) con glucosa normalizada')",PGN,"pacientes (75,8%) con glucosa normalizada",1
"('HAD', 'hospitalización a domicilio')",HAD,hospitalización a domicilio,1
"('CAE', 'comisurotomía anterior endoscópica')",CAE,comisurotomía anterior endoscópica,1
"('ANCA', 'anticitoplasma de los neutrófilos')",ANCA,anticitoplasma de los neutrófilos,1
"('PA', 'presión arterial')",PA,presión arterial,1
"('LRA', 'lesión renal aguda')",LRA,lesión renal aguda,1
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,3
"('IR', 'insuficiencia renal')",IR,insuficiencia renal,1
"('ICAM-1', 'intercelular-1')",ICAM-1,intercelular-1,1
"('eTFG', 'estimación de la tasa de filtración glomerular')",eTFG,estimación de la tasa de filtración glomerular,1
"('PNAnc', 'pna no complicadas')",PNAnc,pna no complicadas,1
"('FSR', 'flujo sanguineo renal')",FSR,flujo sanguineo renal,1
"('DSD', 'desarrollo sexual diferente')",DSD,desarrollo sexual diferente,1
"('CPRC', 'cáncer de próstata resistente a la castracion')",CPRC,cáncer de próstata resistente a la castracion,1
"('TI', 'técnica de ivanissevich')",TI,técnica de ivanissevich,1
"('GLOMANCHA', 'glomerulonefritis en castilla-la mancha')",GLOMANCHA,glomerulonefritis en castilla-la mancha,1
"('D. P.', 'dialisis peritoneal')",D. P.,dialisis peritoneal,1
"('A/C', 'actividad y cronicidad')",A/C,actividad y cronicidad,1
"('FNT–alfa', 'factor de necrosis tumoral alfa')",FNT–alfa,factor de necrosis tumoral alfa,1
"('IGU', 'infecciones genitourinarias')",IGU,infecciones genitourinarias,1
"('VD', 'volumen testicular diferencial')",VD,volumen testicular diferencial,1
"('M-PTH', 'media de hormona parathiroidea')",M-PTH,media de hormona parathiroidea,1
"('CV', 'calcificación vascular')",CV,calcificación vascular,1
"('FRR', 'función renal residual')",FRR,función renal residual,2
"('T.V.S.I.', 'tumores vesicales iniciales superficiales')",T.V.S.I.,tumores vesicales iniciales superficiales,1
"('PCR', 'proteína c reactiva')",PCR,proteína c reactiva,1
"('C/T', 'cociente psa:alpha 1 antiquimotripsina/psa total')",C/T,cociente psa:alpha 1 antiquimotripsina/psa total,1
"('PAAF', 'punción aspiración con aguja fina')",PAAF,punción aspiración con aguja fina,1
"('GNMP', 'glomerulonefritis membranoproliferativa')",GNMP,glomerulonefritis membranoproliferativa,1
"('SNSE', 'sensible a esteroides')",SNSE,sensible a esteroides,1
"('CPCs', 'células prostáticascirculantes primarias')",CPCs,células prostáticascirculantes primarias,1
"('HChr', 'hormona de crecimiento humana recombinante')",HChr,hormona de crecimiento humana recombinante,1
"('TGT', 'tumores germinales de testículo')",TGT,tumores germinales de testículo,1
"('CV', 'carcinoma vesical')",CV,carcinoma vesical,1
"('HPB', 'hiperplasia prostática benigna')",HPB,hiperplasia prostática benigna,2
"('HTA', 'hipertensión arterial')",HTA,hipertensión arterial,2
"('IRA', 'insuficiencia renal aguda')",IRA,insuficiencia renal aguda,1
"('NLPC', 'nefrolitotomía percutánea')",NLPC,nefrolitotomía percutánea,1
"('VINCat', 'vigilancia de la infección nosocomial en cataluña')",VINCat,vigilancia de la infección nosocomial en cataluña,1
"('CS', 'cierre simple')",CS,cierre simple,1
"('TVI', 'tumor vesical infiltrante')",TVI,tumor vesical infiltrante,1
"('CC', 'composición corporal')",CC,composición corporal,1
"('TRRC', 'terapia de reemplazo renal continuo')",TRRC,terapia de reemplazo renal continuo,1
"('UE', 'unión europea')",UE,unión europea,1
"('PAB', 'prostatitis aguda bacteriana')",PAB,prostatitis aguda bacteriana,1
"('HNERM', 'hospital nacional de edgardo rebagliati martins')",HNERM,hospital nacional de edgardo rebagliati martins,1
"('PXG', 'pielonefritis xantogranulomatosa')",PXG,pielonefritis xantogranulomatosa,1
"('AINE', 'aintiinflamatorios no esteroideos')",AINE,aintiinflamatorios no esteroideos,1
"('HBP', 'hiperplasia benigna de la próstata')",HBP,hiperplasia benigna de la próstata,1
"('TVNMI', 'tumor vesical no musculo invasivo')",TVNMI,tumor vesical no musculo invasivo,1
"('VFP', 'vaporizacion fotoselectiva de la prostata')",VFP,vaporizacion fotoselectiva de la prostata,1
"('SDU', 'sindromes de dolor uretral')",SDU,sindromes de dolor uretral,1
"('SM', 'síndrome metabólico')",SM,síndrome metabólico,3
"('DP', 'diálisis peritoneal')",DP,diálisis peritoneal,3
"('CP', 'cáncer de próstata')",CP,cáncer de próstata,2
"('SIDA', 'síndrome de inmunodeficiencia adquirida')",SIDA,síndrome de inmunodeficiencia adquirida,1
"('ULM', 'unidades de lesionados medulares')",ULM,unidades de lesionados medulares,1
"('DPCA', 'diálisis peritoneal continua ambulatoria')",DPCA,diálisis peritoneal continua ambulatoria,5
"('DMPT', 'diabetes mellitus postrasplante')",DMPT,diabetes mellitus postrasplante,1
"('CT', 'colesterol total')",CT,colesterol total,1
"('P.R.', 'poliquistosis renal')",P.R.,poliquistosis renal,1
"('LA', 'líquido amniótico')",LA,líquido amniótico,1
"('HUC', 'hospital universitario de caracas')",HUC,hospital universitario de caracas,1
"('SGLT2', 'sodio-glucosa tipo 2')",SGLT2,sodio-glucosa tipo 2,1
"('ECV', 'enfermedad cardiovascular')",ECV,enfermedad cardiovascular,2
"('ONT', 'organización nacional de trasplantes')",ONT,organización nacional de trasplantes,1
"('TUNA', 'transuretral con aguja')",TUNA,transuretral con aguja,1
"('URS', 'ureterorrenoscopia')",URS,ureterorrenoscopia,1
"('Ft', 'ferritina')",Ft,ferritina,1
"('HHM', 'hemohidrometría')",HHM,hemohidrometría,1
"('PCT', 'pliegue cutáneo tricipital')",PCT,pliegue cutáneo tricipital,1
"('NLP', 'nefrolitectomía percutánea')",NLP,nefrolitectomía percutánea,1
"('NAG', 'n-acetil-glucosaminidasa')",NAG,n-acetil-glucosaminidasa,1
"('RMS', 'rabdomiosarcoma')",RMS,rabdomiosarcoma,1
"('DHCC', 'dihidroxicolecalciferol')",DHCC,dihidroxicolecalciferol,1
"('DFO', 'deferoxamina')",DFO,deferoxamina,1
"('HNF', 'heparina no fraccionada')",HNF,heparina no fraccionada,1
"('IMSS', 'instituto mexicano del seguro social')",IMSS,instituto mexicano del seguro social,1
"('ORs', 'odds ratios')",ORs,odds ratios,1
"('HD', 'hemodiálisis')",HD,hemodiálisis,4
"('VFG', 'velocidad de filtración glomerular')",VFG,velocidad de filtración glomerular,1
"('Fontana', 'forma de ‘‘y’’ usando sutura mecánica no reabsorbible')",Fontana,forma de ‘‘y’’ usando sutura mecánica no reabsorbible,1
"('S.H.U.', 'sindroma hemolítico urémico')",S.H.U.,sindroma hemolítico urémico,1
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana,1
"('L+', 'la pared vesical')",L+,la pared vesical,1
"('IVU', 'infecciones de las vías urinarias')",IVU,infecciones de las vías urinarias,1
"('IDB', 'inventario de depresión de beck')",IDB,inventario de depresión de beck,1
"('NUT', 'nitrógeno urinario total')",NUT,nitrógeno urinario total,1
"('IUE', 'incontinencia de orina de esfuerzo')",IUE,incontinencia de orina de esfuerzo,1
"('plan AUGE', 'plan de acceso universal y garantías explícitas')",plan AUGE,plan de acceso universal y garantías explícitas,1
"('UREA', 'una menor adecuación que la medida por kt/v')",UREA,una menor adecuación que la medida por kt/v,1
"('DE', 'disruptores endocrinos')",DE,disruptores endocrinos,1
"('y III', 'y vesículas seminales-glándulas coagulantes de roedores orquiectomizados')",y III,y vesículas seminales-glándulas coagulantes de roedores orquiectomizados,1
"('MXT', 'mitoxantrone')",MXT,mitoxantrone,1
"('AP', 'anatomopatológico')",AP,anatomopatológico,1
"('FAT', 'fosfatasa alcalina total')",FAT,fosfatasa alcalina total,1
"('PRES', 'posterior reversible')",PRES,posterior reversible,1
"('ITU', 'infecciones del tracto urinario')",ITU,infecciones del tracto urinario,1
"('PG', 'porcentaje de grasa corporal')",PG,porcentaje de grasa corporal,1
"('I.R.C.', 'insuficiencia renal crónica')",I.R.C.,insuficiencia renal crónica,2
"('RAM', 'reacciones adversas a medicamentos')",RAM,reacciones adversas a medicamentos,1
"('EODD', 'en días alternos sin descanso de 72 horas')",EODD,en días alternos sin descanso de 72 horas,1
"('E. M.', 'esclerosis múltiple')",E. M.,esclerosis múltiple,1
"('SLP', 'supervivencia libre de progresión')",SLP,supervivencia libre de progresión,1
"('CyL', 'castilla y león')",CyL,castilla y león,1
"('TT', 'testicular')",TT,testicular,1
"('LEOC', 'litotricia extracorporea por ondas de choque')",LEOC,litotricia extracorporea por ondas de choque,1
"('RTU', 'resección transuretral de próstata')",RTU,resección transuretral de próstata,1
"('HUM', 'hematurimetría')",HUM,hematurimetría,1
"('LEOC', 'litotricia extracorpórea por ondas de choque')",LEOC,litotricia extracorpórea por ondas de choque,3
"('ERC', 'enfermedad renal crónica')",ERC,enfermedad renal crónica,22
"('TR', 'trasplante renal')",TR,trasplante renal,1
"('DPA', 'diálisis peritoneal automatizada')",DPA,diálisis peritoneal automatizada,1
"('VGS', 'valoración global subjetiva')",VGS,valoración global subjetiva,1
"('AISBE', 'análisis del área integral de salud barcelona esquerra')",AISBE,análisis del área integral de salud barcelona esquerra,1
"('FONASA', 'fondo nacional de salud')",FONASA,fondo nacional de salud,1
"('IRC', 'insuficiencia renal crónica')",IRC,insuficiencia renal crónica,2
"('IL-2r', 'interleucina-2r')",IL-2r,interleucina-2r,1
"('VCI', 'vena cava inferior')",VCI,vena cava inferior,1
"('VN', 'vejiga neurógena')",VN,vejiga neurógena,1
"('SU', 'servicio de urgencias')",SU,servicio de urgencias,1
"('SUH', 'síndrome urémico hemolítico')",SUH,síndrome urémico hemolítico,1
"('HHM', 'hemohidrometria')",HHM,hemohidrometria,1
"('CISCA', 'cisplatino, adriamicina y ciclofosfamida')",CISCA,"cisplatino, adriamicina y ciclofosfamida",1
"('NLP', 'nefrolitotricia percutanea')",NLP,nefrolitotricia percutanea,1
"('VPH', 'virus del papiloma humano')",VPH,virus del papiloma humano,1
"('MLG', 'masa libre de grasa')",MLG,masa libre de grasa,1
"('RIA', 'radioinmunoanálisis')",RIA,radioinmunoanálisis,1
"('RSM', 'revisiónsistemática con metaanálisis')",RSM,revisiónsistemática con metaanálisis,1
"('HCP', 'hipercatabolismo proteico')",HCP,hipercatabolismo proteico,1
"('HT', 'hormonas tiroideas')",HT,hormonas tiroideas,1
"('CPA', 'cociente de los productos de actividad')",CPA,cociente de los productos de actividad,1
"('CUMS', 'cistouretrografía miccional seriada')",CUMS,cistouretrografía miccional seriada,1
"('NLP', 'nefrolitotomía percutánea')",NLP,nefrolitotomía percutánea,1
"('NL', 'nefropatía lúpica')",NL,nefropatía lúpica,1
"('TDO', 'terapia dirigida por objetivos')",TDO,terapia dirigida por objetivos,1
"('TAC', 'tomografía axial computerizada')",TAC,tomografía axial computerizada,2
"('DS', 'de 31,9 meses')",DS,"de 31,9 meses",1
"('TRR', 'terapias de reemplazo renal')",TRR,terapias de reemplazo renal,1
"('PAF', 'poliquimioterápico con cisplatino, adriamicina, 5-fluoracilo')",PAF,"poliquimioterápico con cisplatino, adriamicina, 5-fluoracilo",1
"('BPIC-SS', 'bladder pain/interstitial cystitis-symptom score')",BPIC-SS,bladder pain/interstitial cystitis-symptom score,1
"('AVAC', 'años de vida ajustados por calidad de vida')",AVAC,años de vida ajustados por calidad de vida,1
"('BP', 'biopsia de próstata')",BP,biopsia de próstata,1
"('GNRP', 'glomerulonefritis rápidamente progresivas')",GNRP,glomerulonefritis rápidamente progresivas,1
"('LEOCH', 'litotricia extracorpórea mediante ondas de choque')",LEOCH,litotricia extracorpórea mediante ondas de choque,1
"('DHEA', 'dehidroepiandrosterona')",DHEA,dehidroepiandrosterona,1
"('FVP', 'fotovaporización prostática')",FVP,fotovaporización prostática,1
"('CIRR', 'cirugía intrarenal retrograda')",CIRR,cirugía intrarenal retrograda,1
"('GEEP', 'grupo español de endocirugía pediátrica')",GEEP,grupo español de endocirugía pediátrica,1
"('NL', 'nefritis lúpica')",NL,nefritis lúpica,1
"('BPTR', 'biopsia prostática transrectal')",BPTR,biopsia prostática transrectal,1
"('AAST', 'association for the surgery of trauma')",AAST,association for the surgery of trauma,1
"('CB', 'candidiasis bucal')",CB,candidiasis bucal,1
"('NAG', 'n-acetil-b-d-glucosaminidasa a')",NAG,n-acetil-b-d-glucosaminidasa a,1
"('RVI', 'radiología vascular intervencionista')",RVI,radiología vascular intervencionista,1
"('CrS', 'creatinina sérica')",CrS,creatinina sérica,1
