pair,acronym,description,frequency
"('ANCA', 'anticitoplasma de neutrófilos')",ANCA,anticitoplasma de neutrófilos,1
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical,1
"('AZT', 'azidotimidina')",AZT,azidotimidina,1
"('ITS', 'infecciones de transmisión sexual')",ITS,infecciones de transmisión sexual,4
"('HIA', 'hepatitis infecciosa aguda')",HIA,hepatitis infecciosa aguda,1
"('T.P.I.', 'treponemica de nelson')",T.P.I.,treponemica de nelson,1
"('TRS', 'teoría de la representación social')",TRS,teoría de la representación social,1
"('PMIT', 'proyecto multicéntrico de investigación en tuberculosis')",PMIT,proyecto multicéntrico de investigación en tuberculosis,1
"('II', 'inmunodeficiencia humana')",II,inmunodeficiencia humana,1
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica,4
"('EIA', 'enzimoinmunoanálisis')",EIA,enzimoinmunoanálisis,1
"('UDVP', 'usuarios de drogas por vía parenteral')",UDVP,usuarios de drogas por vía parenteral,1
"('SAAS', 'sin antecedente de abuso sexual')",SAAS,sin antecedente de abuso sexual,1
"('HSH', 'hombres que tienen sexo con hombres')",HSH,hombres que tienen sexo con hombres,1
"('TARVAE', 'tratamiento antirretroviral de alta eficacia')",TARVAE,tratamiento antirretroviral de alta eficacia,1
"('V.P.H.', 'virus del papiloma humano')",V.P.H.,virus del papiloma humano,1
"('AAS', 'antecedente de abuso sexual')",AAS,antecedente de abuso sexual,1
"('AF', 'atención farmacéutica')",AF,atención farmacéutica,2
"('SAS', 'sexual assertiveness scale')",SAS,sexual assertiveness scale,1
"('VIH', 'virus de immunodeficiencia humana')",VIH,virus de immunodeficiencia humana,1
"('SIDA', 'síndrome de inmunodeficiencia humana adquirida')",SIDA,síndrome de inmunodeficiencia humana adquirida,1
"('vih', 'virus de la inmunodeficiencia humana')",vih,virus de la inmunodeficiencia humana,1
"('NGPP', 'neisseria gonorrhoeae productoras de penicilinasa')",NGPP,neisseria gonorrhoeae productoras de penicilinasa,1
"('España', 'en un hospital terciario de la coruña')",España,en un hospital terciario de la coruña,1
"('SSPA 7', 'servicio de salud pública del área 7')",SSPA 7,servicio de salud pública del área 7,1
"('SIDA', 'sindrome de immunodeficiencia adquirida')",SIDA,sindrome de immunodeficiencia adquirida,1
"('VIH', 'virus de inmunodeficiencia humano')",VIH,virus de inmunodeficiencia humano,1
"('TARGA', 'tratamiento antirretroviral de gran actividad')",TARGA,tratamiento antirretroviral de gran actividad,1
"('CV', 'carga viral')",CV,carga viral,1
"('S.I.D.A.', 'síndrome de inmunodeficiencia adquirida')",S.I.D.A.,síndrome de inmunodeficiencia adquirida,1
"('SIDA', 'síndrome de inmunodeficiencia adquirida')",SIDA,síndrome de inmunodeficiencia adquirida,21
"('AC-VIH', 'anticuerpos contra el virus de la inmunodeficiencia humana')",AC-VIH,anticuerpos contra el virus de la inmunodeficiencia humana,1
"('TS', 'trabajadoras sexuales')",TS,trabajadoras sexuales,1
"('SIDA', 'sarcoma epidémico de kaposi')",SIDA,sarcoma epidémico de kaposi,1
"('IA', 'incidencias acumuladas')",IA,incidencias acumuladas,1
"('BMQ', 'beliefs about medicines questionnare')",BMQ,beliefs about medicines questionnare,1
"('CoRIS', 'con infección por vih sin tratamiento antirretroviral previo')",CoRIS,con infección por vih sin tratamiento antirretroviral previo,1
"('MSC', 'ministerio de sanidad y consumo')",MSC,ministerio de sanidad y consumo,1
"('TAR', 'tratamiento antirretroviral')",TAR,tratamiento antirretroviral,2
"('VIH', 'virus de la inmunodeficiencia del humano')",VIH,virus de la inmunodeficiencia del humano,1
"('ESG', 'evaluación subjetiva global')",ESG,evaluación subjetiva global,1
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana,11
"('UVBBE', 'ultravioleta b de banda estrecha')",UVBBE,ultravioleta b de banda estrecha,1
"('TARGA', 'terapia antirretroviral de gran actividad')",TARGA,terapia antirretroviral de gran actividad,1
"('VIH', 'virus de la inmunodeficiencia humana')",VIH,virus de la inmunodeficiencia humana,45
"('GESIDA', 'grupo de estudio del sida')",GESIDA,grupo de estudio del sida,2
"('SIDA', 'síndrome de inmuno-deficiencia adquirida')",SIDA,síndrome de inmuno-deficiencia adquirida,1
"('SAEI', 'sociedad andaluza de enfermedades infecciosas')",SAEI,sociedad andaluza de enfermedades infecciosas,1
"('beta 2M', 'beta 2-microglobulina')",beta 2M,beta 2-microglobulina,1
"('VIH-2', 'virus de la inmunodeficiencia humana tipo 2')",VIH-2,virus de la inmunodeficiencia humana tipo 2,3
"('VSG', 'velocidad de sedimentación globular')",VSG,velocidad de sedimentación globular,1
"('DAS', 'de ansiedad ante la muerte')",DAS,de ansiedad ante la muerte,1
"('SIDA', 'sindrome de inmunodeficiencia adquirida')",SIDA,sindrome de inmunodeficiencia adquirida,2
"('VPH', 'virus del papiloma humano')",VPH,virus del papiloma humano,3
