pair,acronym,description,frequency_all_disciplines
"('UDP', 'umbrales de dolor a la presion')",UDP,umbrales de dolor a la presion,2
"('PPAF', 'programa de promoción de actividad física')",PPAF,programa de promoción de actividad física,4
"('TMIV', 'tiroidectomía mini-invasiva video asistida')",TMIV,tiroidectomía mini-invasiva video asistida,4
"('TUA', 'trastorno por uso de alcohol')",TUA,trastorno por uso de alcohol,1
"('AVS', 'agencia valenciana de salud')",AVS,agencia valenciana de salud,3
"('HOMA 2', 'homeostatic model assessment 2')",HOMA 2,homeostatic model assessment 2,2
"('CaMa', 'cáncer de mama')",CaMa,cáncer de mama,9
"('Sinasc', 'sistema de informações sobre nascidos vivos')",Sinasc,sistema de informações sobre nascidos vivos,4
"('IIEC', 'infantil de estresores cotidianos')",IIEC,infantil de estresores cotidianos,1
"('EVN', 'expectativa de vida al nacer')",EVN,expectativa de vida al nacer,1
"('ESUS', 'embolic stroke of undetermined source')",ESUS,embolic stroke of undetermined source,6
"('MHSO', 'miocardiopatía hipertrófica septal obstructiva')",MHSO,miocardiopatía hipertrófica septal obstructiva,3
"('RIC', 'rangos intercuartílicos')",RIC,rangos intercuartílicos,5
"('SIS', 'seguro integral de salud')",SIS,seguro integral de salud,9
"('VA', 'valencia')",VA,valencia,2
"('BAI', 'bloqueo androgénico intermitente')",BAI,bloqueo androgénico intermitente,2
"('HADS', 'hospital anxiety and depression scale')",HADS,hospital anxiety and depression scale,2
"('TIG', 'transferencia intratubaria de gametos')",TIG,transferencia intratubaria de gametos,1
"('S. T.', 'síndrome tóxico')",S. T.,síndrome tóxico,2
"('CEA', 'carcino-embrionario')",CEA,carcino-embrionario,2
"('N.D.G.A.', 'nor-dihidroguayaretico')",N.D.G.A.,nor-dihidroguayaretico,2
"('VPPB', 'vértigo posicional paroxístico benigno')",VPPB,vértigo posicional paroxístico benigno,2
"('PSC', 'placa de sostén condíleo')",PSC,placa de sostén condíleo,3
"('ERCA', 'enfermedad renal crónica avanzada')",ERCA,enfermedad renal crónica avanzada,4
"('TCI', 'temperament and character inventory')",TCI,temperament and character inventory,1
"('atPIG', 'activador tisular del plasminógeno')",atPIG,activador tisular del plasminógeno,3
"('TTT', 'total de la técnica')",TTT,total de la técnica,2
"('CVCs', 'cvc subclavio')",CVCs,cvc subclavio,4
"('ANCA', 'anticitoplasma de neutrófilos')",ANCA,anticitoplasma de neutrófilos,7
"('NNE-GEP', 'neuroendocrinas del aparato gastrointestinal y páncreas')",NNE-GEP,neuroendocrinas del aparato gastrointestinal y páncreas,5
"('CEP', 'colangitis esclerosante primaria')",CEP,colangitis esclerosante primaria,1
"('SAMe', 's-adenosil-l-metionina')",SAMe,s-adenosil-l-metionina,2
"('BPN', 'bajo peso al nacer')",BPN,bajo peso al nacer,15
"('ERSPC', 'european randomized study of screening for prostate cancer')",ERSPC,european randomized study of screening for prostate cancer,4
"('QLAD', 'queratoplastia lamelar anterior descemética')",QLAD,queratoplastia lamelar anterior descemética,2
"('RSN', 'riesgo septico nutricional')",RSN,riesgo septico nutricional,2
"('AEHH', 'asociación española de hematología y hemoterapia')",AEHH,asociación española de hematología y hemoterapia,1
"('TRA', 'tratamiento restaurador atraumático')",TRA,tratamiento restaurador atraumático,3
"('GOLD', 'global para la enfermedad pulmonar obstructiva crónica')",GOLD,global para la enfermedad pulmonar obstructiva crónica,3
"('CS', 'código sepsis')",CS,código sepsis,2
"('PEG', 'para su edad gestacional')",PEG,para su edad gestacional,6
"('ADA', 'american diabetes association')",ADA,american diabetes association,9
"('RS', 'revisiones sistemáticas')",RS,revisiones sistemáticas,1
"('RVS', 'respuesta viral sobtenida')",RVS,respuesta viral sobtenida,4
"('IgG', 'inmunoglobulinas g')",IgG,inmunoglobulinas g,1
"('SEICAP', 'sociedad española de inmunología clínica y alergología pediátrica')",SEICAP,sociedad española de inmunología clínica y alergología pediátrica,2
"('DDD', 'diarias definidas')",DDD,diarias definidas,4
"('CAR', 'conductas alimentarias de riesgo')",CAR,conductas alimentarias de riesgo,2
"('G%', 'grasas')",G%,grasas,2
"('UDVP', 'uso de drogas por vía parenteral')",UDVP,uso de drogas por vía parenteral,2
"('EEE', 'equina del este')",EEE,equina del este,1
"('H.P.I.', 'hemosiderosis pulmonar idiopática')",H.P.I.,hemosiderosis pulmonar idiopática,1
"('SWFL', 'satisfaction with food-related life')",SWFL,satisfaction with food-related life,2
"('UCI', 'unidad de cuidado intensivo')",UCI,unidad de cuidado intensivo,2
"('CGE', 'carga global de la enfermedad')",CGE,carga global de la enfermedad,6
"('RN', 'riesgo nutricional')",RN,riesgo nutricional,6
"('CIE', 'colestasia intrahepática del embarazo')",CIE,colestasia intrahepática del embarazo,2
"('EH', 'esteatosis hepática')",EH,esteatosis hepática,1
"('UDG', 'universidad de guadalajara')",UDG,universidad de guadalajara,1
"('SCA', 'síndromes coronarios agudos')",SCA,síndromes coronarios agudos,4
"('EK', 'enfermedad de kawasaki')",EK,enfermedad de kawasaki,3
"('KOOS', 'knee injury and osteoarthritis outcome score')",KOOS,knee injury and osteoarthritis outcome score,5
"('GRD', 'grupos relacionados por el diagnostico')",GRD,grupos relacionados por el diagnostico,1
"('CEFEN', 'comité de estudios fetoneonatales')",CEFEN,comité de estudios fetoneonatales,4
"('APLV', 'a la proteína de leche de vaca')",APLV,a la proteína de leche de vaca,4
"('PRUQ', 'perception of restraintuse questionnaire')",PRUQ,perception of restraintuse questionnaire,2
"('SAHOS', 'sindrome de apnea/hipopnea obstructiva del sueño')",SAHOS,sindrome de apnea/hipopnea obstructiva del sueño,7
"('VADS', 'vías aerodigestivas superiores')",VADS,vías aerodigestivas superiores,3
"('ACE', 'aid to capacity evaluation')",ACE,aid to capacity evaluation,3
"('MAO', 'máxima posthistamínica')",MAO,máxima posthistamínica,2
"('CI', 'calorimetría indirecta')",CI,calorimetría indirecta,7
