acronym,num_occ,num_different_expansion
SEICAP,1,1
ACE,2,1
EMRR,1,1
SETH,1,1
VBH,1,1
IFN-gamma,1,1
VHC,3,3
IEOFR,1,1
T.P.I.,1,1
L.E.S.,1,1
SEIMC,1,1
RHA,1,1
EIA,1,1
IEF,1,1
AT,1,1
IL-10,1,1
E12,1,1
ICAM-1,1,1
as,1,1
IFI,3,1
CN,1,1
RH",1,1
MGMT,1,1
AcMo,1,1
SEPAR,1,1
M-PTH,1,1
VIH,10,2
EF,1,1
C/T,1,1
RHAI,1,1
CHMSS,1,1
CIE,1,1
DCI,1,1
CEA,3,1
NGPP,1,1
GENTE,1,1
PIVh,1,1
IEOF-ID,1,1
AcM,1,1
HVB,1,1
DB,1,1
RIA,2,2
PDF,1,1
RAHP,1,1
TASPE,1,1
GEIDAC,1,1
PCNA,2,2
Au,1,1
EMPP,1,1
MAT,1,1
RFB,1,1
SNEM,1,1
TR,1,1
URO,1,1
A.R.,1,1
Tg,1,1
VHB,2,1
IFN,1,1
NCC,1,1
E C,1,1
Hp,1,1
r.i.a.,1,1
RHR,1,1
VIH-2,2,2
GEDSRT-VHC,1,1
ETEC,1,1
VPH,2,2
LPS,1,1
ZBS,1,1
Hib,1,1
ARIA,1,1
RFCE,1,1
LAM,2,2
GNRP,1,1
RIE,1,1
CTAT,1,1
AEHH,1,1
ECA,2,1
GETH,1,1
MRV,1,1
FHD,1,1
HSV-2,1,1
CPH,1,1
ARP,1,1
PV,1,1
VAG,1,1
UITB,2,1
CAP,1,1
VIH-1,2,2
RR,1,1
MLC,1,1
gtc,1,1
NPA,1,1
GETECCU,1,1
YY-1,1,1
TAB-Di-Te,1,1
E1,1,1
IHQ,1,1
CCI,1,1
UCIP,1,1
FHA,2,1
LAL,1,1
SNS,1,1
IPK,1,1
ADA,1,1
LM,1,1
CMV,1,1
SL,1,1
IDCV,2,1
GESIDA,1,1
HB,1,1
VDVB,1,1
CAV-AEP,3,1
TIR,1,1
SMS,1,1
SUH,1,1
NCT,1,1
BCG,1,1
MTs,1,1
PVA,1,1
EII,1,1
SIR,1,1
PTI,2,1
UNP,1,1
ICSH,1,1
ADVP,1,1
IC,1,1
IDR,1,1
EM,2,1
ANCA,1,1
EN,1,1
