acronym,num_occ,num_different_expansion
CaMa,2,1
N.D.G.A.,1,1
NIC,1,1
AJCC,1,1
DA,3,1
MI,1,1
VHS,2,2
SAF,1,1
GPC,2,2
NET,2,2
FE,1,1
II,2,2
DE,1,1
UDVP,1,1
V.P.H.,1,1
DM,1,1
AV,1,1
5-FU,1,1
LC,2,2
VC,1,1
HACRE,1,1
PRL,2,1
AEH,1,1
M.P.A,1,1
AF,1,1
TN,1,1
CM,2,1
CIP,1,1
PSH,1,1
FP,1,1
ATI°,1,1
CEA,2,1
NNT,1,1
España,1,1
SPN,1,1
VHS II,1,1
CHCC,1,1
ES,1,1
AcM,1,1
SSJ,1,1
SM,2,1
Viannia,1,1
IMID,2,1
SIDA,1,1
DACBI,1,1
TASPE,1,1
GEIDAC,2,1
ACR,1,1
PV,1,1
IMSS,1,1
B. P.,1,1
TAR,1,1
RCUI,1,1
UVBBE,1,1
FPS,1,1
MDS,1,1
VIH,4,2
SSPA,1,1
GAFI,1,1
GC,1,1
SEMP,3,2
ASR,1,1
SU,1,1
EPL,1,1
LSM,1,1
ML,1,1
VPH,4,2
RI,1,1
SIVFRENT-A,1,1
MCA,1,1
TCH,1,1
AKQoL,1,1
DRESS,1,1
III,1,1
FUE,1,1
MBC,1,1
EMB,1,1
INSN,1,1
H.A.C.R.E.,1,1
EICH,1,1
GTEB,1,1
CMFP,1,1
Nevil,1,1
EPI,1,1
LT,1,1
ROLL,1,1
A.S.,1,1
IA,1,1
EAs,1,1
AEDV,1,1
SNC,1,1
MOAR,1,1
DPA,1,1
C.P.,1,1
HRV,1,1
REGESMOHS,1,1
EB,1,1
REGEMOHS,1,1
Lu.,1,1
TEM,1,1
SELDI,1,1
IR,1,1
LM,1,1
EADV,1,1
rango,1,1
CEM,1,1
PAN,2,1
TH,1,1
AT,2,1
PAM,1,1
RM,1,1
FC,1,1
Mch,1,1
EVC,1,1
CaM,1,1
REVAC,1,1
SCN,1,1
Me,1,1
ARA-II,1,1
CAM,1,1
HEK,1,1
y II,1,1
ET,1,1
GEDEAS,1,1
ADVP,1,1
JWC,1,1
PHCT,1,1
AKE,1,1
MTHFR,1,1
LF,1,1
PCCM,1,1
IDR,1,1
SCS,1,1
DC,1,1
