acronym,num_occ,num_different_expansion
PPAF,1,1
BPN,1,1
ASRS,1,1
PCAT,1,1
CDMX,1,1
ITUS,1,1
CRM,1,1
ITL,2,1
SEIMC,1,1
TLIV,1,1
AMPA,3,2
DA,1,1
HAD,1,1
Sinais,1,1
DM,1,1
SaAP,3,1
y II,1,1
IVE,1,1
ACSC,1,1
AUDIT,1,1
SDRA,1,1
ZSO,1,1
CA,1,1
GINA,1,1
CMC,1,1
AF,1,1
EFAM,1,1
PAI,1,1
VICNA,1,1
SDOM,1,1
CV,1,1
SAMFYC,1,1
GRD,1,1
t/b,1,1
AFHAP,1,1
IC 95%,1,1
AINE,1,1
CCP,1,1
PAPPS,2,1
SNG,1,1
ECV,3,1
CEIC,1,1
AP,7,3
UCE,1,1
IMSS,2,1
IC,1,1
ISVP,1,1
RVDD,1,1
NED,1,1
AMFE,1,1
SINAN,1,1
VIH,1,1
IBP,1,1
MOSPSC,1,1
BP,1,1
DIU,2,1
URMES,1,1
EET,1,1
UAM,1,1
CAPS,1,1
ACGs,1,1
AS,2,2
MF,1,1
CMSL,1,1
MIR,1,1
ERC,3,1
EPOC,3,1
ANC,1,1
SNO,1,1
PIO,1,1
VPH,1,1
HTAS,1,1
Hib,1,1
MEV,1,1
EEPP,1,1
TCE,1,1
TDAH,1,1
UMF 171,1,1
semFYC,1,1
EAP,1,1
DRE,1,1
CUS,1,1
GTEB,1,1
UCI,1,1
REAP,1,1
HZ,1,1
PMC,1,1
EPI,1,1
NHG,1,1
PC,1,1
DAQ,1,1
GCED,1,1
DN,1,1
II,1,1
EFG,1,1
TDI,1,1
CuSEMF,1,1
CAP,1,1
EF,1,1
TA,1,1
ZNO,1,1
APS,1,1
SUP,1,1
SVS,1,1
SICAP,1,1
HA,1,1
DHD,1,1
F.L.A.P.,1,1
ACG,1,1
DE,1,1
AREDA,1,1
PVV,1,1
DUSOI,1,1
OT,2,1
TARV,1,1
CC,1,1
FC,1,1
HC,1,1
SMS,1,1
PICI,1,1
ICV,1,1
TIAM,1,1
CS,1,1
DVA,1,1
I.E.I.,1,1
PRESENCIAP,1,1
SERUMS,1,1
PAE,1,1
GEMA,1,1
ACH,1,1
GEMPP,0,1
Spain-RDR,1,1
SM,1,1
OR,2,1
SNE,1,1
PR,1,1
TC,1,1
NAS,1,1
GCNE,1,1
GI,1,1
MAP,1,1
PNA,1,1
