acronym,num_occ,num_different_expansion
BPN,1,1
EH,1,1
MTHFR,1,1
CMT,2,1
DA,2,1
TMP,1,1
CD,1,1
FHIS,1,1
AME,3,1
IgE,1,1
RENAC,3,1
CNI,1,1
Hb A2,1,1
REDIP,1,1
HPRT,1,1
MSC,1,1
CAMCOG-DS,1,1
FC,1,1
FQ,3,1
HACRE,1,1
AEH,1,1
BSF,1,1
MSII,1,1
EK2,1,1
ECO,1,1
HChr,1,1
EW,1,1
zIMC,1,1
G6FD,1,1
II,1,1
NF1,2,1
EK,1,1
CI,1,1
RM,1,1
CET,2,1
IVA,1,1
STIR,1,1
HSRV,1,1
NF2,1,1
PEL,1,1
SIDA,3,2
TB,1,1
AIDL,1,1
SGLT2,1,1
PCT,1,1
EVW,2,1
TEA,1,1
DHCC,1,1
ISD,1,1
GLAITH,1,1
MEN 1,1,1
VHB,1,1
PANDA,1,1
TMI-MC,1,1
CDI,1,1
VIH,1,1
GEHBTA,1,1
T.T.L.E.,1,1
FRC,1,1
MPS-II,1,1
EP,1,1
HF,1,1
NFPVC,1,1
TMN,1,1
CT,1,1
es,1,1
GER,1,1
MCH,1,1
III,1,1
TAC,1,1
INSN,2,1
DMC,1,1
WPW,1,1
ECV,1,1
ILAE,1,1
RPAD,1,1
DM-1,1,1
PGER,1,1
SSHDC,1,1
NL,1,1
EIM,1,1
IDP,1,1
LNH,1,1
TMI,1,1
THAM,1,1
CFP,1,1
TDAH,1,1
NEM I,1,1
E.M.I.H.,1,1
PPcH,1,1
Igs,1,1
SMD,1,1
DEIS,1,1
Glut1,1,1
SD,2,1
EEH,1,1
EB,1,1
PHHF,1,1
CV,3,2
LQ,1,1
SEA,1,1
DG6F,1,1
CFQ,1,1
SEGA,1,1
HISF,1,1
HC,2,1
IDCV,1,1
FHF,1,1
iPCSK9,1,1
SW,1,1
Mch,1,1
EvW,1,1
MEN 2,1,1
HGC,1,1
PB,1,1
SIER-CV,1,1
SWH,2,1
OI,1,1
E.T.,1,1
HIS,1,1
MC,1,1
SWB,1,1
Spain-RDR,1,1
ET,1,1
LCAT,1,1
AKE,1,1
MLPA,1,1
CCR,1,1
AFP,1,1
RN,1,1
AC,1,1
C.C.F.,1,1
RCT,1,1
HSC,1,1
S.D.J.,1,1
