acronym,num_occ,num_different_expansion
AVS,1,1
ESUS,1,1
SIS,2,1
VA,1,1
ERCA,1,1
atPIG,1,1
CVCs,1,1
NNE-GEP,1,1
ERSPC,1,1
RVS,1,1
CGE,1,1
RN,1,1
SCA,3,2
PRUQ,1,1
SAHOS,1,1
ACE,1,1
CC,3,2
RENAC,1,1
IEI,1,1
EH,1,1
EAT-10,1,1
EMB,1,1
VPP,3,1
EAS,1,1
NEA,1,1
SLA,1,1
RP,4,1
CMB,1,1
ACV,4,3
MDC,1,1
HVI,1,1
ECAAM,1,1
AAD,1,1
PPI,2,2
VHS,2,2
REMAH,1,1
CDMX,1,1
SF,1,1
SAF,1,1
CRPCE,1,1
ITUS,1,1
MAPA,2,2
GCCB-S,1,1
ELA,1,1
YPAS,1,1
OC,1,1
ITS,2,2
INR,2,1
DT2,2,1
MIP,1,1
SOH,1,1
AIVD,1,1
IAM CEST,1,1
HbF,1,1
HDM,1,1
CF,3,2
S-M,1,1
SRA,1,1
TTP,1,1
SCOPA-Cog,1,1
CCI,2,2
LNH,1,1
iam,1,1
ITL,1,1
SFC,1,1
MSHAQ,1,1
PMIT,1,1
GEMPO,1,1
CG,2,2
TCC,1,1
DF,2,2
EIA,1,1
EIICEA,1,1
IMs,1,1
TEP,2,1
ACR,2,2
SDTA,1,1
des,1,1
TLIV,1,1
NPI-Q,1,1
PET/TC,1,1
PRL,1,1
CCUSG-061,1,1
HSH,1,1
MRC,2,2
ADAS,2,1
FL,1,1
CIRC,1,1
EC,4,4
AMPA,1,1
ECTC,1,1
FRCV,1,1
DBC,1,1
BEP,1,1
EO,2,2
LMA,1,1
HC,2,2
NO,1,1
VFC,1,1
CTR,1,1
V.C.O.,1,1
IADS,1,1
HAD,1,1
CAMCOG-DS,1,1
RCV,1,1
CAE,1,1
ANCA,6,5
ACE-R,1,1
HUSC,1,1
E.P.R.,1,1
Sinais,1,1
AVE,1,1
AVAD,1,1
PA,4,3
LRA,1,1
DM,11,2
PLEDs,1,1
SARM,2,2
GEMI,2,2
SUH,10,3
APOE,1,1
GMSI,2,2
LC,2,2
FA,2,1
VC,1,1
HACRE,1,1
EsC,1,1
SDRA,2,1
RVA,1,1
SSN,1,1
ZSO,1,1
T@M,1,1
TA,4,4
CVP,1,1
TVU,1,1
RICVAL,1,1
ISP,2,2
CMC,1,1
BN,1,1
AF,5,2
STE,1,1
copep-es,1,1
CHIK,2,1
VNI,1,1
LES,5,2
MIPSE,1,1
SAS,2,2
EFAM,1,1
GLOMANCHA,1,1
TN,1,1
MGMT,1,1
CIN III,1,1
SER,1,1
R.G.E.,1,1
MST,1,1
NPI-NH,1,1
HSA,1,1
DN,2,2
FNT–alfa,1,1
ICC,1,1
PAAF,4,3
SOD,1,1
D-D,1,1
CI,4,3
MDA,1,1
ENN,1,1
IGU,1,1
EDC,2,1
PVMD,1,1
TD,1,1
SEPAR,1,1
EA,3,2
OD,2,1
CM,1,1
DMT2,1,1
SDOM,1,1
CCU,1,1
CIP,1,1
SENPE,2,2
ATP,2,2
MPA,1,1
PSH,1,1
FRR,2,1
PCR,2,1
C/T,1,1
GTU,1,1
NYHA,1,1
RISC II,1,1
PEL,2,2
CSA,1,1
GBA,1,1
NACS,1,1
PNED,1,1
ATI°,1,1
DE,5,5
DNO,1,1
MIS,1,1
EPA,1,1
SUN,1,1
NIHSS,1,1
CEA,1,1
EK,1,1
NNT,1,1
RM,9,5
CV,2,2
GRD,2,2
HPB,1,1
GOS,1,1
LRINEC,1,1
ECA,5,5
HTA,5,1
SSp,1,1
SSPA 7,1,1
IC 95%,2,2
DIS-III-R,1,1
IRA,1,1
Tnc T-es,1,1
OP,1,1
GEMEBA,1,1
UDAI,1,1
VINCat,1,1
t/b,1,1
IATTGI,1,1
AFHAP,1,1
SAHS,3,3
MPD,1,1
CHCC,1,1
ECG-IC,2,1
ES,1,1
TRRC,2,2
OMS,4,1
NACTA,1,1
PAB,1,1
ERC,9,2
OR,8,3
REVERSE,1,1
LT,2,2
HNERM,1,1
TMB,1,1
GEODA,1,1
PXG,1,1
Minsa,1,1
MM,3,2
as,1,1
HBP,4,2
AINE,1,1
STC,2,1
CCP,2,2
IOM,1,1
SM,13,1
SOCALPAR,2,2
DP,3,1
STIR,1,1
FOO,1,1
CP,2,2
HR,1,1
ADA,2,1
EHNA,3,1
CS,1,1
SNG,1,1
SIDA,1,1
MED,1,1
EDSS,1,1
TB,2,1
QUALIDIAB,1,1
pacientes,1,1
LOLA,1,1
HSDC,1,1
EEI,1,1
Ara-C-AD,1,1
DPCA,2,1
LLC,2,2
MD,1,1
PR,1,1
EMJ,2,1
GIST,3,3
IMID,2,1
CE,1,1
IA,1,1
GOLD,1,1
BMQ,1,1
EAI,1,1
EEG,1,1
TCS,1,1
ECV,4,3
TASPE,1,1
RA,2,2
END,1,1
CA,1,1
URS,1,1
DAS,1,1
Ft,1,1
GCA,3,1
HMO,1,1
HHM,1,1
CPNM,1,1
AP,7,4
GEIH,1,1
AV,1,1
MEC,1,1
EPR,1,1
PCNA,2,2
CoRIS,1,1
HNF,1,1
MUSIC,1,1
RIETE,1,1
VMNI,1,1
SCID,1,1
PV,1,1
IGEV,1,1
CAMCOG,1,1
BPYR,1,1
IMSS,7,1
TDP,1,1
PCM,2,2
TIP,1,1
IC,8,3
HD,5,1
VFG,1,1
Fontana,1,1
GPAA,1,1
CMLALM,1,1
DPNC,1,1
VPH-AR,1,1
NED,4,1
ECh,1,1
FDG,1,1
ASAS-R,1,1
C.E.A.,1,1
AIT,1,1
PEFEX,1,1
ECP,1,1
SINAN,1,1
SC,1,1
REALSICA,1,1
MNA,5,3
naloxona,1,1
RACat,1,1
As3MT,2,1
NMPc,1,1
LMR,1,1
CFC-GM,1,1
peso kg,1,1
HAS,2,1
IDB,1,1
GEE,1,1
TCE,4,3
CPAQ,1,1
NUT,1,1
IUE,1,1
EE,2,1
AAAR,1,1
CEMPV,1,1
MEN 1,1,1
EV,1,1
URMES,1,1
NRS-2002,2,1
UREA,1,1
VHB,4,2
PANDA,3,3
PET-FDG,1,1
As,1,1
GIHV,1,1
NCC,1,1
CAPS,1,1
AVPP,1,1
FES,1,1
TARGA,1,1
INEN,1,1
VIH,4,1
PDSQ,1,1
RVM,1,1
Hp,3,1
EVA,4,3
LCP,1,1
FAT,1,1
FDF,1,1
IMCEST,2,2
RNM,2,2
AQ20,1,1
CVF,1,1
CD44s,1,1
ITU,1,1
UPDRS,1,1
SSPA,1,1
ACGs,1,1
TAO,1,1
parte I,1,1
UMRF,1,1
PAEAFT,1,1
ETE,1,1
ACP,1,1
SIB,1,1
HB,1,1
TCI-R,3,2
AS,1,1
CUCI,1,1
NNH,1,1
APSO,1,1
EODD,1,1
DMNID,1,1
FEFCO2,1,1
DNU,2,1
CPRE,2,1
ENI,1,1
ERGE,1,1
GlicA,1,1
España,1,1
QP,1,1
FCT,1,1
MAE,1,1
ENAHO,1,1
DDc,1,1
SCB,1,1
TG,1,1
TBC,1,1
PET-TC,1,1
RTU,1,1
IC95%,2,1
APC,2,2
AA,2,2
CONUT,2,2
HUM,1,1
AMMOM,1,1
GIMC,1,1
beta 2M,1,1
GC,1,1
AEEF,1,1
CCR,4,3
MUST,3,1
TAC,1,1
EGI,1,1
GETIM,1,1
NST,1,1
ENDORSE II,1,1
PIB,1,1
EPOC,16,2
UC,1,1
TRS,1,1
DPA,1,1
VGS,2,1
UNC,1,1
EP,13,3
AD8,1,1
media,1,1
MeSH,2,1
CDM,1,1
VIH-2,2,2
FONASA,1,1
C-LDL,1,1
IL-2r,1,1
COPD-PS,1,1
EMRR,1,1
PIO,1,1
TUA,1,1
IP,2,2
IMC,2,2
EACD,1,1
VSG,3,2
TT,1,1
OOS,1,1
SU,13,2
EAE,1,1
VD,1,1
NAC,1,1
APH,1,1
ICAM,1,1
E.C.P.S.,1,1
ENG,2,1
PEIMCP,1,1
CISCA,1,1
CMBD,1,1
DME,1,1
ADVISE,1,1
VPH,6,2
TNC,1,1
BPT,1,1
MLG,1,1
NT,1,1
OCB,1,1
RI,2,1
NPD,8,1
NA,0,1
SIVFRENT-A,1,1
HCP,1,1
PROA,2,1
TUG,1,1
MF,2,2
FR,2,2
EUGMS,1,1
AKQoL,1,1
M.E.P.,1,1
EVC,2,1
BGN,1,1
ZBS,2,2
CHUA,1,1
PFH,1,1
IRI,1,1
PCT,1,1
kcal,1,1
EIPID,1,1
NMO,1,1
FC,2,2
MGH-SFQ,1,1
RENAHTA,1,1
CHAL,1,1
PRMs,1,1
ISC,1,1
GRS,1,1
IAM,1,1
II,1,1
TRR,2,2
MBC,1,1
PAF,1,1
CRONOS,1,1
NSA-16,1,1
RHC,2,2
LAMG,1,1
NORMACODEM,2,2
AR,3,1
GNRP,1,1
FRTG,1,1
NEWSQOL,2,1
SEN,1,1
LEOCH,1,1
TNO,1,1
HTIC,1,1
RIC,1,1
EAJ,1,1
PRM,1,1
HADS,2,2
REA,1,1
BETA,1,1
EAR,1,1
BPTR,1,1
EAM,1,1
D.C.I.,1,1
ASO,1,1
H.D.A.,2,2
SPD,1,1
DRE,2,1
NPDE,1,1
LNI,1,1
