acronym,num_occ,num_different_expansion
ESUS,1,1
MHSO,1,1
S. T.,1,1
atPIG,1,1
TTT,1,1
ANCA,7,5
ADA,1,1
SCA,4,2
CEFEN,1,1
SAHOS,1,1
RENAC,1,1
CVP,1,1
PTFE,1,1
EMB,1,1
EAS,1,1
RP,1,1
MTHFR,3,2
CMB,1,1
ACV,6,3
HVI,1,1
SETH,1,1
EP,4,3
VHS,1,1
SF,1,1
SAF,2,2
MAPA,6,3
INR,2,1
IAM CEST,1,1
NH,1,1
AGEMZA,1,1
H.P.,2,2
iam,1,1
GEMPO,1,1
CG,1,1
SCORE,1,1
NSE,1,1
TEP,2,1
ENP,1,1
UDVP,1,1
TLIV,1,1
FL,1,1
AMPA,2,2
AT,3,2
FRCV,4,1
NO,1,1
MSC,1,1
VFC,1,1
P.C.P.,1,1
EN,1,1
RCV,2,1
REV-H-30d,1,1
LME,1,1
TMA,1,1
PA,4,2
DM,3,1
GEMI,2,2
SUH,6,2
HAP-P,1,1
eTFG,1,1
FA,3,1
VitD,1,1
VC,1,1
RVA,1,1
AEH,1,1
AIT,3,2
GINA,1,1
RICVAL,1,1
ISP,2,2
PEITHO,1,1
BN,1,1
AF,1,1
copep-es,1,1
VNI,1,1
TI,1,1
MIPSE,1,1
D. P.,1,1
SECCV,1,1
SEM,2,2
HSA,1,1
FLANC,1,1
cLDL,1,1
D-D,1,1
MDA,1,1
VD,1,1
IMC,1,1
EC,3,3
SEPAR,2,1
DMT2,2,1
CIP,1,1
ATP,2,1
SEN,1,1
PSH,1,1
ECOSIAC,1,1
E.C.G.,1,1
LIHC,1,1
PCR,3,2
NYHA,1,1
cHDL,1,1
FS,1,1
HChr,1,1
zIMC,1,1
MS,1,1
NIHSS,1,1
RM,2,2
ARA2,1,1
GOS,1,1
GENTE,1,1
QTa,1,1
RNPT,1,1
HTA,8,1
TGA,1,1
IC 95%,3,2
Tnc T-es,1,1
H-RP,1,1
PE,2,2
t/b,1,1
AFHAP,1,1
SOCHMEDEP,1,1
MPD,1,1
CHCC,1,1
ECG,1,1
M-30d,1,1
FAVIDE,1,1
OR,2,2
REVERSE,1,1
VCMP,1,1
CAVC,1,1
PAOP,1,1
SM,7,2
HR,3,2
AGS,1,1
QUALIDIAB,1,1
HSDC,1,1
EDL,1,1
WPW,3,3
DPCA,1,1
CT,2,1
GOLD,1,1
GESEPOC,1,1
DESA,1,1
ECV,10,4
TASPE,1,1
CA,1,1
Tnc,1,1
II,1,1
MUSIC,1,1
RIETE,1,1
ETMA,4,1
ACR,1,1
IMSS,5,1
PCM,1,1
SEMN,1,1
SENR,1,1
UTAC,1,1
EO,1,1
PEFEX,1,1
REALSICA,1,1
PCR-us,1,1
PADS,1,1
MNA,1,1
TCE,2,2
AAAR,1,1
CC,4,1
EHI,1,1
CI,1,1
AOMI,1,1
CARTO,1,1
ReMeFA,1,1
PRES,1,1
IMCEST,2,2
SOCHIPE,1,1
UMRF,1,1
ETE,1,1
SIB,1,1
IAM,4,2
EODD,1,1
NAC,1,1
FRC,2,2
España,2,2
DDc,1,1
TG,1,1
RCP,3,2
APC,2,2
AP,4,2
Tnc-as,1,1
GIMC,1,1
ERC,5,2
MUST,1,1
ENDORSE II,1,1
PIB,1,1
EPOC,2,1
NN,1,1
UC,1,1
CEC,2,1
C-LDL,1,1
VCI,1,1
EMRR,2,1
CP,1,1
RCT,1,1
TEV,1,1
SU,8,2
ML,1,1
SEH-LELHA,1,1
EPES,1,1
CMBD,1,1
TnT-as,1,1
OCB,1,1
W-P-W,2,1
NPD,1,1
TVC,1,1
AESP,1,1
TCH,1,1
EVC,2,2
D.V.T.A.,1,1
HTAS,1,1
MCH,2,1
CEIPC,3,2
III,1,1
CONUT,1,1
RENAHTA,1,1
CHAL,2,1
ECA,1,1
ISC,1,1
CRONOS,1,1
RHC,1,1
RI,1,1
AR,1,1
IE,1,1
SOCHICAR,1,1
NEWSQOL,2,1
TDAH,1,1
CF,1,1
RIC,1,1
SOP,1,1
DCC,1,1
IECA,1,1
MD,1,1
ARAHIP,1,1
DFT,1,1
ILAE,1,1
AL,1,1
PCA,4,1
TCGA,1,1
COSFAMM,1,1
SS,1,1
EnT,1,1
ACOD,1,1
DAI,1,1
ECVs,1,1
IAMEST,1,1
IC,4,2
LT,1,1
NL,1,1
FR,1,1
AVAC,1,1
SICA,1,1
RECAVA,1,1
Neuro-ACMI,1,1
CCC,1,1
MM,1,1
GIM,1,1
CTCA,1,1
IA,1,1
ICC,1,1
REGITELL,1,1
SRAA,1,1
SHO,1,1
AE,1,1
GEECV,1,1
A.T.P.,1,1
AAS,1,1
TC,2,2
atenolol,1,1
lp(a),1,1
TVP,1,1
PERSTEMI,1,1
AI,1,1
SPO,1,1
RCE,2,2
AHA,1,1
TCMD-16,1,1
ICFEP,1,1
IRCV,1,1
COR,2,1
TA,1,1
HPS,1,1
Parte I,1,1
IAAS,1,1
CIA,2,1
OAK,1,1
RR,1,1
MAV,2,1
ROC,1,1
QOL-AD,1,1
DCA,1,1
NPA,1,1
I.,1,1
CRM,1,1
IAMSEST,1,1
EA,1,1
AFG,1,1
DM2,1,1
eas,1,1
SAS,1,1
EHE,1,1
HTA-ALERT,1,1
RC,1,1
SIC,1,1
ADE,1,1
HRV,1,1
HA,1,1
IAM-CEST,1,1
ETV,6,1
TSP- 1,1,1
PAIA,2,2
EIC,1,1
ISS,1,1
coils,1,1
ERCO,1,1
ACG,1,1
EPC,1,1
TD,1,1
AAMCC,1,1
SCIE,1,1
ERO,1,1
LQ,1,1
CAR,1,1
IR,1,1
AGF,1,1
SEA,2,1
LTSV,1,1
RENAPREC,1,1
RV5,1,1
SENEC,1,1
PAN,2,1
maapa,1,1
NBI,1,1
PL,1,1
TAC,1,1
PGC,1,1
RECCyL,1,1
RNICP,1,1
ER-IgG4,1,1
OT,2,1
iPCSK9,2,2
PAM,2,1
