acronym,num_occ,num_different_expansion
TMIV,1,1
NNE-GEP,1,1
ADA,1,1
DDD,1,1
G%,1,1
CGE,1,1
RN,4,3
WISC III,1,1
VPP,1,1
EAS,1,1
RP,1,1
ACV,1,1
REMAH,1,1
ELA,1,1
CD,1,1
DT2,5,2
IAM CEST,1,1
CCI,1,1
AMG,1,1
CG,4,2
IgE,1,1
SEEN,2,1
MNA,3,2
FRCV,1,1
DBC,1,1
BEP,1,1
PPCI,1,1
PGN,1,1
NDPD,1,1
AGA,1,1
DMID,1,1
RPa,1,1
IAUC,1,1
DM,12,1
IR,1,1
PTTG,1,1
DI,1,1
PRL,3,1
ZSO,1,1
as,1,1
DSD,1,1
BN,1,1
AF,2,2
DN,1,1
FNT–alfa,1,1
PAAF,3,2
CI,3,3
MDA,1,1
ENN,1,1
PAI,1,1
EA,1,1
M-PTH,1,1
HC,4,2
DMT2,3,1
STC,3,2
FRR,1,1
BICI,1,1
NYHA,1,1
GLI,1,1
GBA,1,1
DM1,4,2
INMA,1,1
HChr,1,1
zIMC,1,1
TGT,1,1
II,1,1
SUN,1,1
CEA,1,1
HTA,3,1
DBCH,1,1
IGP,1,1
SM,8,1
DP,1,1
STIR,1,1
HSRV,1,1
AGS,1,1
EHNA,2,1
SNG,1,1
QUALIDIAB,1,1
DPCA,2,1
DMPT,1,1
CT,3,2
SGLT2,1,1
NAG,1,1
DFO,1,1
kD,1,1
CHO,1,1
VMNI,1,1
IMSS,3,1
IC,3,2
NED,1,1
ASAS-R,1,1
EO,1,1
SC,1,1
CCHS,1,1
HAS,1,1
MEN 1,1,1
NRS-2002,1,1
Tg,1,1
Ensanut,1,1
PET-FDG,1,1
CAPS,1,1
HPRL,1,1
TG,1,1
VIH,1,1
DBG,1,1
ditizona,1,1
FAT,1,1
CVF,1,1
PG,1,1
r.i.a.,1,1
PAEAFT,1,1
CTOG,1,1
CMNS,1,1
ACP,1,1
RE,1,1
PTH,2,2
NAC,1,1
DMNID,3,2
FRC,2,2
GlicA,1,1
PET-TC,1,1
AP,2,1
GIMC,1,1
HPMF,1,1
ERC,4,1
MUST,1,1
THC,1,1
UMAE,1,1
EPOC,1,1
tipo I,1,1
IRC,1,1
AVPMP,1,1
TT,1,1
ENG,2,1
GLP-1,2,1
DMBVC,2,1
BPT,1,1
RIA,1,1
RI,2,2
NPD,1,1
HGNA,1,1
HPP,1,1
HT,1,1
EVC,1,1
III,1,1
HAD,1,1
NEM,1,1
SLAGO,1,1
EE,1,1
IOM,1,1
TDAH,1,1
CF,1,1
GEEP,1,1
SOP,3,2
CAD,2,1
GRP,1,1
DRE,2,1
Treg,1,1
DAM,1,1
COSFAMM,1,1
SDSCA,1,1
FR,1,1
NHG,1,1
SES,1,1
RST,1,1
SED,2,1
S.P.O.D.,1,1
GCED,1,1
HP,1,1
mipth,1,1
IRT,1,1
SCIVDc,1,1
GIDSEEN,1,1
NEM I,1,1
UI,1,1
NE,2,1
ERCA,1,1
ZNO,1,1
SIADH,2,2
NPT,2,1
media,1,1
C.P.R.E.,1,1
NICE,1,1
ADO,1,1
SNC,1,1
PGB,1,1
ICSI,1,1
DM2,12,2
SAEN,1,1
CDT,1,1
SG,1,1
DID,1,1
EC,1,1
OA,1,1
ERCO,1,1
AFS,1,1
ACG,1,1
NRS- 2002,1,1
SCIE,1,1
ERO,1,1
AGF,1,1
SEA,2,1
ADS,1,1
D.M.H,1,1
EG,1,1
CVC,1,1
EHGNA,2,1
INCMNSZ,1,1
CHUVI,1,1
FHF,1,1
RMN,1,1
iPCSK9,1,1
SW,1,1
ATPO,1,1
SON,1,1
GEVA,1,1
FG,1,1
IMC,3,1
SMS,1,1
CFTNM,1,1
edad media,1,1
CEIPC,1,1
SUH,1,1
MTP,1,1
TCSS,1,1
MEN 2,1,1
CB,2,2
FRV,1,1
MCF,1,1
ARA-II,1,1
UNCyD-SEyN,1,1
CAM,1,1
PFT,1,1
AST-M,2,1
tipo II,1,1
NADYA,1,1
SNPs,1,1
DUL,1,1
CCi,1,1
FAL,1,1
OR,1,1
SNE,1,1
MT,1,1
BMNB,1,1
BAC,1,1
RNHMD,2,1
CCR,1,1
FESNAD,1,1
VSG,1,1
DG,1,1
EVRD,1,1
VPN,1,1
LES,1,1
HSC,1,1
SAHS,1,1
BAAF,1,1
