acronym,num_occ,num_different_expansion
CEA,5,2
NNE-GEP,1,1
MAO,1,1
ACE,3,3
EAT-10,1,1
NPT,2,2
ACCGED,1,1
VPR,1,1
PPI,1,1
BUN/Cr,1,1
ARH2,1,1
ELA,1,1
VHC,3,3
SOH,1,1
CTC,1,1
FE,1,1
H.P.,2,2
EIICEA,1,1
IgE,2,1
ASCA,1,1
EHGNA,3,2
OCic,1,1
RDG,1,1
V.C.O.,1,1
ANCA,3,2
E.P.R.,1,1
GB,1,1
USE,3,1
SUH,1,1
PCR-us,1,1
FQ,1,1
ALEH,1,1
APLV,1,1
R.G.E.,2,1
FI,2,2
EICIG,1,1
EMA IgA,1,1
PVMD,1,1
EA,2,2
EPI,1,1
SGNC,1,1
PAAF,1,1
PNED,1,1
vih,1,1
TGO,1,1
GEP,1,1
FNA,1,1
AEPAP,1,1
MPO,1,1
SPN,1,1
IATTGI,1,1
LT,1,1
SC,1,1
CPRE,2,2
SBC,1,1
ETM,1,1
AINE,1,1
GETECCU,4,2
EHNA,4,1
SEICAP,1,1
SIDA,2,2
CNS,1,1
LOLA,1,1
EEI,2,2
AIDL,1,1
GIST,7,4
IMID,2,1
GCA,3,1
EPR,1,1
VMNI,1,1
NED,1,1
VIH,3,3
G.T.,1,1
IBP,4,2
EE,2,2
SEGHNP,2,1
CCHS,1,1
RCUI,1,1
VCO,2,1
DE,1,1
CC,1,1
CUCI,8,3
VGS-GP,1,1
ACAOS,1,1
E C,1,1
INEN,1,1
Hp,2,1
CU,3,2
TH,1,1
VHA,1,1
CVF,1,1
CCRm,1,1
AVG,1,1
T.T.L.E.,1,1
NPD,3,2
Remicade,1,1
DNU,2,1
ERGE,3,1
ACZ,1,1
AA,3,2
CCR,5,2
EPOC,1,1
A.C.A.D.,1,1
EP,1,1
GEHPY,1,1
EMRR,1,1
EACD,1,1
THO,1,1
VPH,1,1
NA,0,1
M.E.P.,1,1
ABA,1,1
PFH,1,1
EIPID,1,1
MNNG,1,1
LAMG,1,1
SLAGO,1,1
TAMIS,1,1
TDAH,1,1
SENPE,1,1
DBH,1,1
H.D.A.,2,2
PANCCO,1,1
COX-2,2,2
TI,1,1
RGE,1,1
ENT,1,1
TGP,1,1
ASA,1,1
EC,6,3
MT,1,1
US,1,1
SAGE,1,1
EAs,1,1
IL-2,1,1
II,1,1
TaETM,1,1
e.i.i.,1,1
COR,1,1
RG,1,1
gtc,1,1
NAVM,1,1
SEPEAP,1,1
EF,1,1
AVB,2,1
AT,1,1
TCV,1,1
GSRS,1,1
SEFH,1,1
CCI,1,1
DPA,1,1
SIC,4,1
DZ,1,1
ECN,1,1
NACO,1,1
NK,1,1
DHD,1,1
VG,1,1
EUA,1,1
EED,1,1
SELDI,1,1
GEIS,1,1
PPT,1,1
RME,1,1
NP,1,1
IDCV,1,1
IIM,1,1
VDA,1,1
DSE,1,1
E.E.P.,1,1
HP,1,1
C.G.T.,1,1
GGT,1,1
DE ,0,0
AEEH,1,1
PF,1,1
EII,5,2
A.G.A.,1,1
FA,1,1
CB,1,1
SiDUP,1,1
CGI,1,1
EB,1,1
E. P.,1,1
I.C.S.S.,1,1
DSG,1,1
Fontana,1,1
UEGW,1,1
BT,1,1
PAC,1,1
VPM,1,1
PCRE,1,1
HDA,1,1
EM,1,1
ACCU,1,1
PG-SGA,1,1
SAHS,1,1
FP,1,1
SII,7,1
