acronym,num_occ,num_different_expansion
atPIG,1,1
AEHH,2,2
RN,1,1
MTHFR,2,1
PMN,2,1
INR,2,1
FHIS,1,1
NH,1,1
TFGe,1,1
SEIMC,1,1
LMC,6,2
Hb A2,1,1
REDIP,1,1
AT,1,1
LMA,2,2
TTPa,1,1
EDTA,1,1
EP,1,1
PRP,1,1
AL,1,1
SUH,2,2
CID,2,1
GMSI,2,2
FA,1,1
IFI,1,1
SEDAR,2,2
OAH,1,1
PCCE-H,1,1
DN,1,1
LAL,1,1
HPN,1,1
PEL,2,2
CSA,1,1
H.P.N,1,1
G6FD,1,1
NMP,1,1
OR,2,2
VCMP,1,1
GETECCU,1,1
SIDA,4,2
RTNHF,1,1
TASPE,1,1
LLA,5,2
GCA,1,1
EVW,2,1
HNF,1,1
VHC,1,1
SCID,1,1
TIP,2,1
HD,2,1
S.H.U.,1,1
VIH,7,3
EE,1,1
NMPc,1,1
RCUI,1,1
CFC-GM,1,1
GLAITH,1,1
NRS-2002,1,1
UCIP,1,1
CDI,1,1
INEN,1,1
SENACREDH,1,1
NEC,1,1
GEHBTA,1,1
AF,2,1
TAR,1,1
DNU,1,1
SEMTSI,1,1
RHR,1,1
APC,1,1
ERC,2,2
MUST,1,1
GETIM,1,1
NN,1,1
MNA,1,1
EMRR,1,1
SLE,1,1
GEDSRT-VHC,1,1
SU,2,2
TCPH,1,1
PANDA,2,2
RCP,1,1
GF,1,1
EIPID,1,1
LAP,1,1
RVR,1,1
IAM,1,1
CTAT,1,1
NAG,1,1
ECV,1,1
UCI,1,1
QT,1,1
DAM,1,1
P.T.C.,1,1
ICT,1,1
GETH,1,1
TAO,1,1
RST,1,1
FHD,1,1
IDP,1,1
INNSZ,1,1
MM,1,1
EAs,1,1
SG,1,1
MEB,1,1
SCIVDc,1,1
TTPA,3,2
ATSA,1,1
LM,1,1
PPcH,1,1
Igs,1,1
VCM,1,1
NPT,1,1
SMD,2,2
EPO,1,1
NPA,1,1
A.H.F.,1,1
Hb,2,2
QTI,1,1
LCD,1,1
GETMON,2,1
SD,1,1
IgA,1,1
SNS,1,1
ETV,3,1
PHHF,1,1
NACO,1,1
INPer,1,1
ERCO,1,1
PTA,1,1
SCIE,1,1
ACV,1,1
PTT/SUH,1,1
SEA,1,1
DG6F,1,1
MF,1,1
VIH-2,1,1
HISF,1,1
IDCV,1,1
FHF,1,1
RMN,1,1
ER-IgG4,1,1
HB,1,1
SIOP,1,1
EHEC,1,1
EvW,1,1
Cr,1,1
HGC,1,1
GesEPOC,1,1
FRV,1,1
PTI,5,2
AMS,1,1
ICA,1,1
GEMA,1,1
ILE,1,1
AD,1,1
HIS,1,1
SAF,1,1
ICSH,2,1
TSA,1,1
y II,1,1
AVK,1,1
VPM,1,1
CCP,1,1
LF,1,1
VSG,1,1
RCT,1,1
LES,1,1
ADH,1,1
