acronym,num_occ,num_different_expansion
CEFEN,1,1
Nemata,1,1
ERIS,1,1
NH,1,1
ITL,1,1
ODS,1,1
SEIMC,3,2
BLEE,1,1
NAV,1,1
TARVAE,1,1
Venezuela,1,1
IN,1,1
DO,1,1
E12,1,1
RH",1,1
CME,1,1
TNasa,1,1
CCAA,1,1
SEPAR,1,1
EPI,1,1
SVGE,1,1
DCI,1,1
GENTE,1,1
OMS,2,1
EP,1,1
HVB,1,1
SIDA,1,1
PNCT,1,1
sic.,1,1
VCN13,1,1
LLA,1,1
IC,3,2
HD,1,1
BGN-MR,1,1
PCT,1,1
VHB,1,1
VIH,1,1
SEIP,2,1
ESPII,1,1
PRP-T,1,1
SEMTSI,1,1
DON,1,1
EHS,1,1
NN,1,1
MILD,1,1
VPH,2,2
BGN,1,1
ZBS,1,1
SA,1,1
Hib,1,1
CMI,1,1
TARMA,1,1
GETH,1,1
MRV,1,1
IDP,1,1
ENDS,1,1
VIH-1,1,1
VBTF,2,1
VAG,1,1
UITB,1,1
MORTAR,1,1
Nematoda,3,2
CAP,1,1
VM,1,1
RR,1,1
U.A.M.,1,1
E1,1,1
CCI,2,1
SNS,1,1
INPer,1,1
LM,1,1
EEB,1,1
NCV,1,1
CVC,1,1
SL,1,1
GESIDA,1,1
STA,1,1
CAV-AEP,2,1
TIR,1,1
SMS,1,1
SENP,2,1
LMA,1,1
SUH,1,1
Chile,1,1
UCIN,1,1
NNN,1,1
LD,3,1
PVA,1,1
EII,1,1
SIR,1,1
ISPLN,1,1
RM,1,1
OR,1,1
EDO,4,1
SAMR-ac,1,1
TQ,1,1
VHS,1,1
HM,1,1
VRS,1,1
EM,1,1
EN,1,1
