acronym,num_occ,num_different_expansion
TMIV,1,1
CaMa,2,1
BAI,1,1
CEA,7,2
NNE-GEP,1,1
ERSPC,1,1
VADS,1,1
MAO,1,1
ACE,3,2
NIC,4,2
PA-HBsAg,1,1
VPP,1,1
AJCC,1,1
EMRR,1,1
SETH,1,1
REMAH,1,1
Psq,1,1
smf,1,1
GCCB-S,2,1
IFN-gamma,1,1
SOH,1,1
CTC,1,1
HbF,1,1
NCI,1,1
FHIS,1,1
NH,1,1
CCI,1,1
LNH,3,3
SEIMC,1,1
TCC,1,1
LMC,6,2
PET/TC,1,1
RCEI,1,1
AT,1,1
BEP,1,1
LMA,4,2
CTR,1,1
V.P.H.,1,1
MTX,1,1
IT,1,1
USE,3,1
5-FU,2,2
LC,1,1
PTTG,1,1
HACRE,1,1
GBM,1,1
PRL,2,1
ITK,1,1
CN,1,1
TVU,1,1
OAH,1,1
CPRC,1,1
ISP,2,2
LDCBG,1,1
AF,1,1
GT-CMP,1,1
GMSI,1,1
TN,1,1
MGMT,1,1
CIN III,1,1
MST,1,1
PGR,1,1
PAAF,6,3
IGU,1,1
CM,3,1
LAL,4,3
LIEBG,1,1
EF,1,1
CCU,2,2
AFP,2,2
T.V.S.I.,1,1
C/T,1,1
LIEAG,1,1
DMBA,2,1
TGT,1,1
II,1,1
NF1,2,1
RM,3,3
CV,1,1
GENTE,1,1
SFH,1,1
CET,2,1
GEMEBA,1,1
IATTGI,1,1
NMP,1,1
TVI,1,1
OMS,1,1
PAB,1,1
VCMP,1,1
CPRE,4,2
ETM,1,1
VFP,1,1
SM,1,1
SOCALPAR,2,2
FOO,1,1
AOF,1,1
CP,2,1
NF2,1,1
HR,1,1
EHNA,1,1
FMIC,2,1
SIDA,3,3
TB,1,1
Ara-C-AD,1,1
LLC,2,2
SPC,1,1
GIST,7,4
P.R.,1,1
SG,2,2
TASPE,1,1
LLA,9,3
CPNM,1,1
GEIH,1,1
PCNA,3,3
Au,1,1
EMPP,1,1
IMSS,2,1
LDH,1,1
Fontana,1,1
DPNC,1,1
VPH-AR,4,2
NBT,1,1
FDG,1,1
C.E.A.,1,1
NIVa,1,1
MDR,2,2
G.T.,1,1
L+,1,1
RCUI,1,1
NIE III,1,1
UVBBE,1,1
MEN 1,1,1
NRS-2002,1,1
Tg,1,1
VHB,3,2
CUCI,1,1
PANDA,4,3
NMDAR,1,1
PET-FDG,2,2
IFN,1,1
VGS-GP,1,1
ORN,1,1
FLIPC,1,1
INEN,3,1
VIH,3,2
MXT,1,1
LCP,1,1
RNTI,2,1
CD44s,1,1
CCRm,1,1
NMDA,1,1
AMEU,1,1
SSPA,1,1
AVG,1,1
SAVC,1,1
GESIDA,1,1
SLP,1,1
RHR,1,1
QTneo,1,1
PET-TC,2,1
APC,1,1
AA,2,2
C.R.D.,2,1
GC,1,1
CCR,8,3
TAC,3,2
EPOC,1,1
NN,1,1
UNC,1,1
IL-2r,1,1
SLE,1,1
cisplatino,1,1
NFPVC,1,1
IP,1,1
EPIC,3,3
EACD,1,1
SENFC,1,1
CISCA,1,1
VSGGP,1,1
DME,1,1
VPH,16,3
BPT,1,1
AD-QT,1,1
NPD,2,1
NA,0,1
SIVFRENT-A,1,1
MCA,1,1
AKQoL,1,1
CPH,2,2
EIPID,1,1
MNNG,1,1
MBC,1,1
PAF,1,1
NEM,1,1
RFCE,1,1
EMB,1,1
SLAGO,1,1
BP,1,1
LAM,3,3
TAMIS,1,1
SVP,1,1
RIE,1,1
CTAT,1,1
SOP,3,2
BPTR,1,1
ST,1,1
NPDE,1,1
ICH,1,1
T.E.M.,1,1
Lp-X,1,1
UCI,1,1
CMFP,1,1
QT,1,1
GIMINO,1,1
UNITEC,1,1
COX-2,2,2
ICT,1,1
Nevil,1,1
SSHDC,1,1
NL,1,1
CVNMI,1,1
RH,1,1
ROLL,1,1
HSP-90,1,1
ABP,1,1
PP5,1,1
HSV-2,1,1
GCAO,1,1
MM,1,1
EAs,1,1
MMA,1,1
mipth,1,1
IL-2,1,1
RITA,1,1
MAC,2,1
TC,4,2
NEM I,1,1
LI,1,1
TaETM,1,1
E.M.I.H.,1,1
PET/CT,2,2
Igs,1,1
CC,1,1
MLC,1,1
MMC,1,1
MAV,1,1
media,1,1
C.P.R.E.,1,1
SNC,4,1
CBTMO,1,1
CPCNM,1,1
ASA,1,1
QTI,1,1
TPG,1,1
LCD,1,1
IHQ,2,1
USEB,1,1
CDT,1,1
P.B.T.E.P.,1,1
RT,1,1
REGESMOHS,1,1
CHEP,1,1
Argentina,1,1
ETV,1,1
REGEMOHS,1,1
PAPTAF,1,1
SRE,1,1
PLE,1,1
CB,2,1
TEM,2,2
SELDI,1,1
LQ,1,1
GEIS,1,1
EN,1,1
LM,1,1
ARNm,1,1
RME,1,1
CEM,1,1
SEGA,1,1
QETA,1,1
SENEC,1,1
DPN,1,1
HISF,1,1
RMN,1,1
PART,1,1
DPNNC,1,1
TH,1,1
L-ASP,1,1
SW,1,1
SIOP,1,1
C.C.,1,1
CaM,1,1
DSE,1,1
HP,1,1
C.G.T.,1,1
CPRM,1,1
CFTNM,1,1
DMSO,1,1
edad media,1,1
B.R.,1,1
SUH,1,1
VMA,1,1
LANL,1,1
MEN 2,1,1
ARM,1,1
CCC,2,1
R.T.C.,1,1
TTVCI,1,1
VSG-GP,1,1
NOX,1,1
HGC,1,1
Me,1,1
TRUS,1,1
C.R.,1,1
NP,1,1
COCT,1,1
E.T.,1,1
TCMC,1,1
HIS,1,1
SLTA,1,1
VIP,1,1
FRA,1,1
I.C.V.,1,1
Cis-Pt,1,1
ET,1,1
OR,1,1
HGCH,1,1
MT,1,1
DAP IV,1,1
MLPA,1,1
CCP,1,1
MTHFR,1,1
FRC,1,1
DE,1,1
Mn-SOD,1,1
LSSC,1,1
PCCM,1,1
HDA,1,1
LER,1,1
EM,1,1
LARCE,1,1
RCT,1,1
VPN,1,1
Pap,1,1
Dng,1,1
PG-SGA,1,1
LCR,1,1
NVPC,1,1
LEI,1,1
BAAF,1,1
