acronym,num_occ,num_different_expansion
ERCA,4,2
ADA,1,1
CGE,1,1
AENP,1,1
MAPA,5,3
DT2,1,1
ITU,1,1
VRI,1,1
HDM,1,1
SRA,1,1
GNAPE,1,1
NLDV,1,1
TFGe,1,1
CIRC,1,1
REPIR,1,1
PGN,1,1
ANCA,1,1
PA,1,1
LRA,1,1
DM,1,1
IR,1,1
ICAM-1,1,1
eTFG,1,1
PNAnc,1,1
GLOMANCHA,1,1
D. P.,1,1
A/C,1,1
UF,1,1
FNT–alfa,1,1
CI,1,1
EDC,2,1
M-PTH,1,1
CV,1,1
FRR,2,1
PCR,2,2
GNMP,1,1
SNSE,1,1
HChr,1,1
TW,1,1
HTA,2,1
IRA,1,1
NLPC,1,1
FG,2,2
CC,1,1
TRRC,2,2
HNERM,1,1
PXG,1,1
AINE,1,1
SM,2,1
DP,3,1
HS20,1,1
KDPI,1,1
ALECT2,1,1
DPCA,5,1
DMPT,1,1
CT,1,1
P.R.,1,1
LA,1,1
SGLT2,1,1
ECV,2,1
URS,1,1
Ft,1,1
SEN,1,1
AV,1,1
NAG,4,3
DHCC,1,1
DFO,1,1
HNF,1,1
HD,6,1
VFG,1,1
S.H.U.,1,1
ANCA-PR3,1,1
VIH,1,1
IDB,1,1
NUT,1,1
plan AUGE,1,1
UREA,1,1
VHB,1,1
FAT,1,1
PRES,1,1
PG,1,1
I.R.C.,2,1
CENATMER,1,1
EODD,1,1
SA,1,1
AR,1,1
ERC,25,2
TRS,2,2
DPA,1,1
VGS,1,1
AISBE,1,1
IRC,3,1
IL-2r,1,1
SU,1,1
SUH,1,1
SO,1,1
SEH-LELHA,3,1
NLP,1,1
MLG,1,1
RIA,1,1
HCP,1,1
HPP,1,1
HT,1,1
CPA,1,1
CUMS,1,1
BGN,1,1
NL,2,2
TAC,1,1
TRR,2,2
GNRP,1,1
TDAH,1,1
CAD,1,1
RAS,1,1
GMP,1,1
CRIR,2,1
DPBE,1,1
GIM,1,1
THAM,1,1
LRH,1,1
SRAA,2,1
SCIVDc,1,1
TC,1,1
AHA,1,1
EPO,1,1
NPA,1,1
CCR,1,1
GID,1,1
TSOG,1,1
IRCT,1,1
URV,1,1
RC,1,1
ECN,1,1
SNRE,1,1
UID,1,1
ERCO,1,1
PTH,3,1
ERT,2,1
AM,1,1
IAL,1,1
DDAVP,1,1
FRC,1,1
CAR,1,1
PTT/SUH,1,1
I.R.F.T.,1,1
HDI,1,1
CMV,1,1
CMO,1,1
HN,1,1
SW,1,1
STA,1,1
C.C.,1,1
Dx/HA,1,1
IMC,2,1
IU,2,1
ERCT,3,1
EHEC,1,1
Cr,1,1
IC,1,1
NCT,1,1
TSFR,1,1
CB,1,1
LD,3,1
FRV,1,1
ARA-II,1,1
AMS,1,1
C.R.,1,1
PE,1,1
CAM,1,1
RM,1,1
PDAs,1,1
Alb,2,1
FAL,1,1
FRA,2,1
Cis-Pt,1,1
OR,1,1
RVU,5,1
SN,1,1
EKI,1,1
SNI,1,1
Plan AUGE,1,1
I.R.A.,1,1
LEP,1,1
DPE,1,1
AHAI,1,1
C.C.F.,1,1
DM2,1,1
LES,2,1
PNA,1,1
