acronym,num_occ,num_different_expansion
HADS,1,1
ANCA,2,2
SAMe,1,1
EK,1,1
KOOS,1,1
SAAa,1,1
VHS,1,1
SF,1,1
SAF,1,1
MIP,1,1
SFC,1,1
TEP,1,1
PHA,1,1
P.C.P.,1,1
AVE,1,1
GMSI,1,1
VC,1,1
HBPM,1,1
BN,1,1
ESPIDEP,1,1
PSH,1,1
PCR,1,1
SV,1,1
GENTE,1,1
SSp,1,1
IC 95%,1,1
CHCC,1,1
ADA,2,1
AELO,1,1
FIQ,2,1
IMID,2,1
RIER,1,1
ACR,1,1
IGEV,1,1
ET,1,1
ASLO,1,1
A.R.,1,1
CPAQ,1,1
URMES,1,1
AP,1,1
MIR,3,2
AC,1,1
AT,2,2
SU,2,1
EBH,1,1
COPCORD,1,1
FLL,1,1
AR,10,1
AE,2,1
CEAR,1,1
ETN,2,1
IC,1,1
M.I.T.,1,1
IA,1,1
TVP,1,1
FIWOS,1,1
YY-1,1,1
ECRAF,1,1
HRV,1,1
CV,1,1
DE,1,1
FISTAC,1,1
PAN,1,1
TTPA,1,1
PAM,2,1
EVC,1,1
SAFP,1,1
SChS,1,1
LEG,1,1
EAP,1,1
SIER-CV,1,1
RETOSS,1,1
OI,1,1
AMS,1,1
EAD,1,1
RM,1,1
DAS28a,1,1
FR,1,1
A.R.J,1,1
y II,1,1
RAQoL,1,1
SS,2,1
BNS,1,1
SCS,1,1
LES,3,1
ECA,1,1
