acronym,num_occ,num_different_expansion
TUA,1,1
HOMA 2,1,1
SIS,1,1
ANCA,3,3
CS,1,1
CI,3,2
SCA,1,1
MAPA,2,1
MUE,2,1
EIA,1,1
UDVP,1,1
MRC,1,1
MNA,3,2
HO,1,1
RCV,1,1
DM,2,1
SUH,5,2
GesEPOC,1,1
GMSI,1,1
EC,3,3
CVP,1,1
MI,1,1
TMCL,1,1
PAI,1,1
EA,1,1
MFyC,1,1
INMA,1,1
MIV,1,1
DE,2,2
ARA2,1,1
UDAI,1,1
Tg/c-HDL,1,1
ES,1,1
SEMI,1,1
SM,4,1
FOO,1,1
SIDA,1,1
TB,1,1
CT,1,1
ECV,2,1
TES,1,1
HNF,1,1
RIETE,1,1
PV,1,1
MAT,1,1
CMLALM,1,1
TAR,1,1
RVN,1,1
VIH,9,2
INEN,1,1
RM,2,2
Hp,1,1
CVF,1,1
PAAF,1,1
UCEU,1,1
SEMTSI,1,1
TG,1,1
CONUT,1,1
AP,2,1
MIR,1,1
beta 2M,1,1
AEEF,1,1
ERC,2,1
UC,1,1
AD8,1,1
TTPa,1,1
VSG,1,1
SU,2,1
LSM,1,1
SEH-LELHA,2,1
GLP-1,2,1
CMBD,1,1
RI,1,1
PROA,1,1
SoCMUE,1,1
ZBS,1,1
GRD,1,1
ISC,1,1
MOS-HIV,1,1
CPN,1,1
II,1,1
CCI,2,1
IECA,1,1
CAD,1,1
UCI,1,1
PANCCO,1,1
EnT,1,1
IBP,1,1
SS,1,1
COMESEM,1,1
ABP,1,1
MU,1,1
CSS,1,1
OC,1,1
PCSK9,1,1
TVP,1,1
PIM,1,1
TP,1,1
LCD,1,1
HACMLE,1,1
SCI,1,1
NACO,1,1
ADA,1,1
IC 95%,2,2
AAMCC,1,1
RLM,1,1
SEA,2,1
PCR,1,1
EHGNA,2,1
ITUF-AS,1,1
FHF,1,1
ER-IgG4,1,1
OT,2,1
SW,1,1
ATPO,1,1
IMC,1,1
c-HDL,1,1
UCEM,1,1
AEEH,1,1
VPH,1,1
GER,2,1
SNG,1,1
RSIM,1,1
EEH,1,1
LEG,1,1
AyR,1,1
CB,1,1
NE,1,1
c-LDL,1,1
ICA,1,1
PE,1,1
ESI,1,1
HUVN,1,1
SECAC,1,1
SGB,1,1
ADVP,1,1
CDT,1,1
FMMR,1,1
UCE,1,1
LDL,1,1
IC,1,1
EVCi,1,1
LES,1,1
ITUF,1,1
SII,1,1
