acronym,num_occ,num_different_expansion
UDP,1,1
Sinasc,1,1
ESUS,1,1
HADS,2,2
N.D.G.A.,1,1
VPPB,2,2
ADA,1,1
EEE,1,1
GRD,2,2
SAHOS,2,1
EH,1,1
DC,3,2
VPP,1,1
SLA,1,1
RP,1,1
EMRR,4,2
Rusia,1,1
ACV,6,3
MMSE,4,4
MDC,1,1
CMT,2,1
REMAH,1,1
SEN,3,2
Cr,1,1
ELA,3,2
CD,1,1
PEATC,1,1
DT2,1,1
TANIT,1,1
S.N.M.,1,1
SCOPA-Cog,1,1
GOT,1,1
DCF,1,1
SFC,1,1
AME,3,1
CG,1,1
DF,2,2
ENP,1,1
ACR,1,1
TLIV,1,1
CBI,1,1
NPI-Q,1,1
ADAS,2,1
T.A.C.,1,1
PubMed,1,1
SPI,2,1
Venezuela,1,1
ECTC,1,1
FRCV,1,1
EEV,1,1
QSM,1,1
IRSPC,2,1
HC,1,1
TAD,1,1
NDPD,1,1
CAMCOG-DS,1,1
ACE-R,1,1
IT,1,1
FC,1,1
Sinais,1,1
AVE,1,1
PRP,1,1
NAA,2,2
DM,2,2
POCS,2,2
PLEDs,1,1
TB-DI,1,1
APOE,1,1
FA,1,1
PTTG,1,1
HACRE,1,1
EsC,1,1
GBM,1,1
PRL,3,1
T@M,2,2
CN,1,1
AIT,3,2
DCL,5,2
ISP,5,2
CMC,1,1
AF,1,1
STE,1,1
MIPSE,1,1
EFAM,2,1
DMAE,1,1
TN,1,1
MGMT,2,1
NPI-NH,1,1
TEA,9,3
SEM,3,2
HSA,1,1
EAONO,2,1
FLANC,1,1
ECAVIPEP,1,1
PVMD,1,1
EC,1,1
EK2,1,1
EA,7,1
CIE-9,1,1
MIP-1β,1,1
CIP,1,1
T.E.C.,3,3
AAO-HNS,2,1
HICI,1,1
STC,3,2
S.F.A,1,1
BNB,1,1
MCP-1,1,1
NO,1,1
SOL,1,1
LIHC,1,1
PCR,1,1
PAAF,1,1
GTU,1,1
CR,1,1
HChr,1,1
EBA,2,2
EW,1,1
MN,1,1
SAHS,7,7
CIH,1,1
MIS,1,1
II,1,1
MS,1,1
NF1,3,2
NIHSS,1,1
EK,1,1
CI,2,2
España,1,1
RM,7,2
GOS,1,1
RNPT,1,1
CET,2,1
H-RP,1,1
L.C.R.,2,2
ABC,1,1
MMPI-2,1,1
PESS,1,1
OMS,1,1
KADDS,1,1
MOR,1,1
IIEF,1,1
MM,1,1
ENO,1,1
I-V,1,1
NF2,1,1
EGI,2,2
MFM,1,1
SIDA,3,1
EDSS,1,1
AVAC,2,2
LOLA,1,1
HSDC,1,1
EDL,1,1
EMJ,2,1
PIDA,1,1
EAI,1,1
EEG,3,3
CdV,1,1
SAS,1,1
MEC,1,1
CTT,1,1
EMPP,1,1
VMNI,1,1
y II,1,1
CAMCOG,1,1
ISD,1,1
IMSS,1,1
TDP,1,1
MNIO,1,1
SENR,2,1
INNN,1,1
RMf,1,1
UCN,1,1
UTAC,1,1
UC,1,1
TDA,2,2
ECP,3,1
SC,1,1
PEVAC,1,1
PS,1,1
EPI,1,1
UPDRS,3,2
MRC,1,1
PADS,1,1
peso kg,1,1
MeSH,3,2
DMT,1,1
TCE,6,3
CPAQ,1,1
CEMPV,1,1
RPC,1,1
OnabotA,3,2
HPM,1,1
VHB,1,1
NMDAR,1,1
EHI,1,1
OPELUCE,1,1
ITSD,1,1
NCC,1,1
HPRL,1,1
VIH,4,1
ESL,1,1
GECSEN,1,1
UPV,1,1
PRES,1,1
CVF,1,1
NMDA,1,1
parte I,1,1
OR,1,1
UMRF,1,1
ETE,1,1
EVA,1,1
MG,1,1
SIB,1,1
ESPII,1,1
NAC,1,1
HIT-6,1,1
IAH,2,2
E. M.,1,1
Hib,1,1
CPT,1,1
SAT,1,1
HLP,1,1
SAdE,1,1
SCB,1,1
EHS,1,1
AINP,1,1
GIMC,1,1
FAE,2,1
AFP,2,2
NST,1,1
MPS-II,1,1
EMAD,1,1
UNC,1,1
EP,22,1
CDM,1,1
CC,1,1
NFPVC,1,1
MHib,1,1
CFNR,1,1
OOS,1,1
SU,2,1
WOS,1,1
SENFC,1,1
E.C.P.S.,1,1
ENG,2,1
GLP-1,2,1
ROC,1,1
PrPC,1,1
TNC,1,1
CGEO,1,1
NT,1,1
OCB,1,1
NTB-A,1,1
TVC,1,1
AESP,1,1
EVC,1,1
III,1,1
NMO,2,1
DEI,1,1
RHC,2,2
NORMACODEM,2,2
SENEC,4,2
THC,1,1
EE,1,1
LAM,1,1
NEWSQOL,2,1
LM,1,1
MBI-C,1,1
E.R.G.,1,1
ENV,1,1
TDAH,19,2
CFC,1,1
DMC,1,1
CF,1,1
HTIC,1,1
TVE,1,1
EAJ,1,1
BETA,1,1
DBH,1,1
TCM,1,1
ST,1,1
EAM,1,1
rcmc,1,1
