acronym,num_occ,num_different_expansion
NNE-GEP,1,1
SAMe,1,1
APLV,1,1
ACE,2,1
NIC,2,1
SAAa,1,1
VPP,1,1
NEA,1,1
AJCC,1,1
AFO,1,1
MDC,1,1
EP,4,2
PMN,2,1
GGPH,1,1
VHS,1,1
CDMX,1,1
SAF,1,1
Cr,1,1
Psq,1,1
GCCB-S,1,1
PEATC,1,1
SOH,1,1
CTC,1,1
ITU,1,1
VRI,1,1
FHIS,1,1
L.E.S.,1,1
CCI,1,1
NET,1,1
DCF,1,1
SEIMC,1,1
TCC,1,1
LMC,1,1
UDVP,1,1
PET/TC,1,1
PubMed,1,1
MDR,1,1
SUDEP,1,1
BEP,1,1
IL-10,1,1
CTR,1,1
GB,1,1
USE,2,1
NAA,1,1
DAR,1,1
DM,3,3
CID,1,1
APOE,1,1
LC,2,2
H.A.C.R.E.,2,2
VC,1,1
HACRE,1,1
GBM,1,1
IT,1,1
TA,1,1
CN,1,1
CVP,1,1
TVU,1,1
CPRC,1,1
OD,1,1
AF,2,2
TI,1,1
GMSI,1,1
GLOMANCHA,1,1
S.R.E.,1,1
DMAE,1,1
TN,1,1
SUH,1,1
MGMT,1,1
SECCV,2,1
CIN III,1,1
A/C,1,1
TEA,4,3
HSA,1,1
EICIG,1,1
FLANC,1,1
PAAF,7,3
MDA,1,1
IGU,1,1
VD,1,1
CCU,1,1
ATP,1,1
PSH,1,1
NO,1,1
SGNC,1,1
T.V.S.I.,1,1
LIHC,1,1
PCR,2,2
GNMP,1,1
ITcc,1,1
INMA,1,1
EBA,1,1
MINI,1,1
EW,1,1
DMBA,1,1
PROA-NEN,1,1
DAP-HS,1,1
FNA,1,1
CEA,3,1
Se,1,1
SV,1,1
RM,3,1
CV,2,2
GOS,1,1
RNPT,2,1
TGA,1,1
CET,1,1
NMP,2,1
TVI,1,1
CC,1,1
CHCC,1,1
PESS,1,1
PXG,1,1
CPRE,2,2
LAP,2,1
ATM,1,1
HBP,3,2
DTUI,1,1
STC,1,1
SSJ,1,1
SM,2,1
CPP,1,1
SOCALPAR,1,1
STIR,1,1
NF2,1,1
EHNA,1,1
EGI,1,1
DERTA,1,1
SIDA,1,1
HSDC,1,1
LLC,1,1
PIDA,1,1
LA,1,1
HUC,1,1
DACBI,1,1
IDPN,1,1
RA,1,1
URS,1,1
GCA,1,1
CPNM,1,1
SCD,1,1
OI,1,1
PCNA,1,1
DFO,1,1
DC,1,1
