acronym,num_occ,num_different_expansion
Sinasc,1,1
BPN,3,1
PEG,3,3
PTFE,1,1
NPT,3,3
R.A.B.D.H.,1,1
TMI,3,3
PN,2,2
TMP,1,1
RNMBP,1,1
ECLAMC,4,2
CD,1,1
TANIT,1,1
TRA,1,1
EXIT,1,1
FIVTE,1,1
SEIMC,1,1
PVE,1,1
IgE,1,1
NAV,1,1
RENAC,2,1
SAAS,1,1
CCUSG-061,1,1
CIR,1,1
IC 95%,4,3
IN,1,1
BPT,1,1
LH,1,1
AAS,1,1
LME,2,1
RNP-BP,1,1
FC,1,1
Red INMA,1,1
DM,1,1
CID,1,1
HACRE,1,1
DI,1,1
SCV,1,1
ROP,2,2
DCP,1,1
RN,12,2
FI,1,1
MDA,1,1
SEPAR,1,1
CIE-9,1,1
SENPE,1,1
FETI,1,1
S.F.A,1,1
LIHC,1,1
DR,1,1
INMA,1,1
MN,2,2
TGO,1,1
DCI,1,1
FNf,1,1
CI,2,2
RNPT,1,1
CET,1,1
BCCU,1,1
PIVh,1,1
E.C.E.P.,1,1
GEN-VN,1,1
OMS,3,1
casos,1,1
SDG,1,1
CAVC,1,1
IVA,1,1
SM,1,1
HSRV,1,1
HR,1,1
LA,1,1
MARS,1,1
SMSL,2,1
SN,1,1
ISD,1,1
IC,2,2
NED,1,1
BGN-MR,1,1
IPI,1,1
SINAN,1,1
VIH,7,3
SDR,3,2
ES/E,1,1
IRA,4,2
NIE III,1,1
SIRI,1,1
SNS,1,1
IC95%,1,1
VHB,2,1
TMI-MC,1,1
EHI,1,1
PC/E,1,1
DE,1,1
Rn,1,1
RNTI,1,1
TAR,1,1
ESPII,1,1
RNT,1,1
Hib,1,1
IR,1,1
TG,1,1
PIB,1,1
CEC,1,1
UCIN,3,2
IP,1,1
SU,1,1
HG,1,1
TMN,1,1
NPD,3,1
LAP,2,2
CT,1,1
D.V.T.A.,1,1
SDRA,1,1
PAI,1,1
DEI,1,1
PRISMA,1,1
SEMP,1,1
EE,1,1
DHA,2,1
C.U.A.A.,1,1
ARAHIP,1,1
ECV,1,1
FN,1,1
DFT,1,1
HB Ag,1,1
AFP,1,1
PPT,1,1
VHC,1,1
PCA,2,1
PMC,1,1
LCR,2,2
ENT,1,1
SDRI,2,2
TGP,1,1
PP,1,1
PNB,1,1
PAS,1,1
CCC,1,1
CVC,1,1
THAM,1,1
VIH-1,2,2
TMFT,1,1
CFP,1,1
ECN,2,2
IRAB,1,1
SCU,1,1
TC,1,1
CONIN,1,1
UITB,1,1
AHA,1,1
VM,2,1
RR,1,1
EGB,1,1
SRAS,1,1
SUP,1,1
NAVM,1,1
SEPN1,1,1
A.H.F.,1,1
Hb,1,1
SNT,1,1
Pt,1,1
SD,1,1
SIC,3,1
EEG-V,1,1
S.M.S.L.,1,1
SIGN,1,1
EIC,1,1
INPer,1,1
AP,1,1
ERT,1,1
C.I.E.,1,1
TD,1,1
EEG-PS,1,1
LM,3,1
DG6F,1,1
GEEDP,1,1
VIH-2,1,1
HUM Mederi,1,1
NP,1,1
NBI,1,1
CMV,1,1
PTUIP,1,1
HC,1,1
IDCV,1,1
MLA,1,1
S.D.R.I.,1,1
BP,2,2
GESIDA,1,1
VRS,3,2
DHAS,1,1
TIR,1,1
MPVh,1,1
SOP,1,1
GGT,1,1
TEA,1,1
ST,1,1
VMI,1,1
ERC,1,1
EEG,1,1
MCF,1,1
FA,1,1
SEFH,1,1
RM,2,1
MC,1,1
NADYA,1,1
CIE,1,1
BT,1,1
RCIU,1,1
OR,3,1
RVU,1,1
CABA,1,1
EKI,1,1
RNHMD,2,1
AC,1,1
EC,1,1
CIV,1,1
EG,2,1
