acronym,num_occ,num_different_expansion
BPN,2,1
PEG,2,2
CIE,1,1
EMRR,1,1
PN,1,1
AOC,1,1
L.E.S.,1,1
TRA,1,1
FIVTE,1,1
SEIMC,2,1
SAAS,1,1
CIR,1,1
REDIP,1,1
HPRT,1,1
BPT,1,1
AAS,1,1
MTHFR,1,1
Red INMA,1,1
AL,1,1
DM,1,1
FQ,3,1
PRL,2,1
BSF,1,1
SCV,1,1
ROP,1,1
RN,4,2
PGR,1,1
FI,1,1
FETI,1,1
S.F.A,1,1
ERI,1,1
LAH,1,1
LIHC,1,1
DR,1,1
HChr,1,1
ADE,1,1
II,1,1
FNf,1,1
RM,3,3
GENTE,1,1
RNPT,1,1
PM10,1,1
IC 95%,2,1
OMS,1,1
FETO,1,1
SDG,1,1
IVA,1,1
SM,1,1
SMSL,1,1
EMPP,1,1
VHC,1,1
SCID,1,1
CEAh,1,1
IPI,1,1
SINAN,1,1
PEVAC,1,1
VIH,5,3
SDR,3,2
SIRI,1,1
MeSH,1,1
UVBBE,1,1
EHI,1,1
DE,1,1
AMEU,1,1
GESIDA,3,2
SEMTSI,1,1
SAdE,1,1
TG,1,1
SAEI,1,1
HPMF,1,1
AFP,2,2
CT,1,1
LAP,2,2
SDRA,1,1
III,1,1
CMS,1,1
INSN,1,1
HB Ag,1,1
PPT,1,1
PCA,2,1
PMC,1,1
PGER,1,1
SDRI,2,2
PP5,1,1
THAM,1,1
TMFT,1,1
CFP,1,1
MER,1,1
TDAH,1,1
VAG,1,1
TTPA,2,2
EE,1,1
EGB,1,1
EO,1,1
MAV,1,1
ROC,1,1
SNT,1,1
SD,1,1
EHE,1,1
SAEN,1,1
SIC,2,1
UMI,1,1
INPer,2,1
AP,1,1
C.I.E.,1,1
ACV,1,1
controles,1,1
IC,1,1
VIH-2,1,1
AA,1,1
HUM Mederi,1,1
CMV,1,1
S.D.R.I.,1,1
BC,1,1
EIP,1,1
SOP,1,1
TEA,2,1
VPH,2,1
SCN,1,1
VIH-1,1,1
SWH,2,1
MCF,1,1
DAU,1,1
PE,1,1
ECLAMC,1,1
R CIU,1,1
RCIU,1,1
VPM,1,1
PR,1,1
MT,1,1
DIPI,1,1
RNHMD,2,1
EM,3,1
EVB,1,1
EG,1,1
S.D.J.,1,1
UO,1,1
