acronym,num_occ,num_different_expansion
UCI,1,1
EH,1,1
EK,2,1
CEFEN,1,1
CI,3,2
NIC,1,1
AENP,1,1
TAIA,1,1
DC,1,1
VPP,1,1
pre-,1,1
CMB,1,1
VPR,1,1
CDMX,1,1
RNMBP,1,1
BUN/Cr,1,1
CD,1,1
TCNA,1,1
VHC,1,1
ITU,1,1
HG,2,2
VRI,1,1
FE,2,2
TRA,1,1
TFGe,1,1
CMI,1,1
BLEE,1,1
ATR,1,1
IgE,3,1
NAV,1,1
CNI,1,1
IC 95%,3,3
EHGNA,1,1
EV,1,1
IN,1,1
PPCI,1,1
IT,1,1
LME,1,1
LEPR,1,1
Sinais,1,1
SUH,2,2
IR,1,1
ROP,1,1
DSD,1,1
VNI,1,1
APLV,1,1
RN,8,2
Mp,1,1
R.G.E.,1,1
MAR,1,1
EMA IgA,1,1
CIE-9,1,1
ARIA,2,2
GOB,1,1
ESO,1,1
PCR,2,2
GLI,1,1
DM1,1,1
SNSE,1,1
TFD,1,1
HChr,1,1
CC,3,2
PRUNAPE,1,1
zIMC,1,1
IAC,1,1
LNI,2,2
PROA-NEN,1,1
AEPAP,1,1
SPN,1,1
HE,1,1
SOCHMEDEP,1,1
ABC,1,1
ME,1,1
LEP,1,1
SM,4,1
HR,2,1
SEICAP,1,1
LA,1,1
CNS,1,1
bpm,1,1
SEUP,1,1
AIDL,1,1
CT,2,2
SMSL,2,1
anti-H1,1,1
RA,1,1
SEPHO,1,1
PCT,2,2
kD,1,1
HPAF,1,1
EFED,1,1
SN,2,2
ISD,1,1
EV-A71,1,1
MNIO,1,1
IC,5,3
EM,2,2
NED,1,1
RVN,1,1
BGN-MR,1,1
SDF,1,1
MRT,1,1
VIH,3,1
SDR,2,2
SEGHNP,2,1
IVU,1,1
ACMPV,1,1
ECOE,2,1
IC95%,1,1
NMDAR,1,1
EHI,1,1
DVD,1,1
AOMI,1,1
E C,1,1
TH,1,1
SOCHIPE,1,1
VHA,1,1
CTOG,1,1
STID,1,1
RAM,1,1
AF,2,1
SEIP,2,1
SARM,2,2
SA,2,2
FRC,1,1
SEMTSI,1,1
RNT,1,1
ENI,1,1
PRONAP,1,1
TG,1,1
RCP,3,2
EHS,1,1
ERC,2,2
MPS-II,1,1
EPOC,1,1
LPV,1,1
CEC,2,1
CLDL,1,1
S. aureus,1,1
SO,1,1
TCPH,1,1
RI,2,2
HGNA,1,1
SUP,7,3
SDRA,1,1
PRISMA,1,1
SEMP,2,1
TCE,1,1
SOCHICAR,1,1
EA,2,2
VCN7,1,1
IOM,1,1
DHA,1,1
TDAH,4,3
CCI,2,2
SENPE,1,1
C.U.A.A.,1,1
TCM,1,1
ST,1,1
ARAHIP,1,1
BVS,1,1
NAG,1,1
ECV,1,1
SU,1,1
PANCCO,1,1
DAM,1,1
HZ,1,1
ENT,1,1
LT,1,1
FR,1,1
CHUC,1,1
EIM,1,1
IMA,1,1
RST,1,1
LNH,1,1
PNB,1,1
OR,6,3
CVC,1,1
GIM,1,1
VIH-1,2,2
IISP,1,1
TRS,1,1
MAC,2,1
RR,4,2
GTI-SEUP,2,1
UI,1,1
CONIN,1,1
AHA,1,1
COR,1,1
HPS,1,1
VM,1,1
CIA,1,1
SEPEAP,1,1
SNC,1,1
Hb,1,1
Pt,1,1
AVB,2,1
TCV,1,1
DPC,1,1
ICSI,1,1
SEFH,1,1
DM2,2,2
SD,3,1
DPA,1,1
EV-D68,2,1
CAM,1,1
TEPROSIF,1,1
ECN,1,1
RACHS,1,1
SIGN,1,1
SA-C,1,1
SNRE,1,1
IPPB,1,1
PEAC,1,1
ERT,1,1
SAMR-C,1,1
EUA,1,1
EO,1,1
SCIE,1,1
LM,1,1
ECA,1,1
IgM,1,1
ADS,1,1
GEEDP,1,1
AA,1,1
NP,2,1
CMV,1,1
HC,1,1
TAC,1,1
IDCV,1,1
VRS,2,2
SIOP,1,1
LAL,1,1
IMC,2,2
IU,1,1
CAV-AEP,3,1
EC,2,1
TDR,1,1
SENP,2,1
LMA,1,1
DM,3,1
TEA,3,1
DE ,0,0
Cr,1,1
GER,2,1
UCIN,2,1
VFD,1,1
EII,3,2
PB,1,1
CE,1,1
TGR,1,1
DAFO,1,1
RM,3,1
ILE,1,1
MAPA,1,1
WOK,1,1
GCS,1,1
PROA,1,1
SLTA,1,1
PC,1,1
pH1N1,1,1
LLA,2,1
PPAC,2,1
VPM,1,1
RVU,3,1
SAMR-ac,1,1
TQ,1,1
EKI,1,1
VHS,1,1
PNET,1,1
SNI,1,1
UNAM,1,1
CU,2,1
SC,1,1
VPN,1,1
CIV,1,1
LES,1,1
HSC,1,1
SII,1,1
