acronym,num_occ,num_different_expansion
ESUS,2,1
GOLD,1,1
KOOS,1,1
SLA,1,1
CMT,1,1
SEN,1,1
EMT,1,1
TANIT,1,1
AME,1,1
DF,1,1
ENP,3,1
FX,1,1
ACV,6,2
UDH,1,1
EsC,1,1
ISP,1,1
AF,2,1
LCA,1,1
DDA,1,1
EK2,1,1
EA,1,1
STC,1,1
BNB,1,1
GTU,1,1
Gln,2,1
MS,2,1
NIHSS,3,1
EK,1,1
CMJ,1,1
OP,1,1
OMS,1,1
PTDO,1,1
SM,1,1
TI,1,1
ULM,1,1
TEA,3,2
BPAQ-MI,1,1
CTT,1,1
MNIO,1,1
GPAA,1,1
UTAC,1,1
RBC,1,1
ECP,1,1
SAAC,1,1
VIH,1,1
PRC,2,1
MRC,1,1
PADS,2,1
LMR,1,1
BoNT-A,1,1
TCE,8,2
CEMPV,1,1
SHC,1,1
CI,2,1
NMDA,1,1
SSPA,1,1
UMRF,2,1
ECV,4,2
RNP,1,1
IR,1,1
FEM,1,1
NST,1,1
Primates,1,1
EPOC,3,2
EMAD,2,1
EP,2,1
EMRR,2,1
VN,1,1
RCT,2,1
TDC,1,1
ICAM,1,1
EVC,1,1
TDAH,3,3
PRFA,1,1
RVUPS,1,1
AR,1,1
ADMMR,1,1
BETA,1,1
INSS,1,1
SIS,1,1
IC,2,1
MIQ,2,1
SCP,1,1
INR,1,1
Neuro-ACMI,1,1
RR,1,1
AAS,2,1
ATR,1,1
NE,1,1
RRE,1,1
PEP,1,1
DCA,2,1
AFG,2,1
DOMS,1,1
DM2,1,1
GEW,1,1
GMFCS,1,1
SIC,1,1
RA,1,1
TAP,2,1
PAIA,2,1
NEC,1,1
MRP,1,1
TD,1,1
TAB,2,2
RENAPREC,2,1
NP,1,1
CHUVI,1,1
PTUIP,1,1
ER-IgG4,1,1
RA-LMMR,1,1
RM,1,1
SPA,1,1
RV,1,1
ECA,2,1
IMSS,1,1
SJ,1,1
BRIEF,1,1
TaDiCS ®,1,1
FRC,1,1
ILT,1,1
EM,1,1
ELEP,1,1
INE,1,1
