acronym,num_occ,num_different_expansion
PPAF,1,1
CaMa,1,1
SIS,1,1
TRA,1,1
ADA,1,1
APLV,1,1
IEI,1,1
ASRS,1,1
EAS,1,1
CD,1,1
TANIT,1,1
ODS,1,1
SENC,2,1
SEIMC,1,1
II,3,3
EIA,1,1
ONGD,1,1
GMF,1,1
EN,2,2
FC,1,1
E12,1,1
GABA,1,1
CA,1,1
SEAN,1,1
AF,6,1
RH",1,1
EFAM,1,1
DMAE,1,1
MST,1,1
SEPAR,1,1
DMT2,1,1
BICI,1,1
EQUIHP,1,1
TIC,1,1
CHMSS,1,1
MIS,1,1
G6FD,1,1
DCI,2,1
CI,2,2
GENTE,1,1
SOCHMEDEP,1,1
OMS,4,1
IVA,1,1
CEFYDEM,1,1
PAPPS,2,1
HVB,1,1
AGS,1,1
SIDA,1,1
SSSN,1,1
GESEPOC,1,1
sic.,1,1
ECV,1,1
EVW,2,1
TEA,4,2
IMSS,1,1
DPNC,1,1
RVN,1,1
SAAC,1,1
VIH,4,2
ED,1,1
BP,1,1
GLAITH,1,1
EV,1,1
Ensanut,1,1
VHB,3,2
TCA,2,2
OPELUCE,1,1
FES,1,1
SOCHIPE,1,1
ECE,1,1
TAO,1,1
STID,1,1
IB,1,1
RIUPS,1,1
GESIDA,2,2
AP,2,1
AMMOM,1,1
ERC,3,1
EPOC,1,1
CEAPE,1,1
EP,1,1
HF,1,1
COPD-PS,1,1
GEDSRT-VHC,1,1
PS,1,1
CN,1,1
DME,1,1
VPH,3,2
CT,1,1
RCP,1,1
EVC,1,1
ZBS,1,1
BCG,2,2
CEIPC,2,1
PINSAP,1,1
Hib,1,1
PAI,1,1
LABC,1,1
PRMs,1,1
ARIA,1,1
RVUPS,1,1
PRISMA,1,1
SOCHICAR,1,1
AS,1,1
IE,1,1
TDAH,3,1
CPN,1,1
DM1,1,1
GE,1,1
MVL,1,1
SU,1,1
PCA,1,1
ATM,1,1
GC,1,1
SSHDC,1,1
FR,1,1
GETH,1,1
MRV,1,1
EPS,1,1
HSV-2,1,1
RR,2,2
SACN,1,1
CFP,1,1
IRT,1,1
RPC,1,1
ATR,1,1
PV,1,1
VAG,2,1
UITB,1,1
SM,1,1
CAP,1,1
EF,1,1
EGB,1,1
SMD,1,1
PAIS,1,1
GID,1,1
LE,1,1
E1,1,1
CCI,1,1
HTA-ALERT,1,1
HA,1,1
SNS,1,1
CDC,1,1
SIGN,1,1
IRA,1,1
EAT,1,1
FOS,1,1
TD,1,1
DNN,1,1
LM,2,1
SALVAR,1,1
VIH-2,1,1
DPN,1,1
EpS,2,1
INCMNSZ,1,1
SL,1,1
PTUIP,1,1
HC,1,1
DPNNC,1,1
OT,1,1
iPCSK9,1,1
CC,1,1
CAV-AEP,2,1
TIR,1,1
SMS,1,1
ERCT,1,1
EvW,1,1
SUH,2,1
CAFYD,1,1
ECI-4,1,1
PVA,1,1
DIGS,1,1
EII,1,1
SIR,1,1
ABSST,1,1
VFP,1,1
SWB,1,1
GPSIDA,1,1
TC6M,1,1
PR,1,1
AMPA,1,1
IC,1,1
CCR,1,1
UNAM,1,1
PEPAF,1,1
RNM,1,1
RN,1,1
PCCM,1,1
EM,1,1
ECA,1,1
