acronym,num_occ,num_different_expansion
CaMa,1,1
Sinasc,1,1
ESUS,1,1
SIS,1,1
BPN,3,1
PEG,2,2
RVS,1,1
CAR,1,1
UDVP,2,2
SWFL,1,1
CGE,1,1
SCA,1,1
CEFEN,1,1
SAHOS,1,1
VADS,1,1
ACE,1,1
CI,4,4
CVP,1,1
ASRS,1,1
NIC,1,1
RIC,1,1
EH,1,1
VPP,1,1
ET,2,2
RP,6,2
MDC,1,1
EVS,1,1
NPT,4,2
CMT,2,1
DA,1,1
PPI,2,1
MI,1,1
REMAH,1,1
SF,1,1
TMI,1,1
SEN,1,1
OPS,1,1
ECLAMC,4,2
GCCB-S,1,1
ITS,4,2
DT2,4,2
VHC,7,3
SOH,1,1
ENSE,1,1
CRM,1,1
NCI,1,1
TANIT,1,1
HDM,1,1
CF,4,2
GEO,1,1
HaD,2,2
NH,1,1
HAP,1,1
BIC,1,1
SCOPA-Cog,1,1
IC95,1,1
H-LDL,1,1
AGEMZA,1,1
iam,1,1
TRA,1,1
ITL,3,1
ODS,2,1
MAPA,1,1
IMIP,1,1
PMIT,2,1
OC,1,1
II,4,4
EF,1,1
FIVTE,1,1
GEMPO,1,1
SEIMC,3,2
CG,2,2
AUDIT-C,1,1
BLEE,2,2
TCC,1,1
EIA,2,1
SCORE,1,1
NSE,2,1
EIICEA,1,1
IgE,1,1
RENAC,2,1
SAAS,1,1
PRL,2,2
RCEI,1,1
HSH,1,1
CIR,1,1
PubMed,1,1
IC 95%,6,3
SPI,1,1
EHGNA,2,2
ITA,1,1
REDIP,1,1
Venezuela,1,1
FRCV,4,1
EV,3,3
REPIR,1,1
EO,2,2
EEV,1,1
IN,2,1
PPCI,1,1
HC,1,1
EPG,1,1
CITBM,1,1
CTR,1,1
PGN,1,1
BPT,1,1
CA,2,2
RCV,2,1
AAS,1,1
REV-H-30d,1,1
ANCA,2,2
LME,3,2
LEPR,1,1
MIAP,1,1
RPa,2,2
Sinais,1,1
AVAD,1,1
CAS,1,1
PA,1,1
E12,1,1
DM,10,4
SARM,2,2
GEMI,2,2
SUH,10,3
IR,2,2
APOE,1,1
SWLS,1,1
AUDIT,1,1
GMSI,2,2
LC,1,1
FA,2,2
VitD,1,1
PNAnc,1,1
FQ,1,1
EA,1,1
EC,7,6
ZSO,1,1
ENSIN 2010,3,2
ROP,2,2
as,1,1
CN,1,1
RedMIVA,1,1
TVU,1,1
DCP,1,1
MSII,1,1
CMC,1,1
BN,1,1
AF,6,2
VGE,1,1
STE,1,1
copep-es,1,1
RN,4,3
RAD,1,1
VNI,1,1
MIPSE,1,1
GLOMANCHA,1,1
TN,2,2
CIN III,1,1
R.G.E.,1,1
PGR,1,1
CCU-112,1,1
EP,10,4
FI,1,1
CCAA,1,1
cLDL,2,1
IGU,1,1
TRE,1,1
SEPAR,1,1
CM,1,1
DMT2,3,1
CIE-9,1,1
LIEBG,1,1
CCU,2,2
SIDA,15,4
CAT,1,1
SVGE,1,1
ESO,1,1
FID,1,1
NYHA,1,1
RISC II,1,1
RHAI,1,1
PSRs,1,1
SEM,2,2
GBA,1,1
DR,1,1
INMA,1,1
PNED,1,1
cHDL,2,1
CR,1,1
CIRH,1,1
LIEAG,1,1
MINI,1,1
BEDS,1,1
EW,1,1
MN,2,2
DE,6,6
zIMC,1,1
TGO,1,1
CHMSS,1,1
G6FD,1,1
Gln,1,1
SUN,1,1
DCI,2,1
NIHSS,1,1
NNT,1,1
NGPP,1,1
CV,5,2
GENTE,1,1
HTA,4,1
PM10,1,1
SSPA 7,1,1
Tnc T-es,1,1
OP,1,1
GEMEBA,1,1
TARGA,2,2
VINCat,1,1
MPD,1,1
PIVh,1,1
ES,1,1
LEP,1,1
M-30d,1,1
GEN-VN,1,1
SP+O,1,1
OMS,9,1
UE,1,1
PAB,1,1
VCMP,1,1
CC,3,3
IIEF,1,1
MM,1,1
HBP,1,1
AINE,3,1
PAOP,1,1
IOP,1,1
SM,18,1
SOCALPAR,2,2
FOO,1,1
PAPPS,1,1
CP,2,1
HR,2,2
FIAB,1,1
Viannia,1,1
EHNA,3,1
FMIC,1,1
FRS,1,1
CNS,1,1
TB,3,1
QUALIDIAB,1,1
pacientes,1,1
ULM,1,1
PNCT,1,1
XC,1,1
AC-VIH,1,1
AIDL,1,1
DMPT,1,1
SPC,1,1
CT,3,2
TS,1,1
EMJ,1,1
SG,1,1
SMSL,1,1
IMID,2,1
ENNyS,1,1
IA,1,1
GESEPOC,1,1
sic.,1,1
ECV,7,4
TASPE,1,1
DMRE,1,1
Ft,1,1
VGA,1,1
SAS,1,1
P/E,1,1
CPNM,1,1
GEIDAC,1,1
VHE,1,1
GEIH,2,2
TEA,4,2
CoRIS,1,1
T/E,1,1
MUSIC,1,1
SAHS,3,3
MAT,2,1
EFED,1,1
PV,1,1
IMSS,7,2
BRA-II,1,1
ORs,1,1
IC,8,3
HD,2,1
Fontana,2,2
ISVP,1,1
GPAA,1,1
