acronym,num_occ,num_different_expansion
PPAF,2,1
TMIV,1,1
AVS,1,1
HOMA 2,1,1
CaMa,3,1
Sinasc,1,1
IIEC,1,1
MHSO,1,1
RIC,2,2
SIS,4,1
VA,1,1
S. T.,1,1
ERCA,1,1
TCI,1,1
CVCs,1,1
ANCA,9,5
BPN,3,1
ERSPC,1,1
RSN,2,2
TRA,3,2
GOLD,3,2
CS,7,6
PEG,3,3
ADA,4,2
RS,1,1
RVS,1,1
IgG,1,1
SEICAP,1,1
DDD,2,1
CAR,1,1
G%,1,1
SWFL,1,1
CGE,1,1
RN,12,4
UDG,1,1
SCA,2,2
KOOS,1,1
APLV,2,1
PRUQ,1,1
SAHOS,2,1
VADS,1,1
ACE,2,2
CI,11,7
CC,16,9
RENAC,3,2
IEI,2,1
CVP,1,1
ASRS,2,1
NIC,3,2
EH,1,1
PA-HBsAg,1,1
EAT-10,1,1
EMB,2,2
AENP,1,1
TAIA,1,1
VPP,3,1
RAR,1,1
EAS,2,1
ET,2,2
SLA,1,1
RP,7,3
AJCC,1,1
EMRR,4,2
CMB,2,1
Rusia,1,1
ACV,4,3
MMSE,4,3
MDC,1,1
HVI,1,1
EVS,1,1
NPT,6,2
SETH,1,1
CP,3,3
AZT,1,1
PHMB,1,1
ECAAM,1,1
EP,25,6
CMT,1,1
VHG,1,1
Nemata,1,1
POSIT,1,1
STAI,2,1
AAD,1,1
DA,2,2
TLI,1,1
PPI,2,2
Rop/Dx,1,1
MI,1,1
VHS,1,1
REMAH,1,1
CDMX,2,1
SF,1,1
TMI,3,3
SEN,2,1
SAF,1,1
CRPCE,1,1
PN,2,2
TMP,1,1
NECT,1,1
RNMBP,1,1
OPS,1,1
ECLAMC,4,2
ITUS,1,1
MAPA,3,3
ELA,2,2
YPAS,1,1
OC,1,1
ITS,5,2
CD,3,2
MUE,1,1
INR,3,2
PEATC,2,2
DT2,3,2
MIP,1,1
VHC,4,3
SOH,1,1
ENSE,1,1
AIVD,1,1
ITU,1,1
CRM,2,2
ERIS,1,1
IAM CEST,1,1
TANIT,2,1
GPC,4,2
HDM,1,1
CF,8,5
LAT,1,1
UTN,1,1
S-M,1,1
PM(,0,1
GEO,1,1
SRA,1,1
HaD,2,2
TTP,1,1
NH,1,1
BIC,1,1
SCOPA-Cog,1,1
IC95,1,1
CCI,9,4
DDI,1,1
LNH,2,2
SoCMUE,2,2
EAEAE,1,1
H-LDL,1,1
FE,1,1
