acronym,num_occ,num_different_expansion
VPP,1,1
VRI,1,1
PET/TC,1,1
DM,2,2
SUH,1,1
MAR,1,1
PAAF,1,1
SEN,2,1
ATP,1,1
SAHS,1,1
GEP,1,1
Se,1,1
SERVEI,2,1
PE,2,1
SM,1,1
CPP,1,1
SEUS,1,1
SCD,1,1
DC,1,1
SENR,3,1
MDR,1,1
PHH,1,1
AOMI,1,1
VIH,1,1
SEIP,1,1
TET,1,1
TT,1,1
EHS,1,1
CPN,1,1
LHR o/e,1,1
VCI,1,1
HDC,1,1
TCH,1,1
SENEC,3,2
CMC,1,1
RVI,2,1
RM,3,2
PR,1,1
PA,1,1
ROLL,1,1
SCP,1,1
Es,1,1
GEECV,2,1
Pt,1,1
EIC,1,1
FEVD,1,1
QETA,1,1
RMN,1,1
AT,1,1
SENP,1,1
HNERM,1,1
SPSC,1,1
GENI,3,1
RMC,1,1
EM,1,1
TRUS,1,1
AMS,2,1
VPI,1,1
TCMC,1,1
MT,1,1
API,1,1
VHS,1,1
CT,1,1
TC,2,1
AP,1,1
TH,1,1
II,1,1
VPN,1,1
BAAF,1,1
