acronym,num_occ,num_different_expansion
NIC,5,2
RE,1,1
IFN-gamma,1,1
ITS,3,1
U.P.I.G.O.,1,1
T.P.I.,1,1
CCI,1,1
HSH,1,1
STFF,1,1
V.P.H.,1,1
Red INMA,1,1
E12,1,1
IVE,1,1
APROC,1,1
SAS,1,1
CIN III,1,1
PGR,1,1
LIEBG,1,1
CCU,2,2
GLI,1,1
INMA,1,1
LIEAG,1,1
CE,1,1
NGPP,1,1
España,1,1
SSPA 7,1,1
IC 95%,1,1
OMS,1,1
SM,1,1
HR,1,1
ICSI,1,1
IA,1,1
IMSS,1,1
VIH,3,3
VPH-AR,4,2
NIVa,1,1
IPI,1,1
NIE III,1,1
DIU's,1,1
TPSPT,1,1
DIU,1,1
TAN,1,1
MCA,1,1
PET-FDG,1,1
PHH,1,1
DE,1,1
r.i.a.,1,1
AMEU,1,1
SSPA,1,1
GESIDA,1,1
AEBI,2,2
DPC,1,1
MEDAPROC,1,1
LHR o/e,1,1
FONASA,1,1
AE,1,1
HDC,2,1
LHR O/E,1,1
VPH,19,3
RI,1,1
SIVFRENT-A,1,1
IMSI,1,1
MGH-SFQ,1,1
VHS-1,1,1
RFCE,1,1
SOP,3,2
ZBS,1,1
UCI,1,1
DPAE,1,1
RM,3,3
Nevil,1,1
TBP,1,1
HTA,1,1
FC,1,1
LNH,1,1
CSPL,1,1
PP5,1,1
HTP,1,1
PS,1,1
RR,1,1
HLAV,1,1
E.T.S.,2,2
LI,1,1
I.A.E.,1,1
P.E.M.A.,1,1
CC,1,1
E1,1,1
ETS,2,1
SAEN,1,1
TSP- 1,1,1
INPer,1,1
TOC,1,1
CEM,1,1
AA,1,1
BACOVA,1,1
PART,1,1
EIP,1,1
ST,1,1
ICIQ-SF,1,1
SUH,1,1
R.T.C.,1,1
POP,1,1
PE,1,1
IGVPH,1,1
ECLAMC,1,1
VPI,1,1
L/E,1,1
DERA,1,1
OR,1,1
DIPI,1,1
LARCE,1,1
EVB,1,1
Pap,1,1
LEI,1,1
