acronym,num_occ,num_different_expansion
UCI,2,2
PEATC,1,1
DCF,1,1
RDG,1,1
V.C.O.,1,1
GBM,1,1
MGMT,1,1
FLANC,1,1
MIP-1β,1,1
T.E.C.,2,2
SEN,1,1
MCP-1,1,1
PCR,1,1
SMS,1,1
GOS,1,1
PESS,1,1
FAVIDE,1,1
HPAF,1,1
MNIO,1,1
CMLALM,1,1
SENR,2,1
INNN,1,1
UC,1,1
ECP,1,1
EPI,1,1
UPDRS,2,2
MRC,1,1
VCO,2,1
HPM,1,1
TCE,2,2
UNC,1,1
EP,4,1
CC,1,1
TEV,1,1
SH,1,1
SENFC,1,1
NT,2,1
NMO,1,1
SENEC,4,2
EE,1,1
TVE,1,1
MC-1,1,1
GIMINO,1,1
ROLL,1,1
DVE,1,1
MC,1,1
PCV,1,1
HIV,1,1
GEECV,1,1
AI,1,1
apoE,1,1
MAV,1,1
ASA,1,1
ASIA,1,1
GENI,2,1
ECG,1,1
GCS,1,1
