acronym,num_occ,num_different_expansion
BPN,1,1
PEG,2,2
CIE,1,1
NIC,2,1
EMRR,1,1
RE,1,1
PN,1,1
U.P.I.G.O.,1,1
L.E.S.,1,1
TRA,1,1
FIVTE,1,1
SEIMC,2,1
ALA,1,1
STFF,1,1
CIR,1,1
IC 95%,2,2
HPRT,1,1
IC,1,1
V.P.H.,1,1
BPT,1,1
MTHFR,1,1
Red INMA,1,1
AL,1,1
DM,1,1
IVE,2,1
PRL,2,1
SCV,1,1
APROC,1,1
PGR,1,1
FETI,1,1
S.F.A,1,1
ERI,1,1
LAH,1,1
LIHC,1,1
GLI,1,1
INMA,1,1
HChr,1,1
ADE,1,1
II,1,1
FNf,1,1
CE,1,1
RM,6,5
GENTE,1,1
RNPT,1,1
OMS,1,1
FETO,1,1
UACJ,1,1
IVA,1,1
SM,2,1
MARS,1,1
ICSI,1,1
EMPP,1,1
VHC,1,1
SCID,1,1
IMSS,1,1
VPH-AR,1,1
CCU,1,1
NIVa,1,1
IPI,1,1
VIH,5,3
ACMPV,1,1
NIE III,1,1
UVBBE,1,1
TPSPT,1,1
TAN,1,1
PHH,1,1
DE,1,1
AMEU,1,1
SSPA,1,1
GESIDA,3,2
SEMTSI,1,1
AEBI,2,2
SAdE,1,1
TG,1,1
DPC,1,1
SAEI,1,1
HPMF,1,1
AFP,2,2
MEDAPROC,1,1
LHR o/e,1,1
FONASA,1,1
AE,1,1
HDC,2,1
LHR O/E,1,1
VPH,4,2
RI,1,1
LAP,2,2
IMSI,1,1
CMS,1,1
DHA,1,1
EET,1,1
UCI,1,1
PPT,1,1
PGER,1,1
TBP,1,1
HTA,1,1
FC,1,1
NSRR,1,1
LNH,1,1
CSPL,1,1
PP5,1,1
HTP,1,1
TMFT,1,1
CFP,1,1
PS,1,1
TDAH,1,1
HLAV,1,1
VAG,1,1
LI,1,1
TTPA,2,2
EE,1,1
EO,1,1
MAV,1,1
PRISMA-P,1,1
SD,1,1
EHE,1,1
SAEN,1,1
UMI,1,1
TSP- 1,1,1
INPer,2,1
C.I.E.,1,1
ACV,1,1
TOC,1,1
controles,1,1
VIH-2,1,1
AA,2,1
EIP,1,1
SOP,1,1
TEA,1,1
ST,1,1
ICIQ-SF,1,1
SUH,1,1
SCN,1,1
RDoC,1,1
SWH,2,1
MCF,1,1
DAU,1,1
POP,1,1
PE,1,1
ECLAMC,2,1
R CIU,1,1
VPI,1,1
L/E,1,1
RCIU,1,1
OR,1,1
VPM,1,1
EPA,1,1
CIE 10,1,1
PR,1,1
CES-D,1,1
DIPI,1,1
RNHMD,1,1
RN,1,1
EM,3,1
EVB,1,1
EG,1,1
UO,1,1
