acronym,num_occ,num_different_expansion
BPN,1,1
QLAD,1,1
ADA,1,1
VPP,1,1
RP,1,1
PHMB,1,1
DA,1,1
T.A.C.,1,1
GCP,1,1
ROP,2,2
OD,1,1
DMAE,4,1
HICI,1,1
NO,1,1
RM,1,1
SSp,1,1
STIR,1,1
SIDA,1,1
EDSS,1,1
IMID,2,1
DMRE,1,1
OI,1,1
IMSS,1,1
TDP,1,1
GPAA,1,1
RMf,1,1
TDA,1,1
LVQOL,1,1
VHS,1,1
OPELUCE,1,1
SiFO,1,1
QP,1,1
SCB,1,1
PIO,4,1
TQE,1,1
CFNR,1,1
ROC,1,1
ADVISE,1,1
OCB,1,1
NMO,2,1
ARIA,1,1
RHC,1,1
EE,1,1
TDAH,1,1
RPAD,1,1
D.C.R.,1,1
PMC,1,1
LCR,1,1
VRP,3,1
GES,1,1
CCC,1,1
DCR-E,1,1
FIWOS,1,1
PALOC,4,1
N2 LIQ.,1,1
VPPB,1,1
AGF,1,1
EG,1,1
SW,1,1
ASIA,1,1
HET-CAM,1,1
SOM,1,1
LIO,1,1
UNO,1,1
LA/RC,1,1
ET,1,1
SS,2,1
EM,3,1
EVRD,1,1
VPN,1,1
HTO,1,1
