acronym,num_occ,num_different_expansion
RIC,1,1
PSC,1,1
RN,1,1
KOOS,1,1
TEP,1,1
PEVAC,2,2
PRP,1,1
DM,1,1
LCA,5,1
DN,1,1
D-D,1,1
PCR,1,1
RAFI,2,1
GRD,1,1
VR,1,1
MD,1,1
END,1,1
FR,1,1
IMSS,1,1
RACat,1,1
MRC,1,1
LMR,1,1
BoNT-A,1,1
MeSH,1,1
NRS-2002,1,1
PPA,1,1
FEFCO2,1,1
TBC,1,1
MUST,1,1
MNA,1,1
PFA,1,1
EIA,1,1
FLL,1,1
TCE,1,1
SVP,1,1
RVI,1,1
CPL,1,1
RR,1,1
EVA,1,1
ATR,1,1
TVP,1,1
MIS,1,1
AST,1,1
GEEEAAC,1,1
FC,1,1
RA,1,1
ETV,1,1
TAP,1,1
OA,1,1
RA-LMMR,1,1
ATC,1,1
EAD,1,1
RM,1,1
CORA,1,1
TDC,1,1
IC,1,1
VSG,1,1
