acronym,num_occ,num_different_expansion
CVCs,1,1
RENAC,1,1
CRPCE,1,1
GCCB-S,1,1
H.P.,2,2
SEIMC,1,1
SDTA,1,1
TLIV,1,1
FL,1,1
IN,1,1
NO,1,1
CVP,2,1
PEITHO,1,1
SECCV,5,1
EDC,2,1
SEPAR,8,2
ATP,3,2
SEN,1,1
PVC,1,1
GOS,1,1
CMN,1,1
IC 95%,1,1
ECG-IC,2,1
FAVIDE,1,1
HR,2,1
TASPE,1,1
PT,1,1
AV,1,1
IMSS,1,1
PCM,1,1
DPNC,1,1
SENR,1,1
REALSICA,1,1
PCT,1,1
CC,3,1
GIHV,2,1
TC,2,2
SAVC,1,1
EPOC,2,1
CEC,1,1
VCI,1,1
TEV,1,1
EPES,1,1
NPD,1,1
CVC,4,3
DCC,1,1
PCA,1,1
IAMEST,1,1
España,2,2
GEECV,1,1
A.T.P.,1,1
UITB,1,1
AI,1,1
HPS,1,1
CIA,1,1
CRM,1,1
CPCNM,1,1
TM,1,1
USEB,1,1
PC,1,1
DPPI,1,1
IAM-CEST,1,1
ETV,1,1
EIC,1,1
FRC,1,1
SENEC,1,1
DPN,1,1
RNICP,1,1
DPNNC,1,1
GESIDA,1,1
TIR,1,1
GENI,1,1
TIAM,1,1
UCIN,2,1
AMA,1,1
GesEPOC,1,1
IAMCEST,1,1
GEMA,2,1
SEC,2,1
OR,1,1
TQ,1,1
IMCEST,1,1
CMV,1,1
UNAM,1,1
pHi,1,1
RN,1,1
AP,1,1
AAA,1,1
