acronym,num_occ,num_different_expansion
RIC,1,1
PSC,1,1
TTT,1,1
KOOS,1,1
SAAa,1,1
TTP,1,1
TEP,1,1
T.A.C.,1,1
IRSPC,2,1
ACV,2,1
TMA,1,1
AVAD,1,1
PRP,2,1
SDRA,1,1
HBPM,1,1
ISP,4,2
LCA,4,1
CCU-112,1,1
SEM,1,1
TE,1,1
SDOM,1,1
T.E.C.,3,3
STC,3,2
PCR,2,1
RISC II,1,1
RAFI,2,1
Gln,1,1
SV,1,1
RM,2,2
GRD,1,1
LRINEC,1,1
OP,1,1
MPD,1,1
VR,1,1
HSDC,1,1
MD,1,1
END,1,1
AP,1,1
FR,2,2
UME,1,1
RACat,1,1
MRC,1,1
LMR,1,1
BoNT-A,1,1
UVBBE,1,1
TCE,6,3
FPS,1,1
PPA,1,1
ORN,1,1
VIH,1,1
FDF,1,1
MCF,1,1
AS,1,1
RCP,2,2
TBC,1,1
AMMOM,1,1
MIR,1,1
IP,1,1
SU,3,2
ENG,2,1
RMP,1,1
CGEO,1,1
AESP,1,1
kcal,1,1
EIA,1,1
FC,3,3
FLL,1,1
AR,1,1
IE,1,1
LM,1,1
ISO,1,1
CC,1,1
TNO,1,1
HTIC,1,1
ADMMR,1,1
DBH,1,1
LNI,1,1
BS,1,1
UCI,2,2
MF,1,1
RVI,1,1
SIS,1,1
TAVEC,1,1
CPL,1,1
NL,1,1
AIS,2,1
INR,1,1
Neuro-ACMI,1,1
PAS,1,1
AEMPS,1,1
RPC,1,1
EVA,2,1
WISCI,1,1
TC,2,2
RR,1,1
TVP,1,1
NE,1,1
COR,1,1
MIS,1,1
TP,1,1
AST,1,1
SILEX,1,1
DM2,1,1
SIVELCE,1,1
C.P.,1,1
PIC,1,1
US,1,1
NISS,1,1
RA,1,1
ISS,2,1
EC,1,1
OA,1,1
SCIE,1,1
LQ,1,1
PPT,1,1
PTG,1,1
TUS,1,1
rango,1,1
RCE,1,1
RA-LMMR,1,1
CBCL/1.5-5,1,1
HB,1,1
GER,1,1
SEHER,1,1
RETOSS,1,1
UNP,1,1
EB,1,1
AST-M,2,1
PC,1,1
TDC,1,1
OR,1,1
MPMN,1,1
VPM,1,1
ESCID,2,1
TH,1,1
PCT,1,1
IC,1,1
LCE,1,1
VNG,1,1
FP,1,1
IET,1,1
