acronym,num_occ,num_different_expansion
AVS,1,1
BAI,1,1
ERCA,4,2
ERSPC,1,1
ADA,1,1
DDD,1,1
CGE,1,1
AENP,1,1
TAIA,1,1
VAU,1,1
RP,1,1
EAU,1,1
EP,1,1
ITUS,1,1
DT2,1,1
CAU,1,1
ITU,2,2
VRI,1,1
HDM,1,1
SRA,1,1
NLDV,1,1
MAPA,2,2
TFGe,1,1
BLEE,2,1
CNI,1,1
VP,1,1
PRL,1,1
MRC,1,1
IUE,3,2
CIRC,1,1
BEP,1,1
REPIR,1,1
CTR,1,1
PGN,1,1
HAD,1,1
CAE,1,1
ANCA,1,1
PA,1,1
LRA,1,1
DM,3,1
IR,1,1
ICAM-1,1,1
eTFG,1,1
PNAnc,1,1
FSR,1,1
DSD,1,1
CPRC,1,1
TI,1,1
GLOMANCHA,1,1
D. P.,1,1
A/C,1,1
FNT–alfa,1,1
IGU,1,1
VD,1,1
M-PTH,1,1
CV,2,2
FRR,2,1
T.V.S.I.,1,1
PCR,1,1
C/T,1,1
PAAF,1,1
GNMP,1,1
SNSE,1,1
CPCs,1,1
HChr,1,1
TGT,1,1
HPB,2,1
HTA,2,1
IRA,1,1
NLPC,1,1
VINCat,1,1
CS,1,1
TVI,1,1
CC,1,1
TRRC,2,2
UE,1,1
PAB,1,1
HNERM,1,1
PXG,1,1
AINE,1,1
HBP,6,3
TVNMI,1,1
VFP,1,1
SDU,1,1
SM,3,1
DP,3,1
CP,2,1
SIDA,1,1
ULM,1,1
DPCA,5,1
DMPT,1,1
CT,2,2
P.R.,1,1
LA,1,1
HUC,1,1
SGLT2,1,1
ECV,2,1
ONT,1,1
TUNA,1,1
URS,2,2
Ft,1,1
HHM,2,2
PCT,1,1
NLP,3,3
NAG,4,3
RMS,1,1
DHCC,1,1
DFO,1,1
HNF,1,1
IMSS,1,1
ORs,1,1
HD,4,1
VFG,1,1
Fontana,2,2
S.H.U.,1,1
VIH,1,1
L+,1,1
IVU,1,1
IDB,1,1
NUT,1,1
plan AUGE,1,1
UREA,1,1
DE,3,3
y III,1,1
MXT,1,1
AP,1,1
FAT,1,1
PRES,1,1
PG,2,2
I.R.C.,2,1
RAM,1,1
EODD,1,1
E. M.,1,1
SLP,1,1
CyL,1,1
TT,1,1
LEOC,4,2
RTU,1,1
HUM,1,1
ERC,24,2
TR,2,2
DPA,1,1
VGS,1,1
AISBE,1,1
FONASA,1,1
IRC,2,1
IL-2r,1,1
VCI,1,1
VN,1,1
SU,1,1
SUH,2,2
CISCA,1,1
VPH,1,1
MLG,1,1
RIA,1,1
RSM,1,1
HCP,1,1
HT,1,1
CPA,1,1
CUMS,1,1
NL,2,2
TDO,1,1
TAC,2,1
DS,1,1
TRR,2,2
PAF,1,1
BPIC-SS,1,1
AVAC,1,1
BP,1,1
GNRP,1,1
LEOCH,1,1
DHEA,1,1
FVP,1,1
CIRR,1,1
GEEP,1,1
BPTR,1,1
AAST,1,1
CB,1,1
RVI,1,1
CrS,1,1
GMP,1,1
PR,1,1
CVNMI,1,1
R.T.U.,1,1
VIP,2,2
FVV,1,1
CRIR,2,1
CSPL,1,1
GCAO,1,1
GIM,1,1
THAM,1,1
LRH,1,1
SRAA,2,1
EVA,1,1
SCIVDc,1,1
RITA,1,1
OB,1,1
I-PSS,1,1
TC,1,1
OAB-FIM,1,1
FUCD,1,1
MMC,1,1
SVS,1,1
NPA,1,1
CCR,2,2
GID,1,1
TSOG,1,1
MD,1,1
IRCT,1,1
IHQ,1,1
URS-F,1,1
RC,1,1
MC,1,1
P.B.T.E.P.,1,1
BXO,1,1
SNS,1,1
ECN,1,1
UF,1,1
SNRE,1,1
UID,1,1
ERCO,1,1
PTH,1,1
ERT,2,1
IAL,1,1
DDAVP,1,1
LB,1,1
PTT/SUH,1,1
Sintrom,1,1
iueff,1,1
ADS,1,1
VH,1,1
I.R.F.T.,1,1
PEECU,1,1
LU,1,1
HDI,1,1
CMV,1,1
ITUF-AS,1,1
TCP,2,1
ER-IgG4,1,1
CMO,1,1
HN,1,1
SW,1,1
HC,1,1
HR,1,1
SIOP,1,1
C.C.,1,1
FG,1,1
Dx/HA,1,1
IMC,1,1
IU,1,1
ACD,1,1
NLP-CR,1,1
O.I.,1,1
ROC,1,1
ERCT,3,1
EHEC,1,1
DMSO,1,1
B.R.,1,1
ICIQ-SF,2,1
Cr,1,1
IC,2,2
NCT,1,1
R.T.C.,1,1
TTVCI,1,1
MTs,1,1
TSFR,1,1
AM,1,1
PB,1,1
FRV,1,1
ARA-II,1,1
AMS,1,1
C.R.,1,1
ABSST,1,1
POP,1,1
COCT,1,1
CAM,1,1
ISUP,1,1
RM,1,1
Alb,2,1
FRA,2,1
I.C.V.,1,1
MBE,1,1
Cis-Pt,1,1
OR,2,1
HGCH,1,1
E. coli,1,1
TTC,1,1
RVU,6,1
TURis,1,1
MT,1,1
API,1,1
SN,1,1
SNI,1,1
Plan AUGE,1,1
I.V.I.,1,1
I.R.A.,1,1
LEP,1,1
DPE,1,1
C.C.F.,1,1
DM2,1,1
LES,1,1
TUI,2,1
ITUF,1,1
PNA,1,1
