acronym,num_occ,num_different_expansion
ANCA,1,1
NIC,1,1
AZT,1,1
ITS,4,1
HIA,1,1
T.P.I.,1,1
TRS,1,1
PMIT,1,1
II,1,1
SEIMC,4,1
EIA,1,1
UDVP,1,1
SAAS,1,1
HSH,1,1
TARVAE,1,1
V.P.H.,1,1
AAS,1,1
AF,2,1
SAS,1,1
VIH,64,6
SIDA,31,8
vih,1,1
NGPP,1,1
España,1,1
SSPA 7,1,1
TARGA,2,2
CV,2,2
S.I.D.A.,1,1
AC-VIH,1,1
TS,1,1
IA,1,1
BMQ,1,1
CoRIS,1,1
MSC,1,1
TAR,3,2
ESG,1,1
UVBBE,1,1
GESIDA,6,2
SAEI,1,1
beta 2M,1,1
VIH-2,5,2
VSG,1,1
DAS,1,1
VPH,4,2
MOS-HIV,1,1
VHS-1,1,1
TARMA,1,1
ZBS,1,1
MGIT,1,1
COMESEM,1,1
IP,1,1
VIH-1,5,2
UFPE,1,1
TARV,2,2
RR,1,1
E.T.S.,2,2
SNS,1,1
MORTAR,1,1
AEDV,1,1
LM,1,1
ODM,1,1
SEFH,1,1
ETS,2,1
ZDV,1,1
SALVAR,1,1
EADV,1,1
PVV,1,1
BACOVA,1,1
ESPA,1,1
HB,1,1
EIP,1,1
SUH,1,1
PNS,1,1
TMI,1,1
PVIH/sida,1,1
GPSIDA,1,1
ADVP,3,1
Ag-VIH,1,1
PR,1,1
DAP IV,1,1
