type,acronym,spanish_description,english_description
dependent,URS,ureterorrenoscopia retrograda,ureterorenoscopy
dependent,CHIK,chikunguña,chikungunya fever
dependent,ADHD-RS,adhd rating scale,attention deficit/hyperactivity disorder rating scale
dependent,OA,obesidad abdominal,obesity abdominal
dependent,VitD,vitamina d,vitamin d
dependent,SEDAR,"sociedad española de anestesiología, reanimación y terapia del dolor","society of anesthesiology, recovery and pain therapy"
dependent,TAR,trombocitopenia con aplasia de radio,thrombocytopenia with radial aplasia syndrome
dependent,MDS,multidimensional escalado,multidimensional scaling analysis
dependent,D.A.T.C.,diisoamiloxitiocarbanilida,diisoamyloxythiocarbanilide
dependent,ASLO,antiestreptolisina o,antistreptolysin o
dependent,SEC,sociedad española de cardiología,society of cardiology
dependent,LJ,lowenstein-jensen,lowenstein-jensen medium
dependent,MTP,metilprednisolona,methylprednisolone
dependent,PMN,polimorfonucleares neutrófilos,polymorphonuclear neutrophil
dependent,VSP-A,vecú et sante perçue de l'adolescent,vécu et santé perçue de l'adolescent
dependent,NOX,nadph oxidasa,nadph oxidase
dependent,SUDEP,subita asociada a la epilepsia,sudden unexpected death in epilepsy
dependent,PHMB,polihexametil biguanida,polyhexamethyl biguanide
dependent,Sintrom,sometidos a cirugía urológica en tratamiento con acenocumarol,surgery iin the treatment with acenocumarol
dependent,Mn-SOD,mn-superóxido dismutasa,mn-superoxide dismutasa
dependent,RICVAL,registro de infartos agudos de miocardio de la ciudad de valencia,registry of acute myocardial infarctions of the city of valencia
dependent,DIGS,diagnóstica para estudios genéticos,diagnostic interview for genetic studies
dependent,FI,fracaso intestinal,failure
dependent,Alb,albúmina plasmática,albumin
dependent,LDX,lisdexanfetamina dimesilato,lisdexamfetamine dimesylate
dependent,ASRS,adhd self-report scale</i>,adhd self-report scale
dependent,GGT,gama glutamil transferasa,gamma glutamyl transferase
dependent,MNA,mínima nutricional,mini nutritional assessment
dependent,ASIA,americana de lesion de la medula espinal,association scale
dependent,DON,deoxinivalenol,deoxynivalenol
dependent,CS,controles,controls
dependent,DG,dengue grave,dengue
dependent,DMA,dimetilarsínico,dimethylarsinic acid
dependent,INEN,instituto nacional de enfermedades neoplásicas,institute of neoplastic diseases
dependent,ALTE,a la vida del lactante,apparent life-threatening events in infancy
dependent,GIST,gastrointestinal,gastrointestinal stromal tumours
dependent,ROP,"retinopatía del prematuro""",retinopathy of prematurity
dependent,NP,nanopartículas,nanoparticles
dependent,MINSA,ministerio de salud,ministry of health
dependent,EHEC,enterohemorrágico,escherichia coli
dependent,OC,otras carreras,other careers
dependent,PAIA,programa de atención al ictus en aragón,programme in aragon
dependent,PROA,programa de optimización del uso de antimicrobianos,program for optimizing the use of antimicrobials
