pair,acronym,description
"('IRA', 'infeccion respiratoria aguda')",IRA,infeccion respiratoria aguda
"('anti-H1', 'antihistamínicos h1 orales')",anti-H1,antihistamínicos h1 orales
"('EIE-R', 'escala de impacto de evento-revisada')",EIE-R,escala de impacto de evento-revisada
"('LI', 'lesión intraepitelial')",LI,lesión intraepitelial
"('IT', 'irrigador transanal')",IT,irrigador transanal
"('NPD', 'nutrición parenteral en domicilio')",NPD,nutrición parenteral en domicilio
"('I.R.C.', 'insuficiencia renal crónica')",I.R.C.,insuficiencia renal crónica
"('IEOF-ID', 'inmunoelectroosmoforesis-inmunodifusion')",IEOF-ID,inmunoelectroosmoforesis-inmunodifusion
"('NRS- 2002', 'nutritional risk screening 2002')",NRS- 2002,nutritional risk screening 2002
"('DIPI', 'directa intraperitoneal')",DIPI,directa intraperitoneal
"('TTP', 'tiempo parcial de tromboplastina')",TTP,tiempo parcial de tromboplastina
"('PMK-RD', 'psicodiagnóstico mio kinético, revisado y digitalizado')",PMK-RD,"psicodiagnóstico mio kinético, revisado y digitalizado"
"('VGS-GP', 'valoración global subjetiva generada por el paciente')",VGS-GP,valoración global subjetiva generada por el paciente
"('DM2', 'diabetes mellitus tipo 2')",DM2,diabetes mellitus tipo 2
"('LE90', 'límite espectral 90%')",LE90,límite espectral 90%
"('GMFM', 'gross motor function measure')",GMFM,gross motor function measure
"('TOC', 'trastorno obsesivo compulsivo')",TOC,trastorno obsesivo compulsivo
"('TLI', 'tucker-lewis')",TLI,tucker-lewis
"('SEA', 'sociedad española de arteriosclerosis')",SEA,sociedad española de arteriosclerosis
"('normopeso', 'nutricional de la población estudiada mostró en general una mayor prevalencia con peso saludable')",normopeso,nutricional de la población estudiada mostró en general una mayor prevalencia con peso saludable
"('CIP', 'colesteatoma intrapetroso')",CIP,colesteatoma intrapetroso
"('TRR', 'terapias de reemplazo renal')",TRR,terapias de reemplazo renal
"('TUA', 'trastornos por uso de alcohol')",TUA,trastornos por uso de alcohol
"('LVQOL', 'low vision quality of life')",LVQOL,low vision quality of life
"('IMPA', 'incremento matutino de la presión arterial')",IMPA,incremento matutino de la presión arterial
"('VPH', 'virus de papiloma humano')",VPH,virus de papiloma humano
"('EAV', 'escala analógica visual')",EAV,escala analógica visual
"('EVN', 'expectativa de vida al nacer')",EVN,expectativa de vida al nacer
"('CHMSS', 'complejo hospitalario metropolitano del seguro social')",CHMSS,complejo hospitalario metropolitano del seguro social
"('HTAS', 'hipertensión arterial sistémica')",HTAS,hipertensión arterial sistémica
"('HSP-90', 'heat shock protein-90')",HSP-90,heat shock protein-90
"('y II', 'y su fisiopatología')",y II,y su fisiopatología
"('IPK', 'instituto de medicina tropical ""pedro kourí""')",IPK,"instituto de medicina tropical ""pedro kourí"""
"('APOE', 'apolipoproteína e')",APOE,apolipoproteína e
"('CERFB', 'cuestionario de evaluación de las relaciones familiares básicas')",CERFB,cuestionario de evaluación de las relaciones familiares básicas
"('CuSum', 'curvas de sumas acumulativas')",CuSum,curvas de sumas acumulativas
